House number,Street name,Postal code,Latitude,Longitude
650,Avenida Luis Toschi,R8324,-38.9513664,-67.9925732
67,Avenida Luis Toschi,R8324,-38.9443625,-67.9911136
429,9 de Julio,R8324,-38.9372382,-67.9952347
252,España,R8324,-38.9385727,-67.9962910
15,Avenida General Pacheco,R8324,-38.9411951,-68.0030034
1,Leandro N. Alem,R8324,-38.9350367,-68.0004773
1,9 de Julio,R8324,-38.9360833,-68.0008253
1,Hipólito Yrigoyen,R8324,-38.9371241,-68.0011564
1,General Roca,R8324,-38.9381728,-68.0015204
1,General San Martín,R8324,-38.9392168,-68.0018698
1,25 de Mayo,R8324,-38.9403145,-68.0008590
1,Manuel Belgrano,R8324,-38.9405815,-67.9995531
1,General Villegas,R8324,-38.9408594,-67.9982414
1,España,R8324,-38.9411337,-67.9968868
1,Miguel Muñoz,R8324,-38.9414307,-67.9954364
1,Italia,R8324,-38.9419655,-67.9927557
1,Roque Saenz Peña,R8324,-38.9422330,-67.9914255
100,Leandro N. Alem,R8324,-38.9349432,-67.9993258
100,9 de Julio,R8324,-38.9361155,-67.9997103
100,Hipólito Yrigoyen,R8324,-38.9371677,-68.0000759
100,General Roca,R8324,-38.9382167,-68.0004150
100,General San Martín,R8324,-38.9392773,-68.0007719
100,25 de Mayo,R8324,-38.9394599,-68.0007940
100,Manuel Belgrano,R8324,-38.9397264,-67.9994740
100,General Villegas,R8324,-38.9399920,-67.9981558
100,España,R8324,-38.9402618,-67.9968384
100,Avenida General Fernández Oro,R8324,-38.9402891,-68.0011062
100,Miguel Muñoz,R8324,-38.9405610,-67.9953857
100,Italia,R8324,-38.9411165,-67.9926891
100,Roque Saenz Peña,R8324,-38.9413827,-67.9913654
100,Brentana,R8324,-38.9416551,-67.9900180
101,Leandro N. Alem,R8324,-38.9353059,-67.9991567
101,9 de Julio,R8324,-38.9363512,-67.9995162
101,Hipólito Yrigoyen,R8324,-38.9373936,-67.9998516
101,General Roca,R8324,-38.9384390,-68.0001981
101,25 de Mayo,R8324,-38.9392994,-68.0005220
101,General San Martín,R8324,-38.9394795,-68.0005465
101,Manuel Belgrano,R8324,-38.9395669,-67.9992055
101,General Villegas,R8324,-38.9398345,-67.9978899
101,España,R8324,-38.9401121,-67.9965472
101,Miguel Muñoz,R8324,-38.9403985,-67.9950945
101,Sarmiento,R8324,-38.9406702,-67.9937512
101,Italia,R8324,-38.9409516,-67.9924159
101,Roque Saenz Peña,R8324,-38.9412200,-67.9910832
102,Leandro N. Alem,R8324,-38.9350009,-67.9990415
102,9 de Julio,R8324,-38.9361705,-67.9994472
102,Hipólito Yrigoyen,R8324,-38.9372237,-67.9997974
102,General Roca,R8324,-38.9382713,-68.0001494
102,25 de Mayo,R8324,-38.9392543,-68.0007255
102,General San Martín,R8324,-38.9393327,-68.0004968
102,Manuel Belgrano,R8324,-38.9395238,-67.9994074
102,General Villegas,R8324,-38.9397806,-67.9980831
102,España,R8324,-38.9400684,-67.9967728
102,Miguel Muñoz,R8324,-38.9403562,-67.9953137
102,Avenida General Fernández Oro,R8324,-38.9403432,-68.0008383
102,Sarmiento,R8324,-38.9406297,-67.9939632
102,Italia,R8324,-38.9409052,-67.9926175
102,Roque Saenz Peña,R8324,-38.9411702,-67.9912947
102,Brentana,R8324,-38.9414518,-67.9899511
199,Leandro N. Alem,R8324,-38.9355209,-67.9981014
199,9 de Julio,R8324,-38.9365643,-67.9984578
199,Hipólito Yrigoyen,R8324,-38.9376120,-67.9987952
199,25 de Mayo,R8324,-38.9384585,-68.0002416
199,General Roca,R8324,-38.9386491,-67.9991553
199,Manuel Belgrano,R8324,-38.9387200,-67.9989221
199,General Villegas,R8324,-38.9389983,-67.9976062
199,España,R8324,-38.9392683,-67.9962679
