House number,Street name,Postal code,Latitude,Longitude
4,Ներսիսյան թաղամաս,2015,40.7983206,44.5086140
55,Ավետիսյան փողոց,2013,40.8043569,44.5177540
57,Ավետիսյան փողոց,2013,40.8041945,44.5183682
59,Ավետիսյան փողոց,2013,40.8040382,44.5189717
2a,Թումանյան փողոց,2002,40.8051194,44.4973567
65,Տիգրան Մեծի պողոտա,2021,40.8096022,44.4907326
15,Վարդանանց փողոց,2001,40.8097843,44.4854537
59,Տիգրան Մեծի պողոտա,2001,40.8105019,44.4886332
5Բ,Վարդանանց փողոց,2001,40.8123217,44.4772750
14/8,Գրիգոր Լուսավորիչ փողոց,2022,40.8156861,44.4800052
24,Տիգրան Մեծի պողոտա,2001,40.8102735,44.4875118
22a,Տիգրան Մեծի պողոտա,2001,40.8106211,44.4862596
5B,Վարդանանց փողոց,2001,40.8123028,44.4773754
12,Տիգրան Մեծի պողոտա,2001,40.8118128,44.4808355
14,Տիգրան Մեծի պողոտա,2001,40.8115289,44.4817254
35/1,Տիգրան Մեծի պողոտա,2001,40.8121291,44.4839160
52,Տիգրան Մեծի պողոտա,2002,40.8070576,44.4963987
8,Մայմեխի փողոց,2009,40.7835061,44.4770041
1,Ուսանողական փողոց,2020,40.8017301,44.5203607
14,Չուխաջյան փողոց,2019,40.7913507,44.5241566
2,Չուխաջյան փողոց,2019,40.7919422,44.5230948
20,Չուխաջյան փողոց,2019,40.7910557,44.5246463
32,Չուխաջյան փողոց,2019,40.7904396,44.5256316
8,Չուխաջյան փողոց,2019,40.7916795,44.5236136
26,Չուխաջյան փողոց,2019,40.7907389,44.5251337
18,Չուխաջյան փողոց,2019,40.7907116,44.5233759
34,Չուխաջյան փողոց,2019,40.7901422,44.5259700
6,Չուխաջյան փողոց,2019,40.7912733,44.5223409
12,Չուխաջյան փողոց,2019,40.7910732,44.5228932
24,Չուխաջյան փողոց,2019,40.7904662,44.5238950
29,Չուխաջյան թաղամաս,2019,40.7916646,44.5211002
10,Չուխաջյան փողոց,2019,40.7914349,44.5232988
28,Չուխաջյան փողոց,2019,40.7905234,44.5247827
16,Չուխաջյան փողոց,2019,40.7911454,44.5238068
28,Չուխաջյան թաղամաս,2019,40.7913916,44.5212382
30,Չուխաջյան փողոց,2019,40.7900905,44.5243477
4,Չուխաջյան փողոց,2019,40.7917181,44.5227573
22,Չուխաջյան փողոց,2019,40.7908221,44.5243099
30,Չուխաջյան թաղամաս,2019,40.7915838,44.5206238
9,Գարեգին Նժդեհի փողոց,2001,40.8095222,44.4878314
20/1A,Տիգրան Մեծի պողոտա,2001,40.8111093,44.4841521
22,Տիգրան Մեծի պողոտա,2001,40.8105643,44.4857048
18,Տիգրան Մեծի պողոտա,2001,40.8114694,44.4834719
71,Զորավար Անդրանիկի փողոց,2008,40.7975021,44.5043479
50,Տիգրան Մեծի պողոտա,2002,40.8074639,44.4960694
48,Տիգրան Մեծի պողոտա,2002,40.8076572,44.4954838
49,Վարդանանց փողոց,2002,40.8052360,44.4958735
43,Վարդանանց փողոց,2002,40.8060220,44.4944071
45,Վարդանանց փողոց,2002,40.8057613,44.4949123
47,Վարդանանց փողոց,2002,40.8058753,44.4956255
1,Վիկտոր Համբարձումյան փողոց,2008,40.7967433,44.5270847
4,Ներսիսյան թաղամաս,2015,40.7984569,44.5086782
14,Մոսկովյան փողոց,2013,40.8175135,44.4792173
10,Մոսկովյան փողոց,2013,40.8178708,44.4781330
5,Մոսկովյան փողոց,2013,40.8170940,44.4817576
3,Վիկտոր Համբարձումյան փողոց,2008,40.7963570,44.5283340
14,Սուխումի փողոց,2008,40.7965275,44.5290966
24,Տիգրան Մեծի պողոտա,2001,40.8102048,44.4872449
17A,Վարդանանց փողոց,2001,40.8093177,44.4866361
26,Տիգրան Մեծի պողոտա,2001,40.8100324,44.4879141
10,Տիգրան Մեծի պողոտա,2001,40.8125062,44.4804142
41,Վարդանանց փողոց,2002,40.8063863,44.4937988
1,Ազատամարտիկների փողոց,2002,40.8069581,44.4944542
65,Տիգրան Մեծի պողոտա,2021,40.8096087,44.4908221
4,Նարեկացի փողոց,2015,40.8237670,44.4741849
43,Նարեկացի փողոց,2014,40.8228240,44.4785763
47,Նարեկացի փողոց,2014,40.8223422,44.4798940
6,Նարեկացի փողոց,2015,40.8234280,44.4747346
2,Նարեկացի փողոց,2014,40.8238647,44.4733270
122,Վարդանանց փողոց,2002,40.8045203,44.4958632
22a,Տիգրան Մեծի պողոտա,2001,40.8105392,44.4861789
27,Վարդանանց փողոց,2002,40.8081303,44.4902517
33,Վարդանանց փողոց,2002,40.8080292,44.4905481
1/1,Թատերական փողոց,2120,40.8104455,44.4942985
3,Թատերական փողոց,2120,40.8097997,44.4941742
73,Տիգրան Մեծի պողոտա,2098,40.8089889,44.4927950
15/1d,Բաղրամյան պողոտա,2010,40.8308444,44.4431122
67/1,Բաղրամյան պողոտա,2010,40.8366896,44.4360640
88,Բաղրամյան պողոտա,2010,40.8326200,44.4416815
41,Բաղրամյան պողոտա,2010,40.8334304,44.4390084
17,Մխիթար Հերացու փողոց,2002,40.8042758,44.4942272
11,Մխիթար Հերացու փողոց,2002,40.8050129,44.4937946
66/1,Երեւանյան խճուղի,2017,40.7933236,44.5112472
16,Գարեգին Նժդեհի փողոց,2001,40.8096427,44.4871255
11/3,Մոսկովյան փողոց,2013,40.8165073,44.4830634
41,Մխիթար Հերացու փողոց,2002,40.8032632,44.4923259
3ա,Ուսանողական փողոց,2020,40.8006435,44.5208815
49,Պարույր Սևակի փողոց,2001,40.8049277,44.5208325
5//1,Նարեկացի փողոց,2014,40.8231036,44.4768936
4 в,Առափնյա փողոց,2014,40.8225333,44.4773381
45,Զորավար Անդրանիկի փողոց,2007,40.7987282,44.5021612
43/1,Վարդանանց փողոց,2002,40.8062709,44.4942233
49,Պարույր Սևակի փողոց,2001,40.8046267,44.5210937
51,Պարույր Սևակի փողոց,2005,40.8055179,44.5213940
29-1/1,Չուխաջյան թաղամաս,2019,40.7919288,44.5212772
30a,Տիգրան Մեծի պողոտա,2001,40.8093867,44.4883703
2,Վիկտոր Համբարձումյան փողոց,2008,40.7956849,44.5277488
12,Շինարարների փողոց,2019,40.7966113,44.5219890
