House number,Street name,Postal code,Latitude,Longitude
15,Victoria Parade,7310,-41.1737942,146.3625243
1-3,Best Street,7310,-41.1786943,146.3623900
86,Best Street,7310,-41.1766608,146.3551924
74,Best Street,7310,-41.1769865,146.3564890
86,Best Street,7310,-41.1767013,146.3542890
139,William Street,7310,-41.1769197,146.3508163
99,Oldaker Street,7310,-41.1754614,146.3505966
17,Fenton Way,7310,-41.1776362,146.3586373
136-138,Tarleton Street,7310,-41.1856149,146.3713923
161,Tarleton Street,7310,-41.1851687,146.3720092
175,Tarleton Street,7310,-41.1873431,146.3713823
4,Friend Street,7310,-41.1930184,146.3375239
6,Gloucester Avenue,7310,-41.1667055,146.3630688
112-1147,North Fenton Street,7310,-41.1706670,146.3607353
78,Formby Road,7310,-41.1808113,146.3628545
4,Friend Street,7310,-41.1933716,146.3385482
77,Middle Road,7310,-41.1937171,146.3479216
4,Kempling Street,7310,-41.1755506,146.3501307
13,Forbes Street,7310,-41.1827877,146.3556356
3,Barker Street,7310,-41.1764649,146.3520280
27,Wenvoe Street,7310,-41.1825202,146.3611839
48-54,Oldaker Street,7310,-41.1757870,146.3559948
48-54,Oldaker Street,7310,-41.1755752,146.3560503
48-54,Oldaker Street,7310,-41.1756286,146.3561568
48-54,Oldaker Street,7310,-41.1757193,146.3561402
48-54,Oldaker Street,7310,-41.1753921,146.3563541
188,William Street,7310,-41.1723708,146.3523107
68,Don Road,7310,-41.1805984,146.3323627
41,Bluff Road,7310,-41.1623835,146.3557287
41,Bluff Road,7310,-41.1622119,146.3556951
234,William Street,7310,-41.1664829,146.3537174
154,Tarleton Street,7310,-41.1866578,146.3711467
152C,William Street,7310,-41.1759118,146.3514028
29,Wenvoe Street,7310,-41.1826733,146.3611159
59,Bucks Road,7310,-41.2410274,146.3761163
29,Murray Street,7310,-41.1800195,146.3699282
18,Murray Street,7310,-41.1802961,146.3697083
92-94,Mersey Main Road,7310,-41.2189569,146.3449580
38,Steele Street,7310,-41.1809718,146.3597611
70,Rooke Street,7310,-41.1785373,146.3611761
68,Rooke Street,7310,-41.1786084,146.3610822
54,Rooke Street,7310,-41.1789473,146.3610912
40,Rooke Street Mall,7310,-41.1796231,146.3608720
109,Rooke Street,7310,-41.1785725,146.3606029
105,Rooke Street,7310,-41.1786423,146.3606661
97,Rooke Street,7310,-41.1787536,146.3604842
83,Rooke Street,7310,-41.1790455,146.3604954
77,Rooke Street,7310,-41.1791658,146.3604757
53,Rooke Street,7310,-41.1796541,146.3604517
51,Rooke Street,7310,-41.1796764,146.3603714
171,Stony Rise Road,7310,-41.1870039,146.3234283
161,Rooke Street,7310,-41.1767835,146.3610569
155,Rooke Street,7310,-41.1769622,146.3609764
153,Rooke Street,7310,-41.1770157,146.3610180
131,Rooke Street,7310,-41.1779181,146.3607685
129,Rooke Street,7310,-41.1779757,146.3608235
127,Rooke Street,7310,-41.1780514,146.3608088
32,Best Street,7310,-41.1781109,146.3605285
30,Best Street,7310,-41.1780816,146.3606210
2,Stewart Street,7310,-41.1800328,146.3626528
2,Stewart Street,7310,-41.1799712,146.3625965
20A,Stewart Street,7310,-41.1799208,146.3617569
20B,Stewart Street,7310,-41.1798642,146.3617086
22,Stewart Street,7310,-41.1799006,146.3615906
37-39,Stewart Street,7310,-41.1801509,146.3609657
41,Stewart Street,7310,-41.1801368,146.3608423
32,Rooke Street,7310,-41.1801317,146.3607632
22,Rooke Street,7310,-41.1804688,146.3606934
20,Rooke Street,7310,-41.1806313,146.3606612
34,King Street,7310,-41.1806808,146.3611400
26,King Street,7310,-41.1807333,146.3615987
24,King Street,7310,-41.1807424,146.3616845
33,King Street,7310,-41.1809200,146.3609308
12,Rooke Street,7310,-41.1810432,146.3605714
10,Rooke Street,7310,-41.1811017,146.3606411
6,Rooke Street,7310,-41.1811643,146.3605472
4,Rooke Street,7310,-41.1812531,146.3605271
5,Rooke Street,7310,-41.1810280,146.3602012
17,Rooke Street,7310,-41.1808847,146.3602267
19,Rooke Street,7310,-41.1808181,146.3601623
21,Rooke Street,7310,-41.1807797,146.3602750
23,Rooke Street,7310,-41.1807222,146.3601798
31,Rooke Street,7310,-41.1805042,146.3602240
33-35,Rooke Street,7310,-41.1804295,146.3603246
159,William Street,7310,-41.1755398,146.3510756
155,William Street,7310,-41.1757955,146.3510555
62,Lakeside Road,7310,-41.2267938,146.3134250
62,Lakeside Road,7310,-41.2265095,146.3136433
6,Edward Street,7310,-41.1793989,146.3598545
17-18,Formby Road,7310,-41.1883493,146.3616096
221,Tarleton Street,7310,-41.1914879,146.3704339
221,Tarleton Street,7310,-41.1927043,146.3702989
139,William Street,7310,-41.1768471,146.3508347
141,William Street,7310,-41.1767581,146.3508109
141,William Street,7310,-41.1766961,146.3508236
143B,William Street,7310,-41.1765612,146.3508565
149B,William Street,7310,-41.1761932,146.3509409
147,William Street,7310,-41.1762764,146.3509190
149c,William Street,7310,-41.1761591,146.3509480
6,Kempling Street,7310,-41.1760677,146.3502460
2,Kempling Street,7310,-41.1763358,146.3500476
2,Kempling Street,7310,-41.1762024,146.3500669
142,William Street,7310,-41.1766637,146.3512953
142,William Street,7310,-41.1766120,146.3513038
142,William Street,7310,-41.1765565,146.3513145
146a,William Street,7310,-41.1763927,146.3513450
148,William Street,7310,-41.1763426,146.3513520
149a,William Street,7310,-41.1762321,146.3509327
148,William Street,7310,-41.1762588,146.3513623
150b,William Street,7310,-41.1761731,146.3513723
151,William Street,7310,-41.1760882,146.3509667
150b,William Street,7310,-41.1761272,146.3513785
153a,William Street,7310,-41.1759596,146.3510046
153,William Street,7310,-41.1759193,146.3510138
154,William Street,7310,-41.1758115,146.3514139
157,William Street,7310,-41.1757016,146.3510770
157,William Street,7310,-41.1756488,146.3510859
154b,William Street,7310,-41.1757329,146.3514280
93,Oldaker Street,7310,-41.1755997,146.3514794
132,William Street,7310,-41.1779740,146.3511954
132,William Street,7310,-41.1779149,146.3512727
17A,Devonport Road,7310,-41.2001373,146.3598295
17A,Devonport Road,7310,-41.1996686,146.3598711
175,Tarleton Street,7310,-41.1874280,146.3713535
91,Percy Street,7310,-41.1694254,146.3445216
33A,Berrigan Road,7310,-41.1958919,146.3551812
27,Murray Street,7310,-41.1799587,146.3698114
74,Best Street,7310,-41.1768072,146.3564486
48,Oldaker Street,7310,-41.1755722,146.3562164
2,Ferguson Drive,7310,-41.2076049,146.3426292
38,Steele Street,7310,-41.1810483,146.3597170
6,Gloucester Avenue,7310,-41.1666423,146.3631789
53,Forbes Street,7310,-41.1862246,146.3554906
73-77,Mersey Main Road,7310,-41.2199550,146.3461719
74,Best Street,7310,-41.1767092,146.3561114
22,Don Road,7310,-41.1792746,146.3378426
15,Murray Street,7310,-41.1799033,146.3692485
103,Kempling Street,7310,-41.1756498,146.3501110
2,Best Street,7310,-41.1781373,146.3618212
7,Best Street,7310,-41.1787322,146.3620268
132,William Street,7310,-41.1777804,146.3511189
58,Best Street,7310,-41.1777075,146.3578487
13-19,Tarleton Street,7310,-41.1720792,146.3767572
92,Formby Road,7310,-41.1791030,146.3633805
15,Victoria Parade,7310,-41.1737686,146.3624376
237,Oldaker Street,7310,-41.1732595,146.3312098
235,Oldaker Street,7310,-41.1733069,146.3314514
20,Tugrah Road,7310,-41.1923798,146.3251738
26,Willow Avenue,7310,-41.1871191,146.3429276
220,Oldaker Street,7310,-41.1728339,146.3312998
218,Surrey Street,7310,-41.1728364,146.3315076
62,Surrey Street,7310,-41.1735102,146.3311491
46,Old Tramway Road,7310,-41.2266740,146.3027710
140,North Fenton Street,7310,-41.1673927,146.3619640
20-22,Oldaker Street,7310,-41.1760606,146.3594736
6,Melrose Road,7310,-41.2451177,146.3426996
14A,Murray Street,7310,-41.1805777,146.3691554
24,Wenvoe Street,7310,-41.1833089,146.3605717
29,Best Street,7310,-41.1783487,146.3593954
5,Victoria Parade,7310,-41.1760247,146.3611950
24,Brooke Street,7310,-41.1755225,146.3723515
22,Wright Street,7310,-41.1753004,146.3708996
2,Brooke Street,7310,-41.1750668,146.3693367
50,Tarleton Street,7310,-41.1750248,146.3738996
46,Tarleton Street,7310,-41.1746291,146.3739704
34,Brooke Street,7310,-41.1756010,146.3733005
18,Tarleton Street,7310,-41.1722693,146.3745235
20,Tarleton Street,7310,-41.1725026,146.3744825
4,Brooke Street,7310,-41.1751122,146.3697495
10,Brooke Street,7310,-41.1752645,146.3702783
18,Brooke Street,7310,-41.1753964,146.3718718
26,Brooke Street,7310,-41.1755397,146.3725829
30,Brooke Street,7310,-41.1756296,146.3728859
34,Tarleton Street,7310,-41.1732591,146.3743369
30,Tarleton Street,7310,-41.1729613,146.3743488
6,Melrose Street,7310,-41.1724956,146.3730212
22,Tarleton Street,7310,-41.1726783,146.3743270
16,Tarleton Street,7310,-41.1720691,146.3745639
1,Brooke Street,7310,-41.1745066,146.3679765
44,Tarleton Street,7310,-41.1743043,146.3740377
48,Tarleton Street,7310,-41.1748322,146.3739323
2,Melrose Street,7310,-41.1720184,146.3739487
38,Tarleton Street,7310,-41.1738158,146.3740923
20,Brooke Street,7310,-41.1754366,146.3720806
36,Tarleton Street,7310,-41.1734769,146.3742770
1,Wright Street,7310,-41.1726022,146.3724231
36,Brooke Street,7310,-41.1756357,146.3735084
52,Tarleton Street,7310,-41.1751912,146.3738337
40,Tarleton Street,7310,-41.1739678,146.3741264
42,Tarleton Street,7310,-41.1741509,146.3740817
3,Melrose Street,7310,-41.1721697,146.3738064
12,Brooke Street,7310,-41.1752181,146.3705140
4,Melrose Street,7310,-41.1724099,146.3737180
16,Brooke Street,7310,-41.1753893,146.3716592
5,Melrose Street,7310,-41.1724516,146.3733566
32,Tarleton Street,7310,-41.1731121,146.3742664
1,Melrose Street,7310,-41.1720700,146.3741946
75,Drake Street,7310,-41.1885038,146.3598362
73,Drake Street,7310,-41.1883517,146.3599210
34,Best Street,7310,-41.1779419,146.3602542
43,Wenvoe Street,7310,-41.1854187,146.3608392
45,Wenvoe Street,7310,-41.1856420,146.3608910
52,Wenvoe Street,7310,-41.1856189,146.3604542
50,Wenvoe Street,7310,-41.1854495,146.3604186
41,Highfield Road,7310,-41.2060717,146.3784205
35,Don Road,7310,-41.1810575,146.3347761
1,Don Road,7310,-41.1794302,146.3412990
103-105,William Street,7310,-41.1805770,146.3495492
112,William Street,7310,-41.1798092,146.3508169
114,William Street,7310,-41.1795022,146.3509096
5,Lawrence Drive,7310,-41.1870284,146.3332550
48-54,Oldaker Street,7310,-41.1755804,146.3561699
54,Oldaker Street,7310,-41.1755572,146.3562660
44,Oldaker Street,7310,-41.1758424,146.3568887
11,Oldaker Street,7310,-41.1768265,146.3604365
13-15,Forth Road,7310,-41.1828758,146.3178064
5,Forth Road,7310,-41.1833372,146.3194055
211,Stony Rise Road,7310,-41.1839609,146.3203833
209,Stony Rise Road,7310,-41.1840399,146.3198655
89,Best Street,7310,-41.1773967,146.3512809
