House number,Street name,Postal code,Latitude,Longitude
59,Deakin Avenue,3500,-34.1854375,142.1617048
26,Langtree Avenue,3500,-34.1834728,142.1626349
293,Walnut Avenue,3500,-34.1836384,142.1624490
20,Langtree Avenue,3500,-34.1833548,142.1627989
18,Langtree Avenue,3500,-34.1832372,142.1629464
40A,Langtree Avenue,3500,-34.1838857,142.1621348
51,Deakin Avenue,3500,-34.1851880,142.1620149
163-165,Tenth Street,3500,-34.1856909,142.1559917
129-137,Seventh Street,3500,-34.1830237,142.1634148
110,Eighth Street,3500,-34.1862761,142.1645660
32,Orange Avenue,3500,-34.1864694,142.1655465
134-164,Deakin Avenue,3500,-34.1891534,142.1582682
141,Eighth Street,3500,-34.1839014,142.1609704
58,Lime Avenue,3500,-34.1839719,142.1600182
303,Deakin Avenue,3500,-34.1976579,142.1469474
303,Deakin Avenue,3500,-34.1976036,142.1470093
38-40,Madden Avenue,3500,-34.1857713,142.1643888
62,Lime Avenue,3500,-34.1841096,142.1599281
104,Eighth Street,3500,-34.1873627,142.1656211
832,Fifteenth Street,3500,-34.2108564,142.1400220
134a,Ninth Street,3500,-34.1857368,142.1601588
785,Walnut Avenue,3501,-34.2190665,142.1108889
840,Fifteenth Street,3500,-34.2088283,142.1383007
42,Lemon Avenue,3500,-34.1876037,142.1661594
36,Winton Drive,3500,-34.1599085,142.1278684
832,Fifteenth Street,3500,-34.2109499,142.1401173
832,Fifteenth Street,3500,-34.2108266,142.1396072
120,Hugh King Drive,3500,-34.1807265,142.1640963
90,Seventh Street,3500,-34.1866649,142.1685569
109-111,Seventh Street,3500,-34.1852745,142.1661169
141,Eighth Street,3500,-34.1840044,142.1610741
31,Alan Mathews Drive,3501,-34.2305700,142.0845549
445A,Eleventh Street,3500,-34.1715200,142.1339455
100-110,Deakin Avenue,3502,-34.1876481,142.1603393
760,Benetook Avenue,3500,-34.2201748,142.1506544
760,Benetook Avenue,3500,-34.2200576,142.1507699
95-103,Langtree Avenue,3500,-34.1861785,142.1583527
179,Walnut Avenue,3500,-34.1857399,142.1514363
138,Eighth Street,3500,-34.1842729,142.1619880
463-469,Deakin Avenue,3500,-34.2063519,142.1363299
203,Ontario Avenue,3500,-34.1836514,142.1440413
463-469,Deakin Avenue,3500,-34.2061392,142.1364470
433,Deakin Avenue,3500,-34.2046571,142.1383002
441,Deakin Avenue,3500,-34.2052423,142.1374676
213,San Mateo Avenue,3500,-34.1966546,142.1584591
225,San Mateo Avenue,3500,-34.1968565,142.1582199
218,San Mateo Avenue,3500,-34.1971356,142.1586802
826,Fifteenth Street,3500,-34.2106209,142.1395428
31,Langtree Avenue,3500,-34.1834577,142.1621182
62,Orange Avenue,3500,-34.1876327,142.1641721
218,Eighth Street,3500,-34.1773713,142.1549613
481,Deakin Avenue,3500,-34.2069238,142.1345708
481,Deakin Avenue,3500,-34.2068004,142.1347393
199 - 205,Flora Avenue,3500,-34.1742718,142.1236161
287,Twelfth Street,3500,-34.1797968,142.1354113
831,Fifteenth Street,3500,-34.2081762,142.1399770
219-227,Ninth Street,3500,-34.1795810,142.1513756
216,Ontario Avenue,3500,-34.1862443,142.1430602
20,Pine Avenue,3500,-34.1820972,142.1608675
45-65,Lime Avenue,3500,-34.1833877,142.1598920
199,Cureton Avenue,3500,-34.1776597,142.1584491
180,Deakin Avenue,3500,-34.1911726,142.1568736
140,Eighth Street,3500,-34.1829040,142.1595046
138,Deakin Avenue,3500,-34.1889301,142.1588403
914-918,Fifteenth Street,3500,-34.2020559,142.1301517
795-807,Fifteenth Street,3500,-34.2101876,142.1415267
