House number,Street name,Postal code,Latitude,Longitude
6,праспект Міру,212030,53.9103189,30.3330698
1,плошча Славы,212030,53.8950598,30.3297292
6,праспект Міру,212030,53.9100355,30.3330205
105,вуліца Чалюскінцаў,212003,53.8893065,30.2933518
2,плошча Славы,212030,53.8952506,30.3304979
79,вуліца Гагарына,212027,53.8800823,30.3174975
6Б,Пажарны завулак,212030,53.8994653,30.3352169
78А,праспект Дзімітрава,212030,53.8791798,30.3776185
29,Першамайская вуліца,212003,53.9007552,30.3355216
18,Ленінская вуліца,212030,53.8979100,30.3362760
21,Першамайская вуліца,212030,53.8996176,30.3341935
34,Першамайская вуліца,212030,53.9066163,30.3390086
40А,вуліца Маўчанскага,212038,53.8770474,30.3660661
85,Першамайская вуліца,212030,53.9161185,30.3430418
27Б,праспект Міру,212030,53.9080505,30.3329201
53В,Гомельская шаша,212013,53.8556213,30.3549824
5,Першамайская вуліца,212030,53.8970737,30.3327798
32,Ленінская вуліца,212030,53.8995377,30.3377576
32,Ленінская вуліца,212030,53.8995014,30.3376289
32,Піянерская вуліца,212038,53.9004828,30.3411506
40,Піянерская вуліца,212038,53.9020275,30.3426020
46,Ленінская вуліца,212038,53.9028570,30.3410657
30,Ленінская вуліца,212030,53.8992413,30.3374901
5/29,Піянерская вуліца,212030,53.8970737,30.3385449
172Б,вуліца Чалюскінцаў,212012,53.8795373,30.2656866
75-2,вуліца Лазарэнкі,212022,53.9111243,30.3055875
55/1,Гомельская шаша,212040,53.8542600,30.3531935
179,вуліца Чалюскінцаў,212012,53.8840535,30.2734561
3-2,вуліца Дзяржынскага,212030,53.9066218,30.3360844
7,Першамайская вуліца,212030,53.8976836,30.3332638
6,праспект Міру,212030,53.9098706,30.3329758
5А,Камісарыяцкі завулак,212030,53.9041872,30.3352313
31,Пашкоўская вуліца,212010,53.9367552,30.3208581
4-5,вуліца Міронава,212030,53.9055067,30.3422539
5,вуліца Яцыны,212030,53.9055900,30.3362891
44,вуліца Якубоўскага,212026,53.9181973,30.3004634
44,вуліца Якубоўскага,212026,53.9184421,30.3004547
44,вуліца Якубоўскага,212026,53.9185592,30.3006302
44,вуліца Якубоўскага,212026,53.9181389,30.2999918
44,вуліца Якубоўскага,212026,53.9180554,30.2998636
44,вуліца Якубоўскага,212026,53.9177660,30.3004070
44,вуліца Якубоўскага,212026,53.9185362,30.3009945
44,вуліца Якубоўскага,212026,53.9183462,30.3012960
44,вуліца Якубоўскага,212026,53.9180994,30.2999276
70,вуліца Якубоўскага,212026,53.9190809,30.2914841
4,4-ы завулак Мечнікава,212008,53.9519342,30.3528981
4,Чавусская шаша,212004,53.8795587,30.4092248
5,вуліца Мікалая Астроўскага,212029,53.8747647,30.3331038
19 оф35,вуліца Дзяржынскага,212030,53.9014867,30.3328699
31,Мінская шаша,212039,53.9357041,30.2573645
52,Першамайская вуліца,212030,53.9135764,30.3403607
2,вуліца Дабралюбава,212030,53.9147498,30.3387318
4,вуліца Дабралюбава,212030,53.9143703,30.3381443
6,вуліца Дабралюбава,212030,53.9140769,30.3376910
57,Першамайская вуліца,212030,53.9042348,30.3394160
5А,Камісарыяцкі завулак,212030,53.9040757,30.3351952
23,вуліца Міронава,212030,53.9069447,30.3410752
2,Пажарны завулак,212030,53.8994842,30.3350068
6,Быхаўская вуліца,212007,53.8944418,30.3233240
1Ж,вуліца Мікалая Астроўскага,212029,53.8718265,30.3279583
26А,бульвар Непакораных,212027,53.8762283,30.3305340
31,Першамайская вуліца,212030,53.9017286,30.3374072
18,вуліца Народнага Апалчэння,212017,53.9046999,30.3593150
24,Мінская шаша,212039,53.9317512,30.2589563
6,праспект Міру,212030,53.9099080,30.3329360
7,вуліца Турава,212008,53.9430687,30.3668889
19,вуліца Дзяржынскага,212030,53.9015229,30.3325530
7,вуліца Турава,212003,53.9432421,30.3670808
140,вуліца Чалюскінцаў,212012,53.8874016,30.2670898
3,Першамайская вуліца,212030,53.8963059,30.3318916
4,вуліца Крыленкі,212030,53.9068741,30.3377846
68,Ленінская вуліца,212030,53.9065364,30.3438081
21,Першамайская вуліца,212030,53.8995530,30.3341217
31,Піянерская вуліца,212038,53.9023912,30.3436464
15,Піянерская вуліца,212030,53.8979788,30.3397050
57,Першамайская вуліца,212030,53.9037192,30.3391003
57,Першамайская вуліца,212030,53.9038108,30.3391137
57,Першамайская вуліца,212030,53.9043339,30.3397387
57,Першамайская вуліца,212030,53.9038195,30.3389530
47,вуліца Маўчанскага,212038,53.8768746,30.3722527
11А,вуліца Дзяржынскага,212030,53.9038818,30.3345183
11Б,Габраўская вуліца,212029,53.8578855,30.3312593
5,Першамайская вуліца,212030,53.8970606,30.3322938
1,вуліца Болдзіна,212030,53.8971103,30.3325063
15,Першамайская вуліца,212030,53.8989262,30.3335999
54а,праспект Шміта,212029,53.8682789,30.3285592
5 к. 3,Гомельская шаша,212013,53.8611743,30.3555217
47,Пушкінскі праспект,212002,53.8756322,30.3404773
73,вуліца Лазарэнкі,212022,53.9100531,30.3052922
1г,вуліца Мікалая Астроўскага,212029,53.8712930,30.3284896
1В,вуліца Мікалая Астроўскага,212029,53.8717520,30.3284318
31,Мінская шаша,212039,53.9357862,30.2580020
65,бульвар Непакораных,212029,53.8698284,30.3371141
61,бульвар Непакораных,212029,53.8688582,30.3351105
63,бульвар Непакораных,212029,53.8689317,30.3358258
59,бульвар Непакораных,212029,53.8697629,30.3357102
61А,бульвар Непакораных,212029,53.8695106,30.3341894
208,вуліца Крупскай,212008,53.9560858,30.3602384
6,вуліца Мікалая Астроўскага,212036,53.8682922,30.3166266
76А,праспект Шміта,212029,53.8664157,30.3347775
153,Першамайская вуліца,212016,53.9352281,30.3365611
67Б,Пушкінскі праспект,212029,53.8717709,30.3449130
92,праспект Шміта,212029,53.8644778,30.3374586
75,Пушкінскі праспект,212029,53.8705141,30.3472202
143,Першамайская вуліца,212016,53.9335388,30.3374539
6,Пажарны завулак,212030,53.8995601,30.3358875
10,Камсамольская вуліца,212030,53.8972780,30.3351973
2,плошча Славы,212030,53.8953666,30.3304453
1,Першамайская вуліца,212030,53.8958545,30.3317138
5/1,Першамайская вуліца,212030,53.8970781,30.3323938
40Д,Пушкінскі праспект,212029,53.8680485,30.3536467
1,вуліца Архірэйскі Вал Каніскага,212030,53.8952023,30.3344791
52,вуліца Касманаўтаў,212022,53.9046350,30.3087772
94,праспект Шміта,212029,53.8635260,30.3375821
137 к2,вуліца Чалюскінцаў,212003,53.8874675,30.2940159
52А,вуліца Касманаўтаў,212022,53.9050185,30.3093052
80А,праспект Шміта,212029,53.8662074,30.3359747
11,Індустрыяльная вуліца,212030,53.9138483,30.3544279
96,праспект Шміта,212029,53.8635834,30.3360380
