House number,Street name,Postal code,Latitude,Longitude
74,Маладзёжная вуліца,211446,55.5349700,28.6445169
20,Маладзёжная вуліца,211443,55.5397721,28.6304190
8,Паркавая вуліца,211443,55.5423864,28.6330583
5А,вуліца Калініна,211440,55.5317354,28.6597131
3,вуліца Калініна,211440,55.5323949,28.6606174
67,Маладзёжная вуліца,211440,55.5352258,28.6543994
169,Маладзёжная вуліца,211501,55.5177276,28.6875385
3,вуліца Калініна,211440,55.5322167,28.6607786
169-1,Маладзёжная вуліца,211501,55.5177564,28.6882145
169,Маладзёжная вуліца,211501,55.5174385,28.6877556
10,Камсамольская вуліца,211449,55.5212467,28.6601067
166А,Маладзёжная вуліца,211500,55.5165617,28.6866789
66,Маладзёжная вуліца,211446,55.5368377,28.6418818
68,Маладзёжная вуліца,211446,55.5365529,28.6424916
217,Маладзёжная вуліца,211501,55.5092482,28.7000370
178,Маладзёжная вуліца,211501,55.5077910,28.6982093
12А,вуліца Якуба Коласа,211444,55.5311185,28.6726568
10,Камсамольская вуліца,211449,55.5211441,28.6600726
10,Камсамольская вуліца,211449,55.5212613,28.6602524
19/1,вуліца Дзяржынскага,211443,55.5404543,28.6263327
17/1,вуліца Дзяржынскага,211443,55.5402497,28.6261272
169,Маладзёжная вуліца,211501,55.5175855,28.6874817
6Б,Заводскі праезд,211449,55.5150460,28.6749672
169,Маладзёжная вуліца,211501,55.5175352,28.6880191
2,Вымяральны праезд,211501,55.5161790,28.6859339
166Б/5,Маладзёжная вуліца,211501,55.5126554,28.6815240
3,вуліца Калініна,211440,55.5322102,28.6607972
135,Маладзёжная вуліца,211448,55.5283830,28.6715883
135,Маладзёжная вуліца,211448,55.5285960,28.6718867
135,Маладзёжная вуліца,211448,55.5286509,28.6719935
11,вуліца Дружбы,211449,55.5221258,28.6643266
26,вуліца Якуба Коласа,211444,55.5277870,28.6757931
166А,Маладзёжная вуліца,211500,55.5167580,28.6864281
102,Маладзёжная вуліца,211440,55.5326430,28.6569238
20,Маладзёжная вуліца,211443,55.5403899,28.6284485
2А,вуліца Дзянісава,211500,55.5128365,28.6923618
