House number,Street name,Postal code,Latitude,Longitude
7,Komitska,76300,44.7808995,19.2331198
102,Majevička,76300,44.7600531,19.2187543
14a,Srpske vojske,76000,44.7530180,19.2180120
69,Neznanih junaka,76300,44.7563248,19.2066003
5,Save Mrkalja,76300,44.7658997,19.2217644
3,Јована Јовановића Змаја,76300,44.7574816,19.2144808
10,Sremska,76300,44.7629973,19.2060405
119,Stefana Dečanskog,76300,44.7585437,19.1973402
14D,Cara Lazara,76300,44.7645986,19.2220107
16,Јована Јовановића Змаја,76300,44.7581959,19.2144840
102,Majevička,76300,44.7600808,19.2186204
15,Profesora Bakajlića,76300,44.7571816,19.2104666
10,Sremska,76300,44.7631220,19.2060944
58,Miloša Obilića,76300,44.7611397,19.2126314
10,Sremska,76300,44.7628086,19.2061656
10,Sremska,76300,44.7630730,19.2061984
10,Sremska,76300,44.7629542,19.2057639
10,Sremska,76300,44.7631234,19.2058903
10,Sremska,76300,44.7629296,19.2064190
10,Sremska,76300,44.7627416,19.2065155
10,Sremska,76300,44.7629170,19.2060824
10,Sremska,76300,44.7628668,19.2058379
10,Sremska,76300,44.7624725,19.2059304
10,Sremska,76300,44.7625916,19.2064375
10,Sremska,76300,44.7630959,19.2057997
10,Sremska,76300,44.7627070,19.2059482
10,Sremska,76300,44.7629844,19.2061503
5,Srpske vojske,76300,44.7540269,19.2175330
1,Патријарха Павла / Patrijarha Pavla,76300,44.7566693,19.2180036
3,Патријарха Павла / Patrijarha Pavla,76300,44.7565216,19.2181632
1,Trg kralja Petra I Karađorđevića,76300,44.7574383,19.2149173
10,Sremska,76300,44.7630320,19.2059140
9,Светог Саве,76300,44.7582199,19.2148417
10,Majora Dragutina Gavrilovića,76300,44.7579097,19.2113089
46,Незнаних јунака,76300,44.7580394,19.2055006
1,Trg kralja Petra I Karađorđevića,76300,44.7574801,19.2181189
30,Вука Караџића,76300,44.7567607,19.2174678
77,Незнаних јунака,76300,44.7573119,19.2037242
53,Srpske vojske,76300,44.7516312,19.2213723
1,Semberskih ratara,76300,44.7737973,19.2228628
bb,Bogdana Žerajića,76000,44.7528824,19.2209386
53,Srpske vojske,76000,44.7521079,19.2198597
10,Sremska,76300,44.7628270,19.2061851
24,Bogdana Žerajića,76300,44.7528615,19.2197655
9,Кнеза Милоша,76300,44.7565774,19.2197743
119,Stefana Dečanskog,76300,44.7583137,19.1974332
7,Miloša Crnjanskog,76300,44.7572698,19.1937241
32,Karađorđeva,76300,44.7578946,19.2220432
bb,Semberskih ratara,76300,44.7756766,19.2239281
21,Stefana Dečanskog,76300,44.7583345,19.2023929
23,Stefana Dečanskog,76300,44.7585948,19.2025600
11,Cerska,76300,44.7566671,19.1955681
9,Šabačkih đaka,76300,44.7667475,19.2124166
34A,Industrijska Zona 2,76300,44.7715950,19.1829240
