House number,Street name,Postal code,Latitude,Longitude
1,Места,6300,41.9378667,25.5368436
18,Васил Друмев,6300,41.9326723,25.5545377
2,Пловдивско шосе,6300,41.9326952,25.6034246
116,България,6300,41.9337323,25.5473622
38,Отец Паисий,6300,41.9319929,25.5542512
17,Георги Сава Раковски,6300,41.9378109,25.5547516
10,Георги Сава Раковски,6300,41.9342900,25.5555806
4,Спартак,6300,41.9337749,25.5530702
4,Стефан Стамболов,6300,41.9302334,25.5628468
6-8,Търговска,6300,41.9303928,25.5647843
10,Търговска,6300,41.9301353,25.5648541
10,Търговска,6300,41.9298641,25.5649209
10,Търговска,6300,41.9298185,25.5647148
7,Мадара,6300,41.9385226,25.5450914
7,Мадара,6300,41.9386045,25.5451558
15,Стефан Караджа,6300,41.9305688,25.5589119
5,Атон,6300,41.9311095,25.5594108
2,Шести септември,6300,41.9313709,25.5601162
4А,Марин Дринов,6300,41.9317563,25.5551310
1,Скопие,6300,41.9335891,25.5551046
2,Велико Търново,6300,41.9319467,25.5553496
14,Отец Паисий,6300,41.9319002,25.5557299
4,Марин Дринов,6300,41.9322191,25.5550217
23,Отец Паисий,6300,41.9317886,25.5553333
1,Христо Ботев,6300,41.9320039,25.5526857
16,Васил Друмев,6300,41.9324928,25.5546438
3А,Климент Охридски,6300,41.9322171,25.5547199
43,Отец Паисий,6300,41.9318837,25.5533590
9,Банска,6300,41.9348302,25.5423810
26А,Дунав,6300,41.9395690,25.5564552
26А,Дунав,6300,41.9395703,25.5563730
5,Георги Сава Раковски,6300,41.9346506,25.5551854
1,Георги Сава Раковски,6300,41.9337759,25.5553526
56,Георги Бенковски,6300,41.9402626,25.5442716
5,Княз Борис I,6300,41.9390555,25.5542409
7,Сан Стефано,6300,41.9320789,25.5599698
7,Сан Стефано,6300,41.9320379,25.5597772
7,Сан Стефано,6300,41.9319842,25.5595158
5,Сан Стефано,6300,41.9318089,25.5587977
7,Стефан Караджа,6300,41.9315297,25.5586312
12-18,Цар Калоян,6300,41.9309842,25.5618663
19-25,Цар Калоян,6300,41.9312795,25.5619951
87,България,6300,41.9296721,25.5605609
90,бул. Съединение,6300,41.9308930,25.5980137
90,бул. Съединение,6300,41.9308955,25.5983129
1В,Бузлуджа,6300,41.9286403,25.5625387
4,Марин Дринов,6300,41.9322339,25.5551238
33,България,6300,41.9345471,25.5496086
14А,бул. Освобождение,6300,41.9264800,25.5581375
