House number,Street name,Postal code,Latitude,Longitude
59,Екзарх Йосиф,1377,42.7007202,23.3272293
19,Шейново,1504,42.6926447,23.3400561
148,Георги С. Раковски,1142,42.6877576,23.3226898
20,Димитър Хаджикоцев,1421,42.6768272,23.3192119
5,Лъчезар Станчев,1756,42.6652438,23.3562419
24,Позитано,1000,42.6964002,23.3178744
26,бул. Янко Сакъзов,1504,42.6962879,23.3387552
36,Солунска,1000,42.6931611,23.3178702
30,20-ти април,1606,42.6944084,23.3116264
33,бул. Джавахарлал Неру,1336,42.7141795,23.2547076
65,Коньовица,1309,42.7065561,23.2876666
9,Драговица,1505,42.6960164,23.3543932
15,бул. Черни връх,1421,42.6802595,23.3219671
бл.1,Връх Манчо,1360,42.7253086,23.2725885
бл.37,Краище,1408,42.6769883,23.3056874
172,бул. Сливница,1202,42.7045066,23.3244022
38,бул. Царица Йоанна,1336,42.7203230,23.2528608
22,Календерска,1278,42.7385420,23.3459780
72,Цар Асен,1463,42.6873373,23.3169564
34,бул. Ботевградско шосе,1517,42.6986338,23.3647784
14,Братя Найденови,1390,42.7201954,23.2209833
112 А,Опълченска,1233,42.7098460,23.3141820
10,Крайречна,1434,42.6133736,23.3381405
46-48,Опълченска,1303,42.7026732,23.3111431
63,Севастократор Калоян,1616,42.6479770,23.2673070
26,Овчо поле,1362,42.6945127,23.2282001
34,Банско шосе,1331,42.7360400,23.2400280
36,Самоковско шосе,1138,42.6282797,23.4074381
27,Скайлер,1510,42.7049032,23.3485677
76 бл.41,бул. Никола Мушанов,1330,42.6947120,23.2835030
26,Папрат,1415,42.6292051,23.3099742
1,Жасмин,1271,42.7513670,23.3182870
24,Оборище,1504,42.6942994,23.3440044
2,Свързочник,1225,42.7178410,23.3425216
бл.101,Костенски водопад,1404,42.6657430,23.3004710
85 бл.109,бул. Цариградско шосе,1113,42.6760621,23.3589427
36,бул. Черни връх,1407,42.6692833,23.3193860
18,Гео Милев,1111,42.6848118,23.3570339
187,бул. Цар Борис III,1618,42.6712260,23.2722470
124,бул. Цар Борис III,1612,42.6787748,23.2820956
343,бул. Цар Борис III,1619,42.6592382,23.2438666
17,Иван Бойчев,1324,42.7180110,23.2687380
46,Никола Габровски,1172,42.6603327,23.3469454
19,Деспот Слав,1618,42.6644640,23.2642020
7,Дамян Груев,1303,42.6955857,23.3128396
1,Гусла,1618,42.6706970,23.2674811
16,Иван Вазов,1000,42.6923286,23.3285044
13Г,Димитър Л. Гичев,1113,42.6676878,23.3547142
111,бул. Александър Малинов,1766,42.6251456,23.3754218
50,Бузлуджа,1463,42.6871974,23.3153188
29,бул. Джавахарлал Неру,1324,42.7141635,23.2560262
44,бул. Христо Смирненски,1164,42.6813895,23.3313446
62,Граф Игнатиев,1142,42.6878333,23.3289611
1,бул. Мадрид,1505,42.6963797,23.3474053
59,бул. Христо Ботев,1303,42.6971416,23.3149999
77,бул. Ген. Скобелев,1606,42.6916756,23.3109601
51,Солунска,1000,42.6932464,23.3164441
81,Любен Каравелов,1142,42.6848010,23.3220431
13,бул. Патриарх Евтимий,1142,42.6881882,23.3264371
106,бул. Витоша,1463,42.6857588,23.3170366
83,бул. България,1404,42.6598275,23.2867456
49Б,бул. България,1404,42.6668965,23.2900697
2,Хубча,1618,42.6773886,23.2865175
98,бул. Витоша,1463,42.6864421,23.3174542
100,бул. Джеймс Баучер,1407,42.6723235,23.3187293
9,бул. Янко Сакъзов,1504,42.6968630,23.3369235
29,Христо Белчев,1000,42.6917339,23.3210610
37,бул. Ген. Столетов,1233,42.7111522,23.3097416
39,бул. Ген. Столетов,1233,42.7112625,23.3100178
31,бул. Черни връх,1421,42.6779889,23.3223807
111,бул. Цариградско шосе,1784,42.6682265,23.3710644
13,пл. Биримирци,1278,42.7383934,23.3433988
22А,Цар Асен,1000,42.6924469,23.3185554
13,Якубица,1164,42.6712880,23.3289658
19,Якубица,1164,42.6704905,23.3287770
68,Неофит Рилски,1000,42.6895533,23.3243053
68,Неофит Рилски,1000,42.6896773,23.3243994
10,Петър Панайотов,1231,42.7406372,23.3109309
69,Хан Кубрат,1229,42.7316510,23.2852024
2,бул. Ломско шосе,1220,42.7244719,23.3056251
66,бул. Петко Ю. Тодоров,1404,42.6648875,23.3025618
192-198,бул. Витоша,1408,42.6756323,23.3089705
3,Софийски герой,1612,42.6849151,23.2975689
38,Черковна,1505,42.6974669,23.3515345
1,Хайделберг,1592,42.6563014,23.3994018
11,Булаир,1612,42.6815592,23.2940600
8,Будапеща,1000,42.6983910,23.3280316
43,бул. Шипченски проход,1111,42.6795313,23.3601258
32,Средна гора,1303,42.6975117,23.3104675
12,Атанас Далчев,1113,42.6716282,23.3541324
бл.5,бул. Цариградско шосе,1113,42.6758608,23.3574480
3,Райко Алексиев,1113,42.6751208,23.3549917
51,Антон П. Чехов,1113,42.6693948,23.3606459
18А,Фредерик Жолио Кюри,1113,42.6718670,23.3516160
4А,бул. Петко Ю. Тодоров,1404,42.6685130,23.3031718
52,Коста Лулчев,1574,42.6795841,23.3679813
48,бул. Княз Александър Дондуков,1504,42.6983561,23.3331525
525,бул. Ботевградско шосе,1839,42.7094425,23.4587502
81,бул. Тодор Александров,1303,42.6999204,23.3085433
47,Брегалница,1303,42.7000775,23.3070298
167,Нишава,1404,42.6699960,23.3028400
167-171,Нишава,1404,42.6699504,23.3029724
бл.20,Мила родина,1408,42.6771985,23.3009881
46,бул. Гоце Делчев,1620,42.6752190,23.2894374
62,Нишава,1680,42.6766475,23.2933525
1,Св. Георги Софийски,1431,42.6851095,23.3073178
106,Нишава,1408,42.6738434,23.2973396
129,Нишава,1408,42.6722014,23.3000445
105,Нишава,1408,42.6739963,23.2975856
38Б,Солунска,1000,42.6933186,23.3176556
10,Енос,1408,42.6779556,23.3000098
99,Нишава,1408,42.6743068,23.2971205
19-21,Дедеагач,1408,42.6761716,23.3005807
123,Нишава,1408,42.6727352,23.2993185
15,бул. Акад. Иван Евстратиев Гешов,1431,42.6833111,23.3026963
23,Солун,1680,42.6710443,23.2906405
76,бул. Братя Бъкстон,1618,42.6606787,23.2729180
6,Александър Жендов,1113,42.6800424,23.3564250
25,Витошки езера,1434,42.6131658,23.3345190
63,Севастократор Калоян,1616,42.6486250,23.2625638
63,Севастократор Калоян,1616,42.6487849,23.2626155
1,Сердика,1000,42.6981112,23.3246308
4,бул. Цар Освободител,1000,42.6955481,23.3279154
31,бул. Цар Освободител,1504,42.6912812,23.3370891
67А,бул. Ген. Столетов,1233,42.7129631,23.3127639
21,Кестенова гора,1404,42.6717373,23.2963689
2,Стефан Малинов,1408,42.6758971,23.3046804
50A,Алабин,1000,42.6947260,23.3212240
11,Екзарх Йосиф,1000,42.7006456,23.3207018
29,Московска,1000,42.6968320,23.3303604
21,бул. Цар Освободител,1504,42.6919778,23.3361479
20,бул. Цар Освободител,1000,42.6928125,23.3336374
30,бул. Княз Александър Дондуков,1000,42.6977671,23.3304335
8,бул. Мадрид,1505,42.6959494,23.3477364
6,Дико Илиев,1326,42.7433203,23.2796782
16,Неофит Рилски,1000,42.6906540,23.3165775
2,Ангел Кънчев,1000,42.6940296,23.3224160
2-4,Панайот Волов,1527,42.6994728,23.3364141
12Б,Стефан Караджа,1000,42.6926459,23.3248762
66,бул. Симеоновско шосе,1700,42.6499935,23.3353693
7,бул. Искърско шосе,1528,42.6732119,23.3966093
бл. 331А,бул. Никола Мушанов,1330,42.6940559,23.2840120
72,Оборище,1505,42.6934964,23.3509172
16,бул. Цариградско шосе,1113,42.6743351,23.3596292
3,Николай Хайтов,1113,42.6698508,23.3531513
101,бул. Цариградско шосе,1113,42.6715387,23.3653185
12-14,бул. Цариградско шосе,1113,42.6743591,23.3597907
3,Филип Аврамов,1712,42.6459651,23.3792558
231,Цар Симеон,1309,42.7057400,23.2938250
15,Зографски манастир,1309,42.7059095,23.2928567
6,Д-р Любен Русев,1113,42.6689551,23.3644330
6,бул. Никола Й. Вапцаров,1407,42.6657973,23.3196827
2,бул. Асен Йорданов,1113,42.6734879,23.3775341
16,Проф. Георги Брадистилов,1700,42.6571133,23.3571263
8,Стоян Михайловски,1164,42.6738274,23.3346138
32,Св. Георги Софийски,1606,42.6860804,23.3063954
4,Битоля,1680,42.6769371,23.2954790
41,бул. Цар Борис III,1612,42.6824506,23.2946448
9,бул. Шипченски проход,1111,42.6834009,23.3547171
9,бул. Шипченски проход,1111,42.6833181,23.3548592
54,Пирин,1680,42.6644276,23.2839283
46,бул. Шипченски проход,1574,42.6783471,23.3651295
