House number,Street name,Postal code,Latitude,Longitude
641,17th Street West,V7M 0A1,49.3241786,-123.0902118
212,Brooksbank Avenue,V7J 2C1,49.3076581,-123.0400460
1544,Lonsdale Avenue,V7M 2J3,49.3227659,-123.0720834
"935, Suite 39",Marine Dr.,V7P 1S3,49.3223613,-123.0990274
998,Harbourside Drive,V7P 3T2,49.3148745,-123.1005620
1916,Lonsdale Avenue,V7M 2K1,49.3264963,-123.0716789
1418,Lonsdale Avenue,V7M 2J1,49.3213538,-123.0721064
8,Lonsdale Avenue,V7L 0B2,49.3101585,-123.0800580
1451,Fell Avenue,V7P 2K2,49.3220242,-123.0951120
132,West Esplanade,V7M 1A2,49.3117335,-123.0805150
140,14th Street East,V7L 2N3,49.3210765,-123.0703865
1985,Lonsdale Avenue,V7M 2K3,49.3270674,-123.0724795
894,Marine Drive,V7P 1R9,49.3226312,-123.0977670
144,Lonsdale Avenue,V7M 2E8,49.3124069,-123.0778328
145,17th Street West,V7M 3G4,49.3238582,-123.0744096
991,West 3rd Street,V7P 1E4,49.3199819,-123.1019006
850,Harbourside Drive,V7P 3S1,49.3147874,-123.0968717
145,Chadwick Court,V7M 3K2,49.3071487,-123.0740488
850,Harbourside Drive,V7P 0A3,49.3147997,-123.0969833
1100,Lonsdale Avenue,V7M 2H3,49.3180415,-123.0721100
126,West 3rd Street,V7M 1E0,49.3140842,-123.0779690
123,Carrie Cates Court,V7M 3K7,49.3100753,-123.0825190
801,Marine Drive,V7P 3K6,49.3205497,-123.0954837
145,Chadwick Court,V7M 3K1,49.3070192,-123.0738238
720,Copping Street,V7M 3N2,49.3170584,-123.0926407
86,Semisch Avenue,V7M 3H8,49.3135162,-123.0833432
132,West Esplanade,V7M 1A2,49.3116539,-123.0803440
132,West Esplanade,V7M 1A2,49.3117019,-123.0804300
801,Marine Drive,V7P 3K6,49.3210825,-123.0956321
123,Carrie Cates Court,V7M 3K7,49.3102749,-123.0819210
150,West Esplanade Street,V7M 1A0,49.3121458,-123.0815107
333,Brooksbank Avenue,V7J 1X7,49.3082244,-123.0412511
908,West 16th Street,V7P 1R3,49.3234460,-123.0982530
144,Chadwick Court,V7M 3K1,49.3100841,-123.0826619
153,East 1st Street,V7L 1B2,49.3108084,-123.0766194
136,East Esplanade,V7L 4X9,49.3108939,-123.0783370
175,West 3rd Street,V7M 1E7,49.3143559,-123.0795492
138,E 13th St,V7L 0E5,49.3203041,-123.0703800
224,West Esplanade,V7M 1A4,49.3130683,-123.0833720
180,Donaghy Avenue,V7P 2L5,49.3190428,-123.0964714
125,Victory Ship Way,V7L 0B2,49.3097089,-123.0785990
1823,Lonsdale Avenue,V7M 2J8,49.3255692,-123.0724712
275,Fell Avenue,V7P 3R5,49.3199032,-123.0953142
1620,Lonsdale Avenue,V7M 2J3,49.3236463,-123.0720289
1616,Lonsdale Avenue,V7M 2J3,49.3234041,-123.0720342
145,Chadwick Court,V7M 3K1,49.3100579,-123.0829300
113,West 2nd Street,V7M 2E7,49.3127857,-123.0784564
149,East 3rd Street,V7L 1E5,49.3127032,-123.0758594
1906,Lonsdale Ave,V7M 2K1,49.3265169,-123.0719349
211 W.,West 1st Street,V7M 0E3,49.3133294,-123.0826475
342,East Esplanade,V7L 1A4,49.3079129,-123.0716153
700,Copping Street,V7M 3G6,49.3166451,-123.0919810
120,East 13th Street,V7L 4W8,49.3201700,-123.0711720
828,Harbourside Drive,V7P 3R9,49.3147234,-123.0955744
828,Harbourside Drive,V7P 3R9,49.3147514,-123.0961270
828,Harbourside Drive,V7P 3R9,49.3147378,-123.0961291
1160,3rd Street East,V7J 1B8,49.3087990,-123.0447192
200-333,Brooksbank Avenue,V7J 3S8,49.3081002,-123.0417982
935,Marine Drive,V7P 1S2,49.3216214,-123.1001359
20,Brooksbank Avenue,V7J 2B8,49.3016180,-123.0415536
915,West 1st Street,V7P 1A4,49.3176056,-123.0991009
1400,Sutherland Avenue,V7L 4B3,49.3209406,-123.0541729
312,East Esplanade,V7L 1A4,49.3083475,-123.0726777
141,West 14th Street,V7M 1H9,49.3205907,-123.0738169
163,West 5th Street,V7M 1J6,49.3158503,-123.0779486
212,Lonsdale Avenue,V7M 2G1,49.3127176,-123.0772320
105,West 2nd Street,V7M 2E7,49.3124768,-123.0785098
541,West Keith Road,V7M 1M5,49.3194651,-123.0871046
1513,Forbes Ave.,V7M 2Y4,49.3225268,-123.0852694
901,16th,V7P 1R2,49.3229814,-123.0981735
347,East 16th Street,V7L 2T3,49.3227742,-123.0640318
333,West 14th Street,V7M 1P5,49.3208706,-123.0802258
717,West 3rd Street,V7M 0C7,49.3197417,-123.0928668
733,West 3rd Street,V7M 0C8,49.3197192,-123.0935401
201,West 1st Street,V7M 1B3,49.3130882,-123.0822850
720,Copping Street,V7M 3N2,49.3168735,-123.0926975
747,East 3rd Street,V7L 1G8,49.3081792,-123.0578122
723,West 3rd Street,V7M 0C8,49.3191893,-123.0933474
719,West 3rd Street,V7M 0C8,49.3192758,-123.0926695
