House number,Street name,Postal code,Latitude,Longitude
3,Gower Street,a1c 1m9,47.5708959,-52.7018133
7,Burling Crescent,A1E 5G9,47.5295367,-52.7692659
5,Burling Crescent,A1E 5G9,47.5296994,-52.7693880
349,Main Road,A1S 1G8,47.4642807,-52.7709356
294,Water Street,A1C 5J9,47.5620777,-52.7098041
288,Water Street,A1C 5J9,47.5621600,-52.7097021
342,Freshwater Road,A1B 1C2,47.5616339,-52.7466996
127,Harbour Drive,A1C 6N6,47.5610914,-52.7089344
384,Elizabeth Avenue,A1B 1V2,47.5655054,-52.7383976
342,Freshwater Road,A1B 1C2,47.5615959,-52.7467763
336,Freshwater Road,A1B 1C2,47.5619769,-52.7454876
43,Churchill Square,A1B 2X1,47.5754653,-52.7226964
10,Rowan Street,A1B 2X1,47.5746438,-52.7217767
250,Water Street,A1C 1B7,47.5628630,-52.7085316
220,Water Street,A1C1A9,47.5636500,-52.7076537
216,Water Street,A1C1A9,47.5637455,-52.7075666
204,Water Street,A1C1A9,47.5640748,-52.7072742
160,Water Street,A1C1A9,47.5653607,-52.7059780
336,Freshwater Road,A1B 1C2,47.5620685,-52.7453210
336,Freshwater Road,A1B 1C2,47.5621032,-52.7452297
336,Freshwater Road,A1B 1C2,47.5621364,-52.7451654
336,Freshwater Road,A1B 1C2,47.5621602,-52.7450973
10,Rowan Street,A1B 4J9,47.5743745,-52.7222000
36,Pearson Street,A1A 3R1,47.5958856,-52.7093303
36,Pearson Street,A1A 3R1,47.5959002,-52.7092238
36,Pearson Street,A1A 3R1,47.5959646,-52.7092456
12,Gleneyre Street,A1A 2M7,47.6015915,-52.7130229
37,Rowan Street,A1B 2X2,47.5740347,-52.7229539
210,Water Street,A1C1A9,47.5638155,-52.7074836
31,Rowan Street,A1B 2X2,47.5738778,-52.7226819
330,LeMarchant Road,A1E 1R2,47.5508725,-52.7266957
364,Duckworth Street,A1C 1H5,47.5627267,-52.7097339
75,Shaw Street,A1E 4L8,47.5467652,-52.7293420
222,LeMarchant Road,A1C 2H9,47.5557478,-52.7233637
279,Portugal Cove Rd,A1B 2N7,47.5943658,-52.7272525
215,Water Street,A1C 6C9,47.5630653,-52.7076773
351,Kenmount Road,A1B 3P9,47.5489063,-52.7808687
96,Brazil Street,A1C 4V4,47.5597441,-52.7173930
336,Water Street,A1C 1C1,47.5611182,-52.7106491
125,Harbour Drive,A1C 6N6,47.5613714,-52.7085935
14,George Street,A1C 1H7,47.5618744,-52.7107575
35,Rowan Street,A1B 2X2,47.5739271,-52.7227655
7,Rowan Street,A1B 2X2,47.5735771,-52.7220322
9,Rowan Street,A1B 2X2,47.5736062,-52.7220841
15,Rowan Street,A1B 2X2,47.5736348,-52.7221479
15,Rowan Street,A1B 2X2,47.5736816,-52.7223080
21,Rowan Street,A1B 2X2,47.5737018,-52.7223723
23,Rowan Street,A1B 2X2,47.5738096,-52.7225787
439,Allandale Road,A1B 4E8,47.5832077,-52.7491381
40,Livyer's Loop,A1B 3P7,47.5736636,-52.7300761
459,Torbay Road,A1A 5C9,47.6071183,-52.7211197
47,Harvey Road,A1C 2E9,47.5648190,-52.7125470
12;12A,MacPherson Avenue,A1B 2B9,47.5632123,-52.7524951
11,MacPherson Avenue,A1B 2B8,47.5633065,-52.7520709
2,MacPherson Avenue,A1B 2B9,47.5639330,-52.7521586
3,MacPherson Avenue,A1B 2B8,47.5638654,-52.7518220
50,Thorburn Road,A1B 3M1,47.5629670,-52.7560718
44;44A,Larkhall Street,A1B 2C6,47.5656873,-52.7526099
74;74A,Baird Place,A1B 2B2,47.5620558,-52.7502694
75;75A,Baird Place,A1B 2A7,47.5621241,-52.7498494
2;2A,Ayrshire Place,A1B 3L4,47.5625140,-52.7506046
12,Ayrshire Place,A1B 3L4,47.5627974,-52.7509747
15,Ayrshire Place,A1B 3L4,47.5627074,-52.7501769
14;14A,Prestwick Place,A1B 3L3,47.5633797,-52.7499706
2,Prestwick Place,A1B 3L3,47.5631837,-52.7503582
54,Baird Place,A1B 2A9,47.5635524,-52.7496897
1;1A,Larkhall Street,A1C 2C2,47.5628419,-52.7555710
3,Ayrshire Place,A1B 3L4,47.5625313,-52.7508389
4,Ayrshire Place,A1B 3L4,47.5625556,-52.7510272
5,Ayrshire Place,A1B 3L4,47.5625661,-52.7512065
6;6A,Ayrshire Place,A1B 3L4,47.5625294,-52.7514606
7;7A,Ayrshire Place,A1B 3L4,47.5626126,-52.7516068
8,Ayrshire Place,A1B 3L4,47.5627136,-52.7516702
9,Ayrshire Place,A1B 3L4,47.5628208,-52.7516088
10,Ayrshire Place,A1B 3L4,47.5628713,-52.7514347
11,Ayrshire Place,A1B 3L4,47.5628439,-52.7512062
