House number,Street name,Postal code,Latitude,Longitude
4177,Vermont Crescent,L7M 4A6,43.3899332,-79.8064251
4187,Arbourfield Drive,L7M 4A5,43.3897650,-79.8049118
4171,Arbourfield Drive,L7M 4A7,43.3890529,-79.8064059
4193,Arbourfield Drive,L7M 4A5,43.3900524,-79.8043474
4199,Arbourfield Drive,L7M 4A5,43.3905062,-79.8039254
2900,Walkers Line,L7M 4M8,43.3902422,-79.8225184
2000,Appleby Line,L7L 7H7,43.3938872,-79.7911685
2000,Appleby Line,L7L 7H7,43.3934616,-79.7913914
458,Guelph Line,L7R 3L9,43.3382280,-79.7861910
2345,Fairview Street,L7R 2E3,43.3442831,-79.8017963
4265,Fairview Street,L7L 2A4,43.3671433,-79.7714180
571,Brant Street,L7R 2G6,43.3296239,-79.8018831
561,Brant Street,L7R 2G6,43.3293198,-79.8015781
5230,Harvester Road,L7L 4X4,43.3841925,-79.7602670
5390,Cachet Crescent,L7L 7C5,43.4027146,-79.7878241
2128,Old Lakeshore Road,L7R 1A3,43.3266213,-79.7904208
1100,Walkers Line,L7N 2G3,43.3681648,-79.7907185
2200,Leominster Drive,L7P 3X1,43.3649582,-79.8436743
2258,Leominster Drive,L7P 3X1,43.3664083,-79.8411814
101,North Service Road,L7R 4C2,43.3137848,-79.8619118
975,Warwick Court,L7T 3Z7,43.3228058,-79.8302498
2080,Appleby Line,L7L 6M0,43.3970400,-79.7969735
2080,Appleby Line,L7L 6M0,43.3970172,-79.7967948
3600,Dundas Street,L7M 4B8,43.3915461,-79.8236730
2000,Appleby Line,L7L 7H7,43.3941984,-79.7916672
2011,Plains Road East,L7R 3R3,43.3388586,-79.8174338
4021,Upper Middle Road,L7R 3X5,43.3799294,-79.8062428
400,Brant Street,L7R 2G2,43.3255529,-79.7978714
2041,Pine Street,L7R 1E9,43.3260720,-79.7954259
421;425,Brant Street,L7R 2G3,43.3262173,-79.7983148
1900,Appleby Line,L7L 0B7,43.3920726,-79.7885682
3060,Davidson Court,L7M 4X7,43.3577398,-79.8064666
777,Guelph Line,L7R 3N2,43.3472177,-79.7942107
699,Guelph Line,L7R 3M7,43.3450826,-79.7935831
4025,New Street,L7L 1S8,43.3539743,-79.7694457
443,Brant Street,L7R 2G3,43.3265703,-79.7988753
414,Pearl Street,L7R 4G2,43.3265160,-79.7947735
4040,Palladium Way,L7M 0V6,43.3966083,-79.8289708
777,Guelph Line,L7R 3N2,43.3487888,-79.7952143
892,Brant Street,L7R 2J5,43.3358595,-79.8133128
3050,Davidson Court,L7N 4X7,43.3573576,-79.8057852
