House number,Street name,Postal code,Latitude,Longitude
1030,McConnell Avenue,K6H 4N1,45.0351881,-74.7247571
601,Tollgate Road East,K6H 5R6,45.0507852,-74.7369376
45,Second Street East,K6H 1Y3,45.0191063,-74.7271298
1620,Brookdale Avenue,K6J 4R1,45.0324202,-74.7568843
1950,McConnell Avenue,K6H 0C1,45.0498384,-74.7375506
116,Pitt Street,K6J 3P4,45.0170497,-74.7282550
1003,Montreal Road,K6H 1E1,45.0187385,-74.7022067
609,Pitt Street,K6J 3R8,45.0250327,-74.7315214
126,Second Street West,K6J 1G5,45.0170140,-74.7312553
173,Montreal Road,K6H 1B2,45.0183905,-74.7133239
703,Cotton Mill Street,K6H 0E7,45.0160319,-74.7098760
820,Mcconnell Avenue,K6H 4M4,45.0285397,-74.7171304
525,Ninth Street East,K6H 0A3,45.0324284,-74.7241577
1327,Pitt Street,K6J 3T7,45.0360826,-74.7413946
420,Ninth Street,K2J 0B3,45.0233168,-74.7435436
30,13th Street East,K6H 6V9,45.0343218,-74.7384705
31,Ninth Street East,K6H 6R3,45.0306731,-74.7344829
465,Pitt Street,K6J 3R3,45.0221570,-74.7304733
116,South Branch Road,K6H 5R6,45.0635712,-74.7345432
1900,Montreal Road,K6H 7L1,45.0260874,-74.6835240
201,11th Street East,K6H 2Y6,45.0333882,-74.7320961
420,Ninth Street West,K6J 0B3,45.0237241,-74.7430178
1,Water Street East,K6H 6M2,45.0161353,-74.7257886
437,Sydney Street,K6H 3H9,45.0228229,-74.7280139
41,Amelia Street,K6H 7E5,45.0177501,-74.7230367
200,Amelia Street,K6H 0A5,45.0200430,-74.7256043
300,Adolphus Street,K6H 3S6,45.0220512,-74.7244099
437,Sydney Street,K6H 3H9,45.0229115,-74.7276394
1320,Lisieux Street,K6J 4Z4,45.0319208,-74.7506498
1755,Vincent Massey Drive,K6H 5R6,45.0318085,-74.7686247
220,Emma Avenue,K6J 5V8,45.0373693,-74.7512829
1545,Vincent Massey Drive,K6H 5R6,45.0316849,-74.7622289
220,Water Street East,K6H 5T7,45.0155190,-74.7207352
1325,Second Street East,K6H 2B6,45.0257730,-74.7037581
840,McConnell Avenue,K6H 5S5,45.0303772,-74.7179113
14,York Street,K6J 5T2,45.0146711,-74.7323304
715,Augustus Street,K6J 3X3,45.0255628,-74.7350280
711,Augustus Street,K6J 3X3,45.0259153,-74.7352388
1401,Dover Road,K6J 1V6,45.0152354,-74.7666227
323,Augustus Street,K6H 4B4,45.0201034,-74.7315498
609,Pitt Street,K6J 3R8,45.0250573,-74.7306484
7,Ninth Street East,K6H 6R3,45.0301421,-74.7352671
2330,Industrial Park Drive,K6H 7N1,45.0510144,-74.6867656
2258,Pitt Street,K6K 1A3,45.0570711,-74.7617249
341,Balmoral Avenue,K6H 3G6,45.0407431,-74.7368045
420,Fifteenth Street West,K6J 3K5,45.0343150,-74.7524196
1500,Cumberland Street,K6J 5V9,45.0367144,-74.7510310
1500,Cumberland Street,K6J 5V9,45.0358142,-74.7491512
607,Surgenor Street,K6J 2H5,45.0184490,-74.7680355
510,McConnell Avenue,K6H 4M1,45.0239692,-74.7127746
850,Nick Kaneb Drive,K6H 6Z2,45.0366557,-74.7064706
1650,Second Street East,K6H 2C3,45.0318530,-74.6940845
1811,Second Street East,K6H 6P1,45.0308744,-74.6912473
1500,Holy Cross Boulevard,K6H 2X1,45.0369509,-74.7010348
1450,Second Street East,K6H 5Z8,45.0310573,-74.6989719
1111,Montreal Road,K6H 1E1,45.0182504,-74.6998011
850,McConnell Avenue,K6H 4M3,45.0311885,-74.7199107
2,St. Lawrence Drive,K6H 4Z1,45.0167695,-74.7006674
1200,Second Street West,K6J 1J3,45.0114237,-74.7589317
1213,Hebert Street,K6J5B1,45.0281509,-74.7505294
321,Tollgate Road East,K6H 5R6,45.0487059,-74.7435086
724,Amelia Street,K6H 2T3,45.0277027,-74.7295710
724,Amelia Street,K6H 2T3,45.0277950,-74.7294544
726,Amelia Street,K6H 2T3,45.0276927,-74.7294422
728,Amelia Street,K6H 2T3,45.0275510,-74.7292699
439,Second Street East,K6H 1Z2,45.0215606,-74.7187919
801,Fourth Street East,K6H 7M8,45.0259111,-74.7145281
726,Amelia Street,K6H 2T3,45.0276051,-74.7295077
2500B,Second Street West,K6H 5R6,45.0081886,-74.7838396
