House number,Street name,Postal code,Latitude,Longitude
1,Wyndham Street North,N1H4E2,43.5445648,-80.2476087
24,Carden Street,N1H 3A2,43.5438672,-80.2489631
75,Cardigan Street,N1H 3Z7,43.5508042,-80.2542965
79,Carden Street,N1H 3A4,43.5443631,-80.2469286
369,Gordon Street,N1G 1X8,43.5323034,-80.2330668
3,Clair Road West,N1L 0Z6,43.4999439,-80.1917944
35,Harvard Road,N1G 3A2,43.5249669,-80.2222102
615,Scottsdale Drive,N1G 3P4,43.5140995,-80.2394903
7,Clair Road West,N1L 0A6,43.5008632,-80.1905185
8,Douglas Street,N1H2S9,43.5465908,-80.2490199
222,Silvercreek Parkway North,N1H 7P8,43.5434579,-80.2867841
567,Kortright Road West,N1G 3J6,43.5085985,-80.2317586
80,Imperial Road South,N1K 2A1,43.5254633,-80.2862704
142,York Road,N1E 3E9,43.5430590,-80.2361667
1388,Gordon Street,N1L 1C8,43.5129539,-80.1978886
183,Woolwich Street,N1H3V6,43.5484376,-80.2527251
2,Quebec Street,N1H 2T3,43.5456515,-80.2517868
175,Dawson Road,N1H 1A1,43.5539571,-80.2851670
104,Silvercreek Parkway North,N1H 3T0,43.5382029,-80.2786837
567,Silvercreek Parkway North,N1H 6J2,43.5532417,-80.2978383
5,Woodlawn Road West,N1H 1G8,43.5654646,-80.2782713
565,Woodlawn Road West,N1K 1E9,43.5433865,-80.3097142
21,Imperial Road South,N1K 1X3,43.5250982,-80.2910636
380,Eramosa Road,N1E 6R2,43.5624485,-80.2490981
20,Carden Street,N1H 3A2,43.5438218,-80.2490871
100,Crimea Street,N1H2Y6,43.5365785,-80.2627738
423,Woolwich Street,N1H 3X3,43.5534100,-80.2610492
715,Wellington Street West,N1H 8L8,43.5214951,-80.2688170
75,Yarmouth Street,N1H 4G2,43.5476958,-80.2526152
166,Woolwich Street,N1H 3V3,43.5480368,-80.2520303
77,Yarmouth Street,N1H 4G2,43.5477502,-80.2526316
172,Woolwich Street,N1H 3V5,43.5480296,-80.2524363
170,Woolwich Street,N1H 3V5,43.5480781,-80.2524498
36,Penfold Drive,N1e0c8,43.5797160,-80.2202700
369,Eastview Road,N1e0c8,43.5798260,-80.2214730
387,Eastview Road,N1e0c8,43.5802020,-80.2209550
82,Yarmouth Street,N1H 4G3,43.5478369,-80.2529330
37,Yarmouth Street,N1H 4G2,43.5466307,-80.2523104
460,York Road,N1E 3H8,43.5507097,-80.2259022
485,Silvercreek Parkway North #13,N1H 7K5,43.5513947,-80.2955377
510,Massey Road,N1K 1B4,43.5324719,-80.3128049
995,Paisley Road,N1K 1X6,43.5238517,-80.2869979
35,Harvard Road,N1G 3A2,43.5247881,-80.2219762
666,Woolwich Street,N1H 7G0,43.5583547,-80.2695399
20,Woodlawn Road East,N1H1G7,43.5675097,-80.2764118
119,Norfolk Street,N1H 4J7,43.5464810,-80.2527801
121,Norfolk Street,N1H 4J7,43.5465087,-80.2528071
130,Silvercreek Parkway North,N1H 7Y5,43.5391462,-80.2806944
400,Elizabeth Street,N1E 2Y1,43.5559079,-80.2275482
12,Charles Street,N1H 2E2,43.5488277,-80.2563182
80,Regal Road,N1K 1C1,43.5505835,-80.3036148
195,Hanlon Creek Boulevard,N1C 0A1,43.4908547,-80.2175586
191,Silvercreek Parkway North,N1H3T2,43.5419527,-80.2811497
21,Imperial Road South,N1K1X3,43.5249918,-80.2909207
336,Speedvale Avenue West,N1H 7M7,43.5422289,-80.2897920
222,Silvercreek Parkway North,N1H 8E8,43.5430466,-80.2863215
232,Speedvale Avenue West,N1H 7P8,43.5437756,-80.2874059
130,Silvercreek Parkway North,N1H 7Y5,43.5402408,-80.2816789
183,Silvercreek Parkway North,N1H3T2,43.5413169,-80.2803977
340,Woodlawn Road West,N1H 7K6,43.5477155,-80.2973991
21,Imperial Road South,N1K 1X3,43.5248895,-80.2913283
54,Preston Street,N1H 3C3,43.5380320,-80.2557231
304,Stone Road West,N1G 3C4,43.5177481,-80.2345931
490,York Road,N1E 6V1,43.5517382,-80.2255298
103,Clair Road East,N1L 0J7,43.5000147,-80.1871030
650,Woodlawn Rd. W,N1K 1B8,43.5423003,-80.3069941
95,Stone Road West,N1H 8J7,43.5251722,-80.2290552
20,Clair Road West,N1L 0A6,43.4997111,-80.1893067
150,Wyndham Street North,N1H 4E8,43.5473578,-80.2507587
146,Wyndham Street North,N1H 4E8,43.5473020,-80.2506968
370,Stone Road West,N1G 2X0,43.5163312,-80.2364747
672,Woolwich Street,N1H 3Z1,43.5598894,-80.2711092
498,Edinburgh Road South,N1G4Z1,43.5219067,-80.2342600
492,Edinburgh Road South,N1G 4Z1,43.5215816,-80.2354503
435,Stone Road West,N1G 2X6,43.5175305,-80.2390198
