House number,Street name,Postal code,Latitude,Longitude
38,Clarence Street,K7L 1W9,44.2292189,-76.4812488
285,King Street East,K7I 3B1,44.2292872,-76.4819118
1177,John Counter Boulevard,K7K 6C7,44.2598381,-76.5066058
400,Princess Street,K7L 1B8,44.2330246,-76.4923745
414,Princess Street,K7L 1B8,44.2330872,-76.4925473
399 1/2,Princess Street,K7L 1B9,44.2332964,-76.4922384
18,Market Street,K7L 1W8,44.2296082,-76.4811588
136,Princess Street,K7L 1A7,44.2316436,-76.4839723
312,Princess Street,K7L 1B6,44.2325134,-76.4892390
46,Montreal Street,K7K 3E6,44.2326742,-76.4855188
4039,Bath Road,K7M 4Y5,44.2419764,-76.6092188
1683,Bath Road,K7M 4X2,44.2366303,-76.5698742
655,Development Drive,K7M 4W6,44.2409638,-76.5683076
68,Princess Street,K7L 1A5,44.2311007,-76.4815269
1300,Bath Road,K7M 2E9,44.2393497,-76.5479720
318,King Street East,K7L 2Z3,44.2300884,-76.4817072
251,Princess Street,K7L 1B4,44.2324621,-76.4874016
1600,Bath Road,K7M 4X7,44.2389100,-76.5625043
636,Gardiners Road,K7M 3X9,44.2450728,-76.5634717
830,Norwest Road,K7P 2N4,44.2580000,-76.5760082
507,Princess Street,K7L 1C6,44.2352810,-76.4965507
795,Gardiners Road,K7M 7E6,44.2510097,-76.5690091
1300,Bath Road,K7M 4X4,44.2392230,-76.5451515
1096,Princess Street,K7L 1H2,44.2428094,-76.5161641
1046,Princess Street,K7L 1H2,44.2427340,-76.5159843
616,Gardiners Road,K7M 3X9,44.2431784,-76.5643181
488,Gardiners Road,K7M 7W9,44.2360115,-76.5663609
1300,Bath Road,K7M 4X4,44.2392184,-76.5456369
1201,Division Street,K7K 6X4,44.2654823,-76.4966434
1201,Division Street,K7K 6X4,44.2657733,-76.4965943
630,Fortune Crescent,K7P 2T3,44.2713476,-76.5681123
349,Wellington Street,K7K 6N7,44.2361211,-76.4792921
1699,Trident Yacht Club Lane,K7G 2V5,44.3052197,-76.2593908
62,Princess Street,K7L 1A5,44.2312435,-76.4811408
93,Princess Street,K7L 1A6,44.2316523,-76.4821737
770,Gardiners Road,K7M 3X9,44.2485872,-76.5665302
759,Progress Avenue,K7M 6N6,44.2468470,-76.5755688
193,Ontario Street,K7L 2Y7,44.2290007,-76.4806674
279,Wellington Street,K7K 6E1,44.2343976,-76.4810800
1011,Princess Street,K7L 1H3,44.2434378,-76.5145475
4000,Bath Road,K7M 4Y4,44.2407614,-76.6024008
1650,Bath Road,K7M 4X6,44.2375508,-76.5668149
244,McMahon Avenue,K7M 3H2,44.2497240,-76.5224524
523,Princess Street,K7L 1C6,44.2352052,-76.4969301
300,King Street East,K7I 3B4,44.2298875,-76.4818587
100,Princess Street,K7L 1A7,44.2315026,-76.4827420
78,Princess Street,K7L 1A5,44.2313294,-76.4817503
1677,Bath Road,K7M 4X2,44.2366435,-76.5693178
1530,Bath Road,K7M 4X6,44.2372092,-76.5591771
1286,Highway 15,A2V 0B8,44.2726778,-76.4473768
1283,Highway 15,A2V 0B8,44.2727192,-76.4468570
1281,Highway 15,B0P 1R0,44.2725135,-76.4470884
1292,Highway 15,B0P 1R0,44.2728835,-76.4471454
33,McFadden Lane,K7L 5H6,44.2987504,-76.2945220
34,McFadden Lane,K7L 5H6,44.2987506,-76.2947657
165,Ontario Street,K7L 2Y6,44.2278236,-76.4815833
320,Princess Street,K7L 1A5,44.2325623,-76.4895034
528,Princess Street,K7L 1C5,44.2349865,-76.4971833
1478,Unity Road,K0H 1S0,44.3204759,-76.5015387
139,Drennan Street,K7K 2S7,44.2608930,-76.4879843
336,Barrie Street,K7K 3T1,44.2334317,-76.4907331
344,Princess Street,K7L 1B6,44.2326472,-76.4900558
105,Clergy Street East,K7L 3J4,44.2320799,-76.4889380
660,Arlington Park Place,K7M 9A5,44.2495300,-76.5700117
331,Bath Road,K7M2X6,44.2401925,-76.5276336
1300,Bath Road,K7M 4X4,44.2393635,-76.5473662
427,Princess Street,K7L 5S9,44.2336111,-76.4928338
214,Wellington Street,K7K 2Y5,44.2322355,-76.4823394
12,Cataraqui Street,K7K 1Z7,44.2416845,-76.4828265
844A,Princess Street,K7L 1G5,44.2398986,-76.5089875
400,Bath Road,K7M 2Y3,44.2377942,-76.5370527
1224,Highway 15,K7L 0C4,44.2697209,-76.4510887
791,Princess Street,K7L 1E9,44.2394586,-76.5066540
800,Princess Street,K7L 5E4,44.2390642,-76.5072782
863,Princess Street,K7L 5N4,44.2406283,-76.5095698
849,Princess Street,K7L 1G7,44.2402177,-76.5090787
277,Bath Road,K7M 2X6,44.2404505,-76.5247202
620,Cataraqui Woods Drive,K7P 1T8,44.2674335,-76.5667987
200,Ontario Street,K7L 2Y9,44.2293374,-76.4807466
30,Montreal Street,K7L 3G6,44.2324621,-76.4855770
1391,Waterside Way,K7K 0E9,44.2756674,-76.4469648
1395,Waterside Way,K7K 0E9,44.2756965,-76.4465934
1708,Reginald Bart Drive,K7K 0E8,44.2750267,-76.4485407
1351,Waterside Way,K7K 0E7,44.2743999,-76.4502799
1353,Waterside Way,K7K 0E7,44.2744090,-76.4501562
1374,Waterside Way,K7K 0G2,44.2759297,-76.4485988
1378,Waterside Way,K7K 0G2,44.2759522,-76.4482988
1380,Waterside Way,K7K 0G2,44.2759639,-76.4481612
1388,Waterside Way,K7K 0E9,44.2760231,-76.4476265
1393,Waterside Way,K7K 0E9,44.2756829,-76.4467710
1704,Reginald Bart Drive,K7K 0E7,44.2749352,-76.4488264
700,Newmarket Lane,K7K 0C8,44.2600476,-76.4792634
702,Newmarket Lane,K7K 0C8,44.2599803,-76.4793272
704,Newmarket Lane,K7K 0C8,44.2598962,-76.4793813
706,Newmarket Lane,K7K 0C8,44.2597937,-76.4792597
