House number,Street name,Postal code,Latitude,Longitude
115,Mitton Street South,N7T 3C5,42.9700310,-82.3986685
10,Lorne Crescent,N7S 1H8,42.9692438,-82.3757846
983,Eastlawn Avenue,N7S 1X3,42.9855894,-82.3729610
1797,Confederation Line,N7W 1A5,42.9567148,-82.3238542
1362,Lambton Mall Road,N7S 5A1,42.9810471,-82.3558386
759,Exmouth Street,N7T 7S5,42.9849141,-82.3833893
500,Exmouth Street,N7T 5P4,42.9865794,-82.3880463
1670,London Line,N7W 1B2,42.9842176,-82.3311861
1741,London Line,N7T 7H2,42.9832703,-82.3266077
2684,Lakeshore Road,N0N 1C0,43.0277959,-82.2544187
900,Wellington Street,N7T 1J5,42.9686804,-82.3766953
1491,Plank Road,N7T 7H3,42.9346211,-82.3471293
125,Green Street,N7T 2K4,42.9572496,-82.3889155
885,Campbell Street,N7T 1M9,42.9582769,-82.3785270
835,Ontario Street,N7T1N1,42.9580684,-82.3797586
190,Maxwell Street,N7T 4V8,42.9813352,-82.4018406
1464,Blackwell Road,N7S 5M4,43.0103452,-82.3467280
955,Lakeshore Road,N7V 2V3,43.0124163,-82.3734942
283,Christina Street North,N7T 5V4,42.9759318,-82.4058701
1221,Michigan Avenue,N7S 3Y3,42.9989049,-82.3641222
275,Wellington Street,N7T 1H1,42.9679059,-82.4013447
275,Finch Drive,N7S 5A2,42.9606930,-82.3507879
269,Finch Drive,N7S 5A2,42.9614116,-82.3506176
1380,London Road,N7S 1P8,42.9825434,-82.3516413
1400,Wellington Street,N7S 5R5,42.9712347,-82.3562985
49,Finch Drive,N7S 5P5,42.9698133,-82.3545644
1000,Finch Drive,N7S 6E9,42.9713987,-82.3536416
170,Sycamore Drive,N7T 4K7,42.9737749,-82.3801366
150,Christina Street North,N7T 7W5,42.9729666,-82.4061970
134,Brock Street South,N7T 2W2,42.9693361,-82.4033579
160,George Street,N7T 5S6,42.9748290,-82.4055532
124,Christina Street South,N7T 8E1,42.9699464,-82.4076977
229,Wellington Street,N7T 1G9,42.9678130,-82.4038178
749,Devine Street,N7T 1X3,42.9636316,-82.3841086
450,Trudeau Drive,N7S 6H4,42.9607626,-82.3572434
1444,Quinn Drive,N7S 6M8,42.9887131,-82.3480056
180,Canterbury Court,N7T 7S3,42.9630906,-82.3820496
555,Christina Street North,N7T 7X6,42.9848743,-82.4008771
836,Ontario Street,N7T1N1,42.9584642,-82.3793621
720,Elm Avenue,N7T 4H3,42.9731727,-82.3821216
240,London Road,N7T 4V8,42.9791506,-82.3998366
28,Minto Street,N7S 2R5,42.9741846,-82.3734340
32,Minto Street,N7S 2R5,42.9743322,-82.3734371
36,Minto Street,N7S 2R5,42.9745009,-82.3734386
40,Minto Street,N7S 2R5,42.9746380,-82.3734420
46,Minto Street,N7S 2R5,42.9748065,-82.3734365
50,Minto Street,N7S 2R5,42.9750095,-82.3734557
682,Copland Road,N7T 7B4,42.9810989,-82.3812475
686,Copland Road,N7T 7B4,42.9812227,-82.3813394
690,Copland Road,N7T 7B4,42.9813650,-82.3812377
692,Copland Road,N7T 7B4,42.9814776,-82.3813115
696,Copland Road,N7T 7B4,42.9816117,-82.3812985
700,Copland Road,N7T 7B4,42.9817493,-82.3810781
704,Copland Road,N7T 7B4,42.9819015,-82.3811203
708,Copland Road,N7T 7B4,42.9820428,-82.3812897
714,Copland Road,N7T 7B4,42.9821723,-82.3812521
716,Copland Road,N7T 7B4,42.9823200,-82.3812706
720,Copland Road,N7T 7B4,42.9824785,-82.3812451
1493,Evan Street,N7V 3Z3,43.0085529,-82.3773679
301,Talfourd Street,N7T 1P4,42.9662903,-82.4012192
303,Talfourd Street,N7T 1P4,42.9663092,-82.4010987
305,Talfourd Street,N7T 1P4,42.9663090,-82.4009512
307,Talfourd Street,N7T 1P4,42.9663017,-82.4007843
309,Talfourd Street,N7T 1P4,42.9662892,-82.4006101
311,Talfourd Street,N7T 1P4,42.9662874,-82.4004468
313,Talfourd Street,N7T 1P4,42.9662822,-82.4003081
315,Talfourd Street,N7T 1P4,42.9662845,-82.4001760
1315,Exmouth Street,N7S 3Y1,42.9840028,-82.3574401
1380,London Road,N7S 1P7,42.9839921,-82.3536835
1498,Plank Road,N7T 7H3,42.9353541,-82.3464983
1501,Plank Road,N7T 7H5,42.9342433,-82.3459327
1741,London Line,N7T 7H2,42.9827542,-82.3263341
1670,London Line,N7W 1B2,42.9844571,-82.3311889
