House number,Street name,Postal code,Latitude,Longitude
54,Church Street,L2R 7K2,43.1601991,-79.2460466
2083,Seventh Street Louth,L2R 6P9,43.1494658,-79.3075610
500,Glenridge Avenue,L2S 3A1,43.1205252,-79.2435717
1029,Pelham Road,L2R 6P7,43.1180004,-79.2726405
210,Glendale Avenue,L2T 3Y6,43.1317928,-79.2257857
210,Glendale Avenue,L2T 3Y6,43.1318237,-79.2262601
210,Glendale Avenue,L2T 3Y6,43.1317503,-79.2250632
210,Glendale Avenue,L2T 3Y6,43.1317728,-79.2253630
210,Glendale Avenue,L2T 3Y6,43.1317283,-79.2246643
210,Glendale Avenue,L2T 3Y6,43.1317791,-79.2255136
343,Glendale Avenue,L0S 1J0,43.1366163,-79.2148213
306,Glendale Avenue,L2T 2L5,43.1352639,-79.2174871
210,Glendale Avenue,L2T 3Y6,43.1318158,-79.2261582
43,Wright Street,L2P 3J5,43.1678352,-79.2178919
166,Bunting Road,L2M 3Y1,43.1689170,-79.2088019
198,Welland Avenue,L2R 2P3,43.1657397,-79.2393909
420,Vansickle Road,L2R 6P9,43.1515926,-79.2695735
420,Vansickle Road,L2S 0C7,43.1515630,-79.2700129
340,Vine St #5,L2M 4T5,43.1854409,-79.2304791
301,St. Paul Street,L2R 7R4,43.1595538,-79.2427678
55,Carlisle Street,L2R 3M7,43.1590446,-79.2431429
241,St. Paul Street,L2R 3M7,43.1586300,-79.2433358
224,St. Paul Street,L2R 3M6,43.1581918,-79.2434539
281,St. Paul Street,L2R 3M8,43.1592171,-79.2427525
3,Race Street,L2R 3M1,43.1585441,-79.2414666
160,Cushman Road,L2M 6T6,43.1784221,-79.1993794
1607,Eighth Ave Louth,L2R 6P7,43.1193736,-79.3044233
354,St Paul Street,L2R 3N2,43.1600975,-79.2414049
720,Lake Street,L2N 4J5,43.2068316,-79.2524401
98,St Paul Street,L2R 3M2,43.1568578,-79.2450920
103,Lakeshore Road,L2N 2T1,43.2047439,-79.2442768
1027,Pelham Road,L2R 6P7,43.1183483,-79.2723150
1,W Lynn Street,L2N 3N6,43.1959892,-79.2379809
420,Vansickle Road,L2S0C7,43.1533630,-79.2694565
17,Lock Street,L2N 5B6,43.2023966,-79.2669245
425,Carlton Street,L2M 4W8,43.1807059,-79.2259520
123,Geneva Street,L2R 4N3,43.1670726,-79.2407793
224,Glenridge Avenue,L2T 3J9,43.1411858,-79.2403477
224,Glenridge Avenue,L2T 3J8,43.1421724,-79.2402227
224,Glenridge Avenue,L2T 3J9,43.1420678,-79.2402245
10,Macturnbull Dr,L2S 3W5,43.1313916,-79.2689367
58,Leeson Street North,L9W 7P9,43.1322285,-79.2091649
271 B,Merritt Street,L2T 1K1,43.1374806,-79.2149982
413,Linwell Road,L2M 7Y2,43.2019772,-79.2242253
400,Scott Street,L2N 6T4,43.1881736,-79.2294875
286,Bunting Road,L2M 7S5,43.1782721,-79.2079786
275,4th Avenue,L2R 6P9,43.1563070,-79.2679758
177-185,St. Paul Street,L2R 6T3,43.1579461,-79.2443802
270,St. Paul Street,L2R,43.1590331,-79.2424549
324,St. Paul Street,L2R 3M9,43.1597698,-79.2417428
111,Hartzel Road,L2P 1N6,43.1514246,-79.2148456
125,Hartzel Road,L2P 1N6,43.1511409,-79.2148376
483A,Eastchester Avenue East,L2M 6S2,43.1701366,-79.2028790
485B,Eastchester Avenue East,L2M 6S2,43.1704272,-79.2019818
485A,Eastchester Avenue East,L2M 6S2,43.1704232,-79.2022057
2,Merritt Street,L2T 1J3,43.1334340,-79.1994028
464,Welland Avenue,L2M 5V4,43.1733722,-79.2171126
8,Ontario Street,L2R 7M3,43.1558000,-79.2469392
387,St. Paul Street,L2R 3N2,43.1607825,-79.2413417
284,Glendale Avenue,L2T2L3,43.1345340,-79.2198670
290,Glendale Avenue,L2T2L3,43.1347014,-79.2191417
1860,Sir Isaac Brock Way,L2T 4C2,43.1192561,-79.2396860
320,Lakeshore Road,L2M 7Z3,43.2147275,-79.2132622
210,Glendale Avenue,L2T 3Y6,43.1317131,-79.2269502
5,Neilson Ave,L2M 5V9,43.1706790,-79.2155876
525,Welland Avenue,L2M 6P3,43.1770237,-79.2116564
420,Vansickle Road,L2S 0C7,43.1516974,-79.2675950
221,Glendale Avenue,L2T 2K9,43.1373491,-79.2234842
193,St Paul Street West,L2S2C9,43.1462955,-79.2557628
285,Geneva St,L2N 2G1,43.1777432,-79.2446823
221,Glendale Avenue,L2T 2K9,43.1358353,-79.2221909
601-221,Glendale Avenue,L2T 2K9,43.1347449,-79.2226767
215,Glenridge Avenue,L2T 3J7,43.1409648,-79.2385503
145,Carlton Street,L2R 1R5,43.1722512,-79.2521910
130,Louth Street,L2S 2T8,43.1383837,-79.2568999
81,Rykert Street,L2S 1Z2,43.1400886,-79.2564282
348,Scott Street,L2N 1J5,43.1865212,-79.2335547
385,Vine Street,L2M 6W4,43.1863188,-79.2316270
383,Vine Street,L2M 6W3,43.1854961,-79.2322747
463,Eastchester Avenue East,L2M 6S2,43.1694270,-79.2050768
445,Eastchester Avenue East,L2M 6S2,43.1697058,-79.2070460
451,Eastchester Avenue East,L2M 6S2,43.1693116,-79.2063775
461,Eastchester Avenue East,L2M 6S2,43.1693199,-79.2055840
449,Eastchester Avenue East,L2M 6S2,43.1703019,-79.2070687
475,Eastchester Avenue East,L2M 6S2,43.1699591,-79.2041241
495,Eastchester Avenue East,L2M 6S2,43.1709315,-79.2010141
493,Eastchester Avenue East,L2M 6S2,43.1707200,-79.2016182
311,Geneva Street,L2N 2G1,43.1788906,-79.2421667
600,Lake Street,L2N 4J4,43.1967078,-79.2513853
87,Meadowvale Drive,L2N 3Z8,43.1793648,-79.2541696
541,Lake Street,L2N 4H7,43.1934607,-79.2543016
535,Lake Street,L2N 4H7,43.1918413,-79.2538857
690,Lake Street,L2N 4J5,43.2036559,-79.2514426
1,Monck Street,L2S 1L5,43.1479896,-79.2495403
411,Louth Street,L2S 4A2,43.1539719,-79.2667752
