House number,Street name,Postal code,Latitude,Longitude
6,Princess Street West,N2L 2X8,43.4668757,-80.5233766
133,Weber Street North,N2J 3G9,43.4719443,-80.5152179
550,King Street North,N2L 5W6,43.4970300,-80.5263144
550,King Street North,N2L 5W6,43.4969239,-80.5268041
550,King Street North,N2L 5W6,43.4970844,-80.5263097
550,King Street North,N2L 5W6,43.4969696,-80.5265479
115,King Street South,N2J 5A3,43.4620358,-80.5217836
75,King Street South,N2J 1P2,43.4637215,-80.5227623
550,King Street North,N2L 5W6,43.4979863,-80.5280128
75,King Street South,N2J 1P2,43.4637618,-80.5238449
200,University Avenue West,N2L 3G1,43.4713308,-80.5454297
106,Bridgeport Road East,N2J 2J9,43.4702081,-80.5132453
200,University Avenue West,N2L 3G1,43.4682762,-80.5429494
160,Columbia Street West,N2L 3L3,43.4767907,-80.5413313
151,Columbia Street West,N2L 3L2,43.4768612,-80.5392973
383,Albert Street,N2L 6E3,43.4797259,-80.5362619
392,Albert Street,N2L 3V1,43.4807682,-80.5362433
81,Cardill Crescent,N2L 3Y9,43.4808163,-80.5363841
355,Erb Street West,N2L 1W4,43.4545393,-80.5464368
209,Lexington Road,N2K 2E1,43.4920413,-80.5133533
51,King Street North,N2J 2W9,43.4665967,-80.5229509
36,Northfield Drive East,N2L 6A1,43.5036658,-80.5309942
500,Glen Forrest Boulevard,N2L 5G4,43.4845876,-80.5506898
255,Toll Gate Boulevard,N2L 4M3,43.4865931,-80.5572237
575,Toll Gate Boulevard,N2L 4J4,43.4869064,-80.5563627
255,Toll Gate Drive,N2L 4M3,43.4867215,-80.5570331
430,Albert Street,N2L 3V3,43.4830823,-80.5377267
203,King Street South,N2J 1R1,43.4593502,-80.5179562
4,King Street North,N2J 2W7,43.4653115,-80.5221843
75,King Street South,N2J 1P2,43.4630537,-80.5236005
56,King Street North,N2J 2X1,43.4670158,-80.5224434
187,King Street South,N2J 1R1,43.4597997,-80.5191797
50,Westmount Road North,N2L 2R5,43.4624484,-80.5381605
75,King Street South,N2J 1P0,43.4636135,-80.5229020
650,Erb Street West,N2T 2Z7,43.4465144,-80.5719334
550,King Street North,N2L 5W6,43.4969114,-80.5263316
550,King Street North,N2L 5W6,43.4968541,-80.5267860
20,University Avenue East,N2J 2V7,43.4767019,-80.5243243
24,University Avenue East,N2J 2V8,43.4769163,-80.5236233
65,University Avenue East,N2J 2V9,43.4767687,-80.5213432
70,Bridgeport Road East,N2J 2J9,43.4701267,-80.5161482
183,Weber Street North,N2J 3H4,43.4755129,-80.5180961
554,Parkside Drive,N2L 5Z4,43.4949549,-80.5440854
85,Roosevelt Avenue,N2L 2N6,43.4512440,-80.5458910
66,Bridgeport Road East,N2J 2J9,43.4690200,-80.5163979
330,The Boardwalk,N2T 0A6,43.4377834,-80.5626518
330,The Boardwalk,N2T 0A6,43.4378857,-80.5628728
80,Lodge Street,N2J 2V6,43.4754078,-80.5202369
141,Weber Street South,N2J 2A9,43.4647027,-80.5049260
84,King Street North,N2J2X4,43.4680266,-80.5229352
255,King Street North,N2J 4V2,43.4775938,-80.5256521
14,King Street South,N2J 1N8,43.4648419,-80.5220926
8,Erb Street West,N2L 1S7,43.4652390,-80.5228329
99,King Street North,N2j 2X5,43.4685717,-80.5235624
24,Forwell Creek Road,N2J 3Z3,43.4863382,-80.5245365
24,Forwell Creek Road,N2J 3Z3,43.4867106,-80.5248134
585,Weber Street North,N2V 1V8,43.4959124,-80.5506008
315,Lincoln Road,N2J 4H7,43.4827370,-80.5059702
66,Bridgeport Road East,N2J 2W0,43.4693555,-80.5162712
50,Westmount Road North,N2L 2R0,43.4616363,-80.5374111
190,Westmount Road North,N2L 3G5,43.4677902,-80.5463102
368,Phillip Street,N2L 5J1,43.4778063,-80.5400313
447,Brigantine Drive,N2K 4A2,43.5064756,-80.5107710
550,King Street North,N2L 5W6,43.4968489,-80.5263405
550,King Street North,N2L 5W6,43.4967945,-80.5267633
550,King Street North,N2L 5W6,43.4969716,-80.5263196
105,Oak Park Drive,N2K 0B3,43.5214734,-80.4985612
60,Bathurst Drive,N2V 2A9,43.5085788,-80.5388486
600,Laurelwood Drive,N2V 0A2,43.4725586,-80.5929029
600,Laurelwood Drive,N2V 0A2,43.4725031,-80.5928251
600,Laurelwood Drive,N2V 0A2,43.4724710,-80.5927835
600,Laurelwood Drive,N2V 0A2,43.4724409,-80.5927446
600,Laurelwood Drive,N2V 0A2,43.4723951,-80.5926870
65,University Avenue East,N2J 2V9,43.4769129,-80.5206454
258,King Street North,N2J 2Y9,43.4769352,-80.5249015
253,King Street North,N2J 2Y8,43.4767305,-80.5253485
55,Northfield Drive East,N2K 3T6,43.5028300,-80.5276178
110,Erb Street West,N2L 6C2,43.4632565,-80.5283828
402,King Street North,N2J 2Z3,43.4844370,-80.5262474
402,King Street North,N2J 2Z3,43.4844880,-80.5262549
15,King Street South,N2J 1N9,43.4644005,-80.5223599
550,Parkside Drive,N2L 5V4,43.4944288,-80.5423706
450,Columbia Street West,N2T 2W0,43.4688757,-80.5680212
279,Weber Street North,N2J 3H8,43.4796028,-80.5222082
203,Lester Street,N2L 3E6,43.4724771,-80.5339937
60A,George Street,N2J 1K7,43.4632948,-80.5179459
60B,George Street,N2J 1K7,43.4633034,-80.5179366
60,George Street,N2J 1K7,43.4633080,-80.5178232
420,Weber Street North,N2L 4E7,43.4856787,-80.5284057
400,The Boardwalk,N2T 0A6,43.4391670,-80.5638530
400,The Boardwalk,N2T 0A6,43.4392402,-80.5637119
400,The Boardwalk,N2T 0A6,43.4390932,-80.5639922
50,Weber Street North,N2J 3G0,43.4708594,-80.5124403
180,Columbia Street West,N2L 3L3,43.4765797,-80.5428310
584,Weber Street North,N2L 5C6,43.4973004,-80.5498281
645,Laurelwood Drive,N2V 2W9,43.4707858,-80.5932013
584,Weber Street North,N2L 5C6,43.4973435,-80.5498539
584,Weber Street North,N2L 5C6,43.4973833,-80.5498787
283,Northfield Drive East,N2J 4G8,43.5116992,-80.5206843
190,Northfield Drive West,N2L 3V0,43.4966176,-80.5482203
50,Westmount Road North,N2L 6N9,43.4614199,-80.5379365
136,Moore Avenue South,N2J 1X5,43.4626971,-80.5102376
65,University Avenue East,N2J 2V9,43.4768920,-80.5207635
315,Lincoln Road,N2J 4H7,43.4826969,-80.5058785
315,Lincoln Road,N2J 4H7,43.4826737,-80.5057919
91B,Caroline Street South,N2L 1X4,43.4610295,-80.5227194
550,Parkside Drive,N2L 5V4,43.4941931,-80.5422065
572,King Street North,N2L 6L3,43.5002227,-80.5302328
347,Erb Street West,N2L 1W4,43.4547152,-80.5459459
256,Phillip Street,N2L 0W3,43.4735580,-80.5371410
182,Weber Street North,N2J 3H4,43.4758007,-80.5168039
94,Bridgeport Road East,N2J 2J9,43.4711295,-80.5147199
256C,Phillip Street,N2L 6B6,43.4736447,-80.5372017
256,Phillip Street,N2L 3W8,43.4735145,-80.5370992
136,Weber Street South,N2J 2A8,43.4652433,-80.5047812
425,University Avenue East,N2K 4C9,43.4891710,-80.4930070
373,Bridge Street West,N2K 3K3,43.4958960,-80.5015900
203,Lester Street,N2L 3E6,43.4725625,-80.5339950
190,Westmount Road North,N2L 3G5,43.4677841,-80.5463834
190,Westmount Road North,N2L 3G5,43.4677959,-80.5465776
190,Westmount Road North,N2L 3G5,43.4679500,-80.5464922
280,Hickory Street West,N2L 3W6,43.4758210,-80.5355492
280,Hickory Street West,N2L 3W6,43.4757894,-80.5356284
280,Hickory Street West,N2L 3W6,43.4757575,-80.5357126
280,Lester Street,N2L 3W6,43.4753938,-80.5356372
280,Lester Street,N2L 3W5,43.4754442,-80.5356777
140-280,Lester Street,N2L 3W6,43.4753505,-80.5356072
280,Lester Street,N2L 3W6,43.4753058,-80.5355737
280,Lester Street,N2L 3W6,43.4752680,-80.5355360
280,Lester Street,N2L 3W6,43.4757229,-80.5357973
247,King Street North,N2J 2Y8,43.4760779,-80.5258644
620,Davenport Road,N2V 2C2,43.5046689,-80.5285900
354,King Street North,N2J 2Z2,43.4814600,-80.5251602
354,King Street North,N2J 2Z2,43.4813202,-80.5257367
354,King Street North,N2J 2Z2,43.4813330,-80.5255759
354,King Street North,N2J 2Z2,43.4813408,-80.5254838
36,Northfield Drive East,N2L 6A1,43.5034746,-80.5315094
251,Hemlock Street,N2L 3R4,43.4748004,-80.5314541
550,King Street North,N2L 5W0,43.4980834,-80.5255094
872A,Atlantic Boulevard,N2K 4L3,43.5156995,-80.5025324
872B,Atlantic Boulevard,N2K 4L3,43.5157399,-80.5024809
876A,Atlantic Boulevard,N2K 4L3,43.5158006,-80.5026698
876B,Atlantic Boulevard,N2K 4L3,43.5158505,-80.5026118
14,Princess Street West,N2L 2X8,43.4668288,-80.5237928
50,Northland Road,N2V 1N3,43.5078319,-80.5335169
50,Northland Road,N2V 1N3,43.5075564,-80.5339552
313,Erb Street West,N2L 1W4,43.4557782,-80.5430579
62,Balsam Street,N2L 3H2,43.4763385,-80.5299038
62,Balsam Street,N2L 3H2,43.4765166,-80.5300034
200,University Avenue West,N2L 3G1,43.4713861,-80.5456543
130,Columbia Street West,N2L 0G6,43.4787484,-80.5372258
130,Columbia Street West,N2L 0G6,43.4787002,-80.5373625
130-111,Columbia Street West,N2L 3L1,43.4781572,-80.5373907
550,King Street North,N2L 5W6,43.4989750,-80.5266118
550,King Street North,N2L 5W6,43.4994217,-80.5271480
550,King Street North,N2L 5W6,43.4994191,-80.5272364
550,King Street North,N2L 5W6,43.4984502,-80.5262763
550,King Street North,N2L 5W6,43.4981271,-80.5268181
550,King Street North,N2L 5W6,43.4981271,-80.5262235
550,King Street North,N2L 5W6,43.4980637,-80.5262266
550,King Street North,N2L 5W6,43.4977231,-80.5257540
550,King Street North,N2L 5W6,43.4979553,-80.5261961
550,King Street North,N2L 5W6,43.4977811,-80.5280090
550,King Street North,N2L 5W6,43.4971600,-80.5265628
550,King Street North,N2L 5W6,43.4967510,-80.5267431
550,King Street North,N2L 5W6,43.4969979,-80.5268263
550,King Street North,N2L 5W6,43.4970728,-80.5268386
550,King Street North,N2L 5W6,43.4971443,-80.5268525
550,King Street North,N2L 5W6,43.4969159,-80.5262754
100,King Street South,N2J 1P5,43.4628963,-80.5215748
321,Weber Street North,N2J 3H8,43.4811775,-80.5229589
