House number,Street name,Postal code,Latitude,Longitude
48A,Boulevard Henri-Bourassa Ouest,H3L 3S1,45.5495030,-73.6711208
139,Boulevard Henri-Bourassa Est,H3L 1B6,45.5519545,-73.6702659
4555,Rue de Verdun,H4G 1M4,45.4591035,-73.5733232
1380,Rue Sherbrooke Ouest,H3G 1J5,45.4986971,-73.5793846
977,rue Sainte-Catherine Ouest,H3B 4W3,45.5009986,-73.5723084
3575,Avenue du Parc,H2X 3P9,45.5104646,-73.5750036
1030,Rue Mackay,H3G 2H1,45.4939916,-73.5729480
1871,Rue Sainte-Catherine Ouest,H3H 1M1,45.4930710,-73.5804177
5235,Avenue du Parc,H2V 4G9,45.5207917,-73.5984463
5101,Avenue du Parc,H2V 4G3,45.5198411,-73.5959163
1356,Rue Sainte-Catherine Ouest,H3G 1P6,45.4971850,-73.5754903
2111,Rue Saint-Zotique,H2G 1J6,45.5474588,-73.5979889
2396,Rue Beaubien Est,H2G 1N2,45.5480677,-73.5920883
2810,Boulevard Édouard-Montpetit,H3T 1J4,45.5035109,-73.6172520
4777,Avenue Pierre de Coubertin,H1V 1B3,45.5598866,-73.5505303
371,Avenue Villeneuve Est,H2J 2L5,45.5250254,-73.5862543
957,Avenue du Mont-Royal Est,H2J 1X4,45.5272146,-73.5801315
14,Avenue Vincent-D'Indy,H2V 2S9,45.5115518,-73.6147118
5510,Chemin de la Côte-des-Neiges,H3T 1Y9,45.4971920,-73.6246414
5354,Avenue Gatineau,H3T 1X3,45.4972676,-73.6223177
5511,Avenue Decelles,H3T 1W4,45.4995052,-73.6228121
5575,Avenue Decelles,H3T 1W4,45.5005972,-73.6224592
5625,Avenue Decelles,H3T 1W4,45.5002595,-73.6236816
523,Place Saint-Henri,H4C 2S1,45.4778317,-73.5852817
3895,Boulevard Saint-Laurent,H2W 1X9,45.5163277,-73.5776499
75,Rue Villeneuve Ouest,H2T 2R4,45.5206015,-73.5903059
1011,Rue Sainte-Catherine Ouest,H3B 1J4,45.4999452,-73.5731605
1551,Rue Saint-Denis,H2X 3K3,45.5145854,-73.5619914
435,Avenue du Mont-Royal Est,H2J 1W2,45.5245039,-73.5826120
1042,Rue Lambert-Closse,H3H 1Z2,45.4880937,-73.5812623
1036,Rue Lambert-Closse,H3H 1Z2,45.4879954,-73.5811567
1042A,Rue Lambert-Closse,H3H 1Z2,45.4881659,-73.5813738
2290,Avenue Hawarden,H3H 1S6,45.4872621,-73.5814233
1035,Rue Lambert-Closse,H3H 1Z1,45.4881157,-73.5810452
1920,Rue Baile,H3H 2S6,45.4911691,-73.5788227
1900,Rue Tupper,H3H 1N5,45.4921171,-73.5794846
1910,Rue Tupper,H3H 1N5,45.4920149,-73.5795962
1958,Rue Tupper,H3H 1N5,45.4914433,-73.5802399
1905,Rue Tupper,H3H 1N7,45.4921738,-73.5798160
7573,Boulevard Newman,H8N 1X3,45.4402319,-73.6224568
3515,Boulevard Saint-Laurent,H2X 2T6,45.5134424,-73.5712107
3601,Boulevard Saint-Laurent,H2X 2V5,45.5140638,-73.5726243
170,Rue Prince Arthur Est,H2X 1B7,45.5155100,-73.5710370
185,Rue Sherbrooke Est,H2X 1C7,45.5145848,-73.5687784
157,Rue Sherbrooke Est,H2X 1C7,45.5141985,-73.5688395
402,Rue de Malines,H2L 4P4,45.5183793,-73.5686675
1255,Rue Berri,H2L 4C6,45.5143884,-73.5586923
1415,Rue Saint-Hubert,H2L 3Y9,45.5156845,-73.5591132
360,Rue Saint-Antoine Ouest,H2Y 3X4,45.5029698,-73.5602769
901,Square Victoria,H2Z 1R1,45.5020454,-73.5619621
3633,Boulevard Saint-Laurent,H2X 2V5,45.5142731,-73.5730536
55,Avenue des Pins Est,H2W 1N6,45.5156214,-73.5747690
77,Avenue des Pins Est,H2W 1N6,45.5159366,-73.5744872
