House number,Street name,Postal code,Latitude,Longitude
1049,Boulevard Sainte-Anne,G5M 1P4,48.5136596,-68.4594371
91,Rue Saint-Germain Ouest,G5L 4B6,48.4494986,-68.5321317
333,Avenue de la Cathédrale,G5L 5J5,48.4454129,-68.5195213
92,2e Rue Ouest,G5L 8B3,48.4429842,-68.5217366
416,Rouleau,G5L 7S5,48.4377314,-68.5167885
1,Rue Saint-Germain Est,G5L 1A1,48.4512887,-68.5274682
97,Rue Saint-Louis,G5L 5P6,48.4493968,-68.5318777
105,Rue Saint-Pierre,G5L 1T6,48.4525084,-68.5216702
185,Boulevard René-Lepage Ouest,G5L 8X8,48.4475830,-68.5360361
175,Boulevard René-Lepage Ouest,G5L 8X8,48.4480068,-68.5355396
88,Avenue Rouleau,G5L 7J8,48.4486404,-68.5347048
148,Rue Saint-Jean-Baptiste Ouest,G5L 4J3,48.4448908,-68.5285979
157,Rue Saint-Germain Ouest,G5L 4B8,48.4478769,-68.5344850
336,Avenue de la Cathédrale,G5L 5K1,48.4456001,-68.5181335
274,Michaud,G5L 2A6,48.4420224,-68.5296601
256,Avenue Rouleau,G5L 5T9,48.4441349,-68.5277873
155,Rue de l'Évêché Ouest,G5L 4H8,48.4449237,-68.5294652
92,2e Rue,G5L 0A6,48.4432144,-68.5212980
70,Industrielle,G5M 1A5,48.4640440,-68.5062780
321,Avenue Léonidas Sud,G5L 2V1,48.4579998,-68.5025815
319,Avenue de la Cathédrale,G5L 5J9,48.4459659,-68.5200031
405,Boulevard Jessop,G5L 1N2,48.4667515,-68.5157888
320,Rue Saint-Germain est,G5L 1C2,48.4598264,-68.5179663
2175,Route 132 est,G0L 1B0,48.3977413,-68.6554653
31,Rue de l'Évêché Ouest,G5L 4H4,48.4479726,-68.5249223
1015,Boulevard Sainte-Anne,G5M 1X3,48.5113004,-68.4603073
145,Rue Saint-Germain Ouest,G5L 4B6,48.4484258,-68.5339633
131,Rue Saint-Germain Ouest,G5L 4B6,48.4487093,-68.5335467
130,Avenue Belzile,G5L 3E4,48.4545667,-68.5231692
165,Rue des Gouverneurs,G5L 7R2,48.4550376,-68.5217353
3,Boulevard Sainte-Anne,G5M 1B9,48.4855240,-68.4949490
100,Rue Saint-Louis,G5L 5P7,48.4495513,-68.5313056
373,Boulevard De La Riviere,G5L 4N3,48.4376915,-68.5359062
290,Rue Notre-Dame Ouest,G5L 4N1,48.4411131,-68.5332755
433,Boulevard Saint-Germain,G5L 3N8,48.4386136,-68.5501950
561,Rue de Lausanne,G5L 4A7,48.4342313,-68.5588302
292,Rue Saint-Germain Est,G5L 1B9,48.4585648,-68.5179179
644,Boulevard Saint-Germain,G5L 3S1,48.4359721,-68.5732030
644,Boulevard Saint-Germain,G5L 3S1,48.4360050,-68.5730862
644,Boulevard Saint-Germain,G5L 3S1,48.4358782,-68.5734472
644,Boulevard Saint-Germain,G5L 3S1,48.4359217,-68.5733235
110,Rue de l'Évêché Est,G5L 1T6,48.4519728,-68.5206566
144,Avenue de la Cathédrale,G5L 5H8,48.4508486,-68.5268237
124 B,Rue des Ateliers,G5M1B5,48.4677961,-68.5057074
675,Boulevard du Rivage,G5L 1H1,48.4831968,-68.4993229
118,Rue Saint-Germain Est,G5L 1A6,48.4532275,-68.5237590
