House number,Street name,Postal code,Latitude,Longitude
2,شارع 9,44743,30.7262321,31.5612521
35,شارع 15,44743,30.7267383,31.5651302
30,شارع 15,44743,30.7271503,31.5650532
22,شارع بحر ام الريس الجديد,44743,30.7154417,31.5693359
46,شارع ابو دسوقي,44743,30.7187753,31.5686050
25,شارع عبد الجليل منصور,44743,30.7135144,31.5657324
3,طريق ابو حسين,44743,30.7225107,31.5647748
15,شارع المضرب,44743,30.7162665,31.5674235
7,شارع 2,44743,30.7159461,31.5617939
74,شارع محطة البنزين,44743,30.7143699,31.5660046
13,شارع 5,44743,30.7146846,31.5722796
25,شارع 2,44743,30.7160751,31.5610103
5,شارع 12,44743,30.7269585,31.5640989
14,شارع 3,44743,30.7158014,31.5614597
15,شارع محمد السيد,44743,30.7138314,31.5657055
41,شارع بحر ام الريس الجديد,44743,30.7149637,31.5699810
9,شارع الحاج عبد الناصر,44743,30.7226814,31.5680149
2,شارع حمد الله غياث,44743,30.7227198,31.5660238
1,شارع حمد الله غياث,44743,30.7228497,31.5659067
10,شارع صلاح سالم,44743,30.7207353,31.5652388
8,شارع 2,44743,30.7160532,31.5617994
17,شارع 10,44743,30.7261826,31.5614395
14,شارع 6,44743,30.7258840,31.5619357
16,شارع 9,44743,30.7259433,31.5612814
2,شارع 2,44743,30.7160186,31.5620765
11,شارع خلف المدارس,44743,30.7179791,31.5674326
2,شارع 11,44743,30.7323351,31.5618163
11,شارع 2,44743,30.7159611,31.5616588
10,شارع 9,44743,30.7259754,31.5611809
8,شارع 4,44743,30.7264201,31.5621234
5,شارع محطة البنزين,44743,30.7137830,31.5653931
6,شارع 2,44743,30.7160382,31.5619196
33,شارع ابو دسوقي,44743,30.7176570,31.5679076
19,شارع محمد السيد,44743,30.7137242,31.5656868
10,شارع المضرب,44743,30.7161547,31.5675053
14,شارع 3,44743,30.7262506,31.5624467
39,شارع ابو دسوقي,44743,30.7179083,31.5682402
15,شارع 2,44743,30.7159829,31.5614623
20,شارع بحر ام الريس الجديد,44743,30.7154790,31.5692756
21,شارع 3,44743,30.7178783,31.5678567
18,شارع 7,44743,30.7278738,31.5642089
8,شارع 9,44743,30.7260483,31.5612066
12,شارع 2,44743,30.7160688,31.5616750
7,شارع المنشية الجديدة,44743,30.7157003,31.5617897
10,شارع 2,44743,30.7264051,31.5625472
6,شارع محطة البنزين,44743,30.7137069,31.5653139
11,شارع المساحة,44743,30.7167242,31.5685903
6,شارع 3,44743,30.7157553,31.5617992
16,شارع 6,44743,30.7171266,31.5687928
13,شارع محمد مهدي,44743,30.7232647,31.5683663
15,شارع 9,44743,30.7258156,31.5611084
2,شارع 3,44743,30.7157246,31.5620255
4,شارع 10,44743,30.7277712,31.5648673
47,شارع 16,44743,30.7268409,31.5648499
8,شارع 7,44743,30.7150075,31.5616232
20,شارع 7,44743,30.7155332,31.5721107
3,شارع 3,44743,30.7158801,31.5616448
4,شارع 2,44743,30.7160284,31.5619981
10,شارع الاسوانجى,44743,30.7139098,31.5661079
11,شارع عطيه محمد,44743,30.7118218,31.5674892
