House number,Street name,Postal code,Latitude,Longitude
13,მშვიდობის გამზირი,1400,41.9869894,44.0966414
11,მშვიდობის გამზირი,1400,41.9867641,44.0970609
8,სტალინის გამზირი,1400,41.9788682,44.1105920
13,სტალინის,1400,41.9816273,44.1108476
51,ი. ჭავჭავაძის გამზირი,1400,41.9825524,44.1124704
52,ი. ჭავჭავაძის გამზირი (I. Chavchavadze Ave),1400,41.9816414,44.1142405
7,ცაბაძის ქუჩა (Tsabadze St),1400,41.9823678,44.1099432
18,დავით გურამიშვილის ქუჩა,1400,41.9794153,44.1043733
1ა,მშვიდობის გამზირი,1400,41.9854291,44.0997257
3,სტალინის გამზირი,1400,41.9775130,44.1100036
25,ი. ჭავჭავაძის გამზირი,1234,41.9835956,44.1074776
6a,ცხინვალის გზატკეცილი,1400,41.9914330,44.1104774
15,სტალინის გამზირი,1400,41.9828426,44.1115496
9გ,ცხინვალის გზატკეცილი,1400,41.9950310,44.1109536
1,რუსუდან ქორქაძის ქუჩა,1400,41.9818905,44.1065499
27,თამარ მეფის ქუჩა,1400,41.9783721,44.1087133
2KM,შინდისის გმირების გამზირი,1400,41.9994447,44.0897004
26ა,სტალინის გამზირი,1400,41.9858570,44.1137403
1,დავით გურამიშვილის ქუჩა,1400,41.9786407,44.1032991
175დ,ძმები რომელაშვილების ქუჩა,1400,41.9763714,44.1150169
11,სტალინის გამზირი,1400,41.9808636,44.1105025
32,სტალინის გამზირი,1400,41.9873192,44.1137046
6ა,ცხინვალის გზატკეცილი,1400,41.9903495,44.1105551
45,ი. ჭავჭავაძის გამზირი,1400,41.9832241,44.1106264
9,ცხინვალის გზატკეცილი,1400,41.9923083,44.1099026
64,ლეხ და მარია კაჩინსკების ქუჩა,1400,41.9955285,44.1059653
5,გ. ჭანტურიას ქუჩა,1400,41.9883609,44.1175850
2,სამეფო ქუჩა,1400,41.9773711,44.1061774
56,ი. ჭავჭავაძის გამზირი,1400,41.9801481,44.1145828
24,ი. ჭავჭავაძის გამზირი,1400,41.9822035,44.1089134
56,ი. ჭავჭავაძის გამზირი,1400,41.9805175,44.1152424
60/2,ქეთევან წამებულის ქუჩა,1400,41.9822637,44.1178756
22,თარხნიშვილის ქუჩა,1400,41.9901488,44.0961911
1,შინდისის გზატკეცილი,1400,41.9885492,44.0986534
1ა,შინდისის გზატკეცილი,1400,41.9887862,44.0977400
13,სტალინის გამზირი,1400,41.9819876,44.1110968
8,ბაქოს ქუჩა,1400,41.9871038,44.0997267
3ა,შინდისის გზატკეცილი,1400,41.9892564,44.0976253
7,გ. ჭანტურიას ქუჩა,1400,41.9886157,44.1183781
3,შინდისის გზატკეცილი,1400,41.9891970,44.0983382
6,სტალინის გამზირი,1400,41.9784614,44.1104682
2,შინდისის გზატკეცილი,1400,41.9878953,44.1006108
1,მაჭავარიანის ქუჩა,1400,41.9860553,44.0949765
3,სამეფო ქუჩა,1400,41.9778344,44.1055920
2,გრიბოედოვის ქუჩა,1400,41.9863242,44.0944591
2,ბაქოს ქუჩა,1400,41.9869417,44.1005652
8,ცხინვალის გზატკეცილი,1400,41.9919715,44.1112507
4,ბესიკის ქუჩა,1400,41.9857344,44.0971909
24,რუსთაველის ქუჩა,1400,41.9786795,44.1077432
179,ძმები რომელაშვილების ქუჩა,1400,41.9753467,44.1125483
48,სტალინის გამზირი,1400,41.9876301,44.1152309
50,სტალინის გამზირი,1400,41.9878565,44.1159330
52,სტალინის გამზირი,1400,41.9882219,44.1160919
7,ცაბაძის ქუჩა,1400,41.9818428,44.1097872
5,ცაბაძის ქუჩა,1400,41.9823727,44.1099962
56,ი. ჭავჭავაძის გამზირი,1400,41.9810537,44.1157108
69,ი. ჭავჭავაძის გამზირი,1400,41.9815379,44.1160801
69,ი. ჭავჭავაძის გამზირი,1400,41.9819416,44.1162628
54,სამეფო ქუჩა,1400,41.9810710,44.1070879
15,სტალინის გამზირი,1400,41.9830216,44.1115521
51,ი. ჭავჭავაძის გამზირი (I. Chavchavadze Ave),1400,41.9827728,44.1123168
20,სტალინის გამზირი,1400,41.9832777,44.1124025
26,სტალინის გამზირი,1400,41.9852755,44.1136957
19,სტალინის გამზირი,1400,41.9839665,44.1119238
21,სტალინის გამზირი,1400,41.9845581,44.1121046
23/1,სტალინის გამზირი,1400,41.9850753,44.1121562
17,სტალინის გამზირი,1400,41.9835138,44.1117776
5,სტალინის გამზირი,1400,41.9785627,44.1098015
7,სტალინის გამზირი,1400,41.9791615,44.1100469
22,სტალინის გამზირი,1400,41.9837526,44.1125816
53,გრიგოლ რობაქიძის ქუჩა,1400,41.9814650,44.1054817
25,სტალინის გამზირი,1400,41.9855728,44.1123819
28,ი. ჭავჭავაძის გამზირი,1400,41.9825472,44.1107852
43,ი. ჭავჭავაძის გამზირი,1400,41.9831398,44.1098035
26,ი. ჭავჭავაძის გამზირი,1400,41.9826283,44.1103434
24,სტალინის გამზირი,1400,41.9846075,44.1132130
26ა,სტალინის გამზირი,1400,41.9857449,44.1137526
28,სტალინის გამზირი,1400,41.9860162,44.1138320
12,სტალინის გამზირი,1400,41.9803464,44.1112406
8,სტალინის გამზირი,1400,41.9789816,44.1107047
10,სტალინის გამზირი,1400,41.9796708,44.1109369
14,სტალინის გამზირი,1400,41.9809051,44.1115752
80,თამარ მეფის ქუჩა,1400,41.9777292,44.1140642
80,თამარ მეფის ქუჩა,1400,41.9776151,44.1140969
76,თამარ მეფის ქუჩა,1400,41.9777814,44.1131077
76,თამარ მეფის ქუჩა,1400,41.9775749,44.1131306
184,ძმები რომელაშვილების ქუჩა,1400,41.9761751,44.1130657
182,ძმები რომელაშვილების ქუჩა,1400,41.9763535,44.1138301
180,ძმები რომელაშვილების ქუჩა,1400,41.9765498,44.1145761
178,მ. გორკის ქუჩა,1400,41.9769426,44.1149843
186,ძმები რომელაშვილების ქუჩა,1400,41.9760785,44.1123582
188,ძმები რომელაშვილების ქუჩა,1400,41.9760600,44.1115894
190,ძმები რომელაშვილების ქუჩა,1400,41.9760598,44.1108126
82,თამარ მეფის ქუჩა,1400,41.9776955,44.1151353
84,თამარ მეფის ქუჩა,1400,41.9776495,44.1157534
176,მ. გორკის ქუჩა,1400,41.9770508,44.1154752
11,ძმები რომელაშვილების ქუჩა,1400,41.9771736,44.1158901
88/90,თამარ მეფის ქუჩა,1400,41.9775674,44.1160490
92,თამარ მეფის ქუჩა,1400,41.9774759,44.1162682
76,თამარ მეფის ქუჩა,1400,41.9770063,44.1132587
76,შოთა ჩოჩიშვილის ქუჩა,1400,41.9766581,44.1127512
76,თამარ მეფის ქუჩა,1400,41.9765934,44.1129842
11ა,სტალინის გამზირი,1400,41.9805076,44.1105509
9,სტალინის გამზირი,1400,41.9798583,44.1103042
31,თამარ მეფის ქუჩა,1400,41.9789280,44.1092073
4,სტალინის გამზირი,1400,41.9777369,44.1101423
2,სტალინის გამზირი,1400,41.9771084,44.1098918
