House number,Street name,Postal code,Latitude,Longitude
2-4,Magstadter Straße,70569,48.7548170,9.0876369
32,Welfenstraße,70599,48.7195850,9.2078976
15,Ludwigsburger Straße,70435,48.8249195,9.1728328
32,Burgunderstraße,70435,48.8304188,9.1679639
8,Hohenloher Straße,70435,48.8301305,9.1755279
55,Unterländer Straße,70435,48.8321964,9.1699681
100,Ludwigsburger Straße,70435,48.8299307,9.1753124
76,Unterländer Straße,70435,48.8324194,9.1673217
46,Siemensstraße,70469,48.8111942,9.1765741
101,Thomastraße,70192,48.8054817,9.1698975
3,Unterländer Straße,70435,48.8313544,9.1739784
37,Unterländer Straße,70435,48.8319305,9.1716511
6,Wollinstraße,70439,48.8380800,9.1473789
54,Neuhauser Straße,70599,48.6979963,9.2209259
32,Burgunderstraße,70435,48.8305306,9.1677312
3,Am Hauptbahnhof,70173,48.7863319,9.1807576
32,Stuttgarter Straße,70469,48.8113072,9.1655018
17,Stuttgarter Straße,70469,48.8103503,9.1674737
3,Burgunderstraße,70435,48.8320842,9.1670429
35,Korntaler Straße,70439,48.8460334,9.1569273
35,Freihofstraße,70439,48.8469129,9.1567907
25,Stephanstraße,70173,48.7806158,9.1790211
33,Stephanstraße,70173,48.7802551,9.1785171
27,Königstraße,70173,48.7751615,9.1761709
5,Schillerplatz,70173,48.7775814,9.1783806
55,Kriegsbergstraße,70174,48.7825835,9.1733979
7,Arnulf-Klett-Platz,70173,48.7835931,9.1795102
90-96,Epplestraße,70597,48.7410167,9.1689666
102,Plieninger Straße,70567,48.7219127,9.1626635
100,Plieninger Straße,70567,48.7223718,9.1608617
104,Plieninger Straße,70567,48.7223643,9.1630601
13,Steinstraße,70173,48.7736129,9.1766393
32,Burgunderstraße,70435,48.8304816,9.1679980
3,Elsässer Straße,70435,48.8320100,9.1697108
5,Mahatma-Gandhi-Straße,70376,48.8181115,9.1911322
20,Vor dem Lauch,70567,48.7080141,9.1679211
7,Christophstraße,70178,48.7721874,9.1759321
52,Nesenbachstraße,70178,48.7718537,9.1760523
20,Königstraße,70173,48.7801985,9.1791823
21-25,Rotebühlplatz,70178,48.7743454,9.1716401
125,Rotebühlstraße,70178,48.7704171,9.1586837
4,Diepachwiesen,70499,48.8058094,9.1221924
1,Finsterklinge,70327,48.7762089,9.2949974
31,Vaihinger Markt,70563,48.7300074,9.1113772
35,Handwerkstraße,70565,48.7194374,9.1256957
16,Vaihinger Markt,70563,48.7309616,9.1108020
6,Vaihinger Markt,70563,48.7302435,9.1098744
11,Hauptstraße,70563,48.7296978,9.1114442
5,Hauptstraße,70563,48.7296223,9.1119588
18,Dreifelderstraße,70599,48.7027423,9.2193973
6,Heiligenwiesen,70327,48.7672836,9.2517713
24-26,Spielberger Straße,70435,48.8373102,9.1731822
