House number,Street name,Postal code,Latitude,Longitude
10,Deffkestraße,03044,51.7663388,14.3324606
94,Karlstraße,03044,51.7660464,14.3336389
25,Klosterstraße,03046,51.7618648,14.3348460
1,Thierbacher Straße,03048,51.7303072,14.3253596
1,Thierbacher Straße,03048,51.7301079,14.3253038
2,Jacques-Duclos-Platz,03042,51.7616139,14.3479568
8A,Am Doll,03042,51.7609990,14.3455700
7,Marktstraße,03046,51.7603199,14.3320986
13 - 13A,Altmarkt,03046,51.7609444,14.3342385
16,Spremberger Straße,03046,51.7580462,14.3336071
2,Sandower Straße,03046,51.7609277,14.3355452
49,Brandenburger Platz,03046,51.7577157,14.3359981
14,Am Turm,03046,51.7588534,14.3329298
12b,Thierbacher Straße,03048,51.7285144,14.3256844
6,Thierbacher Straße,03048,51.7294811,14.3265770
11,Heinrich-Mann-Straße,03050,51.7279303,14.3307689
12,Vetschauer Straße,03048,51.7491191,14.3255671
10,Vetschauer Straße,03048,51.7491990,14.3266543
103,Straße der Jugend,03046,51.7548522,14.3329602
10-15,Spremberger Straße,03046,51.7583377,14.3336176
11,Burgstraße,03046,51.7593738,14.3358290
40,Mühlenstraße,03046,51.7597660,14.3353388
3,Sandower Straße,03046,51.7609712,14.3358803
1a,Berliner Straße,03046,51.7608034,14.3330954
4,Wendenstraße,03046,51.7613172,14.3334470
18,Friedrich-Ebert-Straße,03044,51.7636317,14.3316811
2,Neumarkt,03046,51.7606496,14.3325123
152,Berliner Straße,03046,51.7615015,14.3279916
65,Schillerstraße,03046,51.7590562,14.3241179
1A,Schweriner Straße,03046,51.7604653,14.3177246
3,Schweriner Straße,03046,51.7598550,14.3173595
3,Schweriner Straße,03046,51.7617167,14.3172758
12,Wilhelm-Külz-Straße,03046,51.7540014,14.3262920
29,Karl-Liebknecht-Straße,03046,51.7561437,14.3233025
24,Spremberger Straße,03046,51.7582299,14.3333243
63,Bahnhofstraße,03046,51.7580303,14.3276225
2,Berliner Straße,03046,51.7608105,14.3326986
38,Spremberger Straße,03046,51.7596412,14.3332984
19,Thierbacher Straße,03048,51.7280690,14.3252075
18,Thierbacher Straße,03048,51.7280539,14.3254307
31,Helene-Weigel-Straße,03050,51.7297891,14.3290804
12,Franz-Mehring-Straße,03046,51.7588734,14.3411507
12,Franz-Mehring-Straße,03046,51.7589779,14.3409728
24,Görlitzer Straße,03046,51.7505213,14.3338600
70,Drebkauer Straße,03050,51.7439778,14.3306636
19,Hüfnerstraße,03042,51.7631473,14.3542390
20,Hüfnerstraße,03042,51.7632450,14.3544600
22,Hüfnerstraße,03042,51.7632535,14.3551819
21,Hüfnerstraße,03042,51.7632458,14.3548907
24,Hüfnerstraße,03042,51.7632770,14.3559091
23,Hüfnerstraße,03042,51.7632684,14.3556234
26,Hüfnerstraße,03042,51.7632953,14.3566490
25,Hüfnerstraße,03042,51.7632886,14.3563569
28,Hüfnerstraße,03042,51.7633201,14.3573968
27,Hüfnerstraße,03042,51.7633120,14.3571160
3,Spremberger Straße,03046,51.7598043,14.3336287
20,Vom-Stein-Straße,03050,51.7366498,14.3299218
21,Vom-Stein-Straße,03050,51.7368497,14.3299865
5,Hänchener Straße,03050,51.7208240,14.3433336
6,Hänchener Straße,03050,51.7208392,14.3431010
21,Werner-Seelenbinder-Ring,03048,51.7229632,14.3232435
22,Werner-Seelenbinder-Ring,03048,51.7230676,14.3232618
23,Werner-Seelenbinder-Ring,03048,51.7231807,14.3232817
24,Werner-Seelenbinder-Ring,03048,51.7232837,14.3232989
