House number,Street name,Postal code,Latitude,Longitude
140,Vahrenwalder Straße,30165,52.3984411,9.7369772
33,Sahlkamp,30179,52.4114410,9.7479747
1,Lindener Marktplatz,30449,52.3667652,9.7142283
1,Lindener Marktplatz,30449,52.3669072,9.7142682
11,Leinstraße,30159,52.3692449,9.7365097
46,Melanchthonstraße,30165,52.3983311,9.7315027
13,Harzburger Platz,30419,52.4038223,9.6914145
27,Meldaustraße,30419,52.3935303,9.6851162
31,Geibelstraße,30173,52.3604067,9.7558619
2,Sophienstraße,30159,52.3728248,9.7434713
91,Landwehrstraße,30519,52.3362208,9.7614920
42,Voßstraße,30161,52.3894272,9.7431594
51,Voßstraße,30163,52.3909167,9.7441553
39,Voßstraße,30161,52.3897347,9.7431977
6,Fiedelerplatz,30519,52.3399636,9.7640288
77,Kirchröder Straße,30625,52.3718315,9.7928749
23,Fiedelerstraße,30519,52.3404727,9.7638565
13,Borgentrickstraße,30519,52.3381895,9.7659203
8,Borgentrickstraße,30519,52.3387016,9.7663538
5,Rundestraße,30161,52.3803133,9.7398276
26,Mendelssohnstraße,30173,52.3570259,9.7554646
140,Bischofsholer Damm,30173,52.3641296,9.7732671
82,Hildesheimer Straße,30169,52.3601658,9.7501730
8,Bertha-von-Suttner-Platz,30173,52.3587511,9.7609954
36C,Schlägerstraße,30171,52.3623971,9.7527176
26A,Mendelssohnstraße,30173,52.3571401,9.7553737
51,Rudolf-von-Bennigsen-Ufer,30173,52.3540725,9.7457039
43,Marienstraße,30171,52.3693700,9.7492680
55,Marienstraße,30171,52.3696488,9.7514280
45,Marktstraße,30159,52.3703638,9.7377293
6,Fiedelerplatz,30519,52.3400457,9.7639783
14,Karmarschstraße,30159,52.3737659,9.7378792
19,Jädekamp,30419,52.4148794,9.6434917
20,Hans-Böckler-Allee,30173,52.3705826,9.7733886
3,Altenbekener Damm,30173,52.3579062,9.7681685
26,Altenbekener Damm,30173,52.3569026,9.7625134
202,Hildesheimer Straße,30519,52.3453676,9.7616643
2G,Karlsruher Straße,30519,52.3297604,9.7886880
28,Borriesstraße,30519,52.3477694,9.7730668
9,Prinzenstraße,30159,52.3734568,9.7439211
2,Hohe Linde,30519,52.3344701,9.7919630
1,Pfarrlandstraße,30451,52.3742208,9.7056565
51,Groß-Buchholzer Kirchweg,30655,52.4016476,9.8029876
51,Wülferoder Straße,30539,52.3389540,9.8331510
51,Wülferoder Straße,30539,52.3386003,9.8330340
8,Abelmannstraße,30519,52.3366929,9.7635680
86,Holzwiesen,30179,52.4177246,9.7655159
3,Dresdener Straße,30179,52.4111700,9.7517009
13,Bahnhofstraße,30159,52.3750380,9.7388577
24,Kirchhorster Straße,30659,52.4144001,9.8261072
14,Schneiderberg,30167,52.3886902,9.7165983
150,Vahrenwalder Straße,30165,52.4000819,9.7363216
5,Großer Kolonnenweg,30163,52.4048654,9.7368246
34,Wöhlerstraße,30163,52.3971196,9.7494075
44,Ferdinand-Wallbrecht-Straße,30163,52.3934578,9.7462879
140,Vahrenwalder Straße,30165,52.3988595,9.7368961
28,Dragonerstraße,30163,52.3943961,9.7374188
30,Dragonerstraße,30163,52.3943626,9.7379212
9,Husarenstraße,30163,52.3927270,9.7426369
22,Wunstorfer Straße,30453,52.3764226,9.6935093
8a,Bangemannweg,30459,52.3478063,9.7220234
8,Heisterbergallee,30453,52.3781176,9.6734350
77,Mecklenheidestraße,30419,52.4158548,9.6783729
28,Limmerstraße,30451,52.3728616,9.7095292
42,Ferdinand-Wallbrecht-Straße,30163,52.3930373,9.7466078
2,Möckernstraße,30163,52.4000979,9.7412376
311,Podbielskistraße,30659,52.4060720,9.7988745
315,Podbielskistraße,30659,52.4064709,9.7997211
344,Podbielskistraße,30655,52.4050475,9.7980856
79,Sallstraße,30171,52.3618633,9.7596045
77,Sallstraße,30171,52.3620032,9.7592788
1,Bernwardstraße,30519,52.3406293,9.7659633
240,Hildesheimer Straße,30519,52.3404015,9.7661859
3,Steinmetzstraße,30163,52.3938759,9.7426849
32,Königsworther Straße,30167,52.3743570,9.7188178
39,Königsworther Straße,30167,52.3740517,9.7190232
1,Andreaestraße,30159,52.3750549,9.7378107
5,Ernst-August-Platz,30159,52.3757707,9.7394201
3,Ernst-August-Platz,30159,52.3767359,9.7391401
21,Georgstraße,30159,52.3753910,9.7354527
14,Bahnhofstraße,30159,52.3748817,9.7386452
80,Im Heidkampe,30659,52.4169871,9.8066991
4,Raschplatz,30161,52.3780577,9.7437054
9,Rathenaustraße,30159,52.3739274,9.7419118
20,Voßstraße,30161,52.3882144,9.7406733
7,Martinstraße,30659,52.4114577,9.8033023
272,Vahrenwalder Straße,30179,52.4163185,9.7343173
3,Hahnenstraße,30167,52.3866296,9.7198834
21,Am Kleinen Felde,30167,52.3852377,9.7221827
11,Schaufelder Straße,30167,52.3884213,9.7188658
1,Klaus-Müller-Kilian-Weg,30167,52.3878766,9.7183326
54,Stöckener Straße,30419,52.3990058,9.6720120
21,An der Christuskirche,30167,52.3807222,9.7254338
6,Raschplatz,30161,52.3786167,9.7442460
5,Ahlemer Straße,30451,52.3726842,9.7065007
5,Velberstraße,30451,52.3730100,9.7068009
18,Egestorffstraße,30449,52.3673358,9.7110719
10,Velberstraße,30451,52.3727663,9.7062144
108,Marienstraße,30171,52.3701312,9.7595418
386,Hildesheimer Straße,30519,52.3275225,9.7784853
269A,Vahrenwalder Straße,30179,52.4165187,9.7332569
4,Heidering,30625,52.3810302,9.8127635
