House number,Street name,Postal code,Latitude,Longitude
69,Jalan Ahmad Yani KM 2,70233,-3.3231886,114.5997952
No. 1,Jalan Pulau Laut,70114,-3.3163230,114.5896830
8,Jalan Ade Irma Suryani Nasution,70231,-3.3200415,114.5957509
28,Jalan Veteran,70236,-3.3205102,114.6080675
5-6,Jl Adhyaksa Ruko Kayu Tangi Permai Blok C,70123,-3.2903151,114.5900912
"No 6, RT 037",Sultan Adam,70122,-3.2971383,114.6043173
1B,Komplek Awang Sejahtera II,70122,-3.2911785,114.5978187
17,Jalan Uvaya,70249,-3.3449228,114.6161472
7C,Flamboyan 3,70123,-3.2939541,114.5921508
16,Komplek Banua Anyar Permai,70239,-3.3054960,114.6153635
42,Wildan Sari I G,70119,-3.3250293,114.5740618
42,Wildan Sari I G,70119,-3.3250422,114.5740478
39-40,Jalan Gatot Subroto,70235,-3.3295145,114.6164444
43-45,Jalan Gatot Subroto,70235,-3.3292600,114.6165368
"Bakso Acil imis,","Jalan Kelayan A, Gang Rahmat RT 07 RW 01,",70247,-3.3418722,114.5961963
12A,Komplek Kelapa Gading,70236,-3.3276605,114.6193038
1,H. Jailani,70123,-3.2996646,114.5910256
43,Jalan Ahmad Yani,70233,-3.3224389,114.6007903
1,Jalan Mulawarman,70122,-3.3167435,114.5821385
98,Jalan Jenderal Achmad Yani,70232,-3.3228565,114.6039291
35,Jalan Batu Benawa,70117,-3.3153377,114.5826783
33,Jalan Batu Benawa,70117,-3.3153516,114.5833265
4,Jalan Rantauan Darat,70234,-3.3329753,114.5850847
16,Jalan AS Musaffa,70111,-3.3165518,114.5908798
1,Jalan Brigjen Hasan Basri,70234,-3.2781855,114.5876159
2,Jalan Brigjen Hasan Basri,70124,-3.2890172,114.5889440
137,komp Kayu tangi 2 jalur 2,70124,-3.2914980,114.5886846
RT.17,Jalan Keramat Raya,70236,-3.3187763,114.6050912
RT.10 No.37,Jl. Kelayan B Gg. Setia Rahman,70242,-3.3347464,114.5926886
NO.19 RT.22,Jl. Cendrawasih 1,70116,-3.3069756,114.5795086
41,Jalan Wildan Sari III,70119,-3.3284151,114.5738720
42,Jalan Wildan Sari III,70119,-3.3282005,114.5738151
32,Jalan Wildan Sari III,70119,-3.3276147,114.5737053
06,Jalan Wildan Sari III,70119,-3.3272869,114.5736426
08,Jalan Wildan Sari III,70119,-3.3273068,114.5737975
10,Jalan Wildan Sari II,70119,-3.3272992,114.5739986
14,Jalan Wildan Sari II,70119,-3.3275063,114.5740304
37,Jalan Wildan Sari III,70119,-3.3274608,114.5738812
18,Jalan Wildan Sari II,70119,-3.3276199,114.5740563
35,Jalan Wildan Sari III,70119,-3.3275577,114.5738876
34,Jalan Wildan Sari III,70119,-3.3276388,114.5738974
18A,Jalan Wildan Sari II,70119,-3.3277244,114.5740722
19,Jalan Wildan Sari II,70119,-3.3278016,114.5740848
21,Jalan Wildan Sari II,70119,-3.3279692,114.5741354
30,Jalan Wildan Sari III,70119,-3.3279634,114.5739622
40,Jalan Wildan Sari III,70119,-3.3280822,114.5739927
23,Jalan Wildan Sari II,70119,-3.3280975,114.5741472
25,Jalan Wildan Sari II,70119,-3.3282248,114.5741802
39,Jalan Wildan Sari II,70119,-3.3282868,114.5744169
24,Jalan Wildan Sari II,70119,-3.3280974,114.5743800
22,Jalan Wildan Sari II,70119,-3.3280043,114.5743624
17,Jalan Wildan Sari II,70119,-3.3275597,114.5742428
15,Jalan Wildan Sari II,70119,-3.3274786,114.5742269
12B,Jalan Wildan Sari II,70119,-3.3273080,114.5742015
12,Jalan Wildan Sari II,70119,-3.3272041,114.5741843
13B,Jalan Wildan Sari,70119,-3.3273767,114.5745863
13A,Jalan Wildan Sari,70119,-3.3273752,114.5747066
68,Jalan Wildan Sari V,70119,-3.3271805,114.5729974
66,Jalan Wildan Sari V,70119,-3.3270947,114.5729963
64,Jalan Wildan Sari V,70119,-3.3270046,114.5729660
62,Jalan Wildan Sari V,70119,-3.3268970,114.5729693
60,Jalan Wildan Sari V,70119,-3.3267906,114.5729616
58,Jalan Wildan Sari V,70119,-3.3266643,114.5729704
56,Jalan Wildan Sari V,70119,-3.3265549,114.5729620
47,Jalan Wildan Sari V,70119,-3.3259029,114.5731004
61,Jalan Wildan Sari V,70119,-3.3269584,114.5731939
03,Wildan Sari I,70119,-3.3268742,114.5745758
02,Wildan Sari I,70119,-3.3269294,114.5743188
06,Wildan Sari I,70119,-3.3267633,114.5742869
07,Wildan Sari I,70119,-3.3266608,114.5742599
12,Wildan Sari I,70119,-3.3265016,114.5742320
14,Jalan Wildan Sari I,70119,-3.3263933,114.5742113
15,Wildan Sari I,70119,-3.3263751,114.5743480
10,Wildan Sari I,70119,-3.3264593,114.5744901
16,Wildan Sari I,70119,-3.3263550,114.5744728
22,Wildan Sari I,70119,-3.3260731,114.5744204
17,Wildan Sari I,70119,-3.3261952,114.5744422
18,Wildan Sari I,70119,-3.3262133,114.5743109
19,Wildan Sari I,70119,-3.3262389,114.5741785
20,Wildan Sari I,70119,-3.3261139,114.5741584
26,Wildan Sari I,70119,-3.3258030,114.5740876
27,Wildan Sari I,70119,-3.3257804,114.5742394
28,Wildan Sari I,70119,-3.3257522,114.5743696
32,Wildan Sari I,70119,-3.3255373,114.5740390
30,Wildan Sari I,70119,-3.3256266,114.5742087
34,Wildan Sari I,70119,-3.3254753,114.5743093
35,Jalan Wildan Sari I,70119,-3.3252987,114.5742832
36,Wildan Sari I,70119,-3.3253322,114.5741540
37,Wildan Sari I,70119,-3.3253509,114.5740148
38,Wildan Sari I,70119,-3.3251637,114.5739839
39,Wildan Sari I,70119,-3.3251783,114.5741028
39B,Wildan Sari I,70119,-3.3251852,114.5741852
45A,Wildan Sari I G,70119,-3.3249978,114.5741430
46,Wildan Sari I,70119,-3.3249101,114.5741778
42,Wildan Sari I,70119,-3.3249619,114.5740414
41,Wildan Sari I,70119,-3.3249858,114.5739566
43,Wildan Sari I,70119,-3.3248607,114.5739557
48,Wildan Sari I,70119,-3.3245441,114.5741580
49,Wildan Sari I,70119,-3.3244588,114.5741475
49A,Wildan Sari I,70119,-3.3243728,114.5741388
50,Wildan Sari I,70119,-3.3242881,114.5741515
12,Komplek Arjuna,70237,-3.3275731,114.6115029
No. 18 B,Blok FLamboyan,70247,-3.3561401,114.6055899
11,Jalan Citra Wati,70237,-3.3276992,114.6123036
27,Komplek Hidayatullah,70117,-3.3187709,114.5774612
49,Jalan Wildan Sari V,70119,-3.3263000,114.5731536
51,Jalan Wildan Sari V,70119,-3.3263705,114.5731582
53,Jalan Wildan Sari V,70119,-3.3264473,114.5731539
55,Jalan Wildan Sari V,70119,-3.3265381,114.5731612
57,Jalan Wildan Sari V,70119,-3.3266306,114.5731780
18,Jalan Wildan Sari V,70119,-3.3267369,114.5731898
88,Jalan S. Parman,70115,-3.3073159,114.5895582
65,Jalan Wildan Sari V,70119,-3.3271581,114.5731983
43,Jalan Wildan Sari V,70119,-3.3257933,114.5731000
44,Jalan Tanjung 3,70123,-3.2919334,114.5959415
73,Jalan Ahmad Yani,70235,-3.3369445,114.6176381
28,Jalan Simpang Ulin,70232,-3.3219950,114.6019017
17,Jalan Uvaya,70249,-3.3448707,114.6161069
7C,Flamboyan 3,70123,-3.2940919,114.5919536
16,Jalan Pramuka,70249,-3.3452880,114.6294339
137,Komp Kayu Tangi 2 Jalur 1,70124,-3.2913320,114.5885232
47,Wildan Sari I,70119,-3.3248111,114.5741732
44,Wildan Sari I G,70119,-3.3247348,114.5740122
33,Wildan Sari I,70119,-3.3255063,114.5741818
31,Wildan Sari I,70119,-3.3256576,114.5740631
29,Wildan Sari I,70119,-3.3256035,114.5743363
25,Wildan Sari I,70119,-3.3259285,114.5741096
24,Wildan Sari I,70119,-3.3258982,114.5742527
23,Wildan Sari I,70119,-3.3258717,114.5743916
21,Wildan Sari I,70119,-3.3260810,114.5742865
11,Wildan Sari I,70119,-3.3264723,114.5743680
05,Jalan Wildan Sari I,70119,-3.3267450,114.5744140
01,Wildan Sari I,70119,-3.3270458,114.5743472
33,Jalan Wildan Sari III,70119,-3.3277276,114.5739124
20,Jalan Wildan Sari II,70119,-3.3278783,114.5741158
36,Jalan Wildan Sari III,70119,-3.3278396,114.5739253
17A,Jalan Wildan Sari II,70119,-3.3276324,114.5742570
22A,Jalan Wildan Sari II,70119,-3.3279182,114.5743425
17B,Jalan Wildan Sari II,70119,-3.3277034,114.5742711
17C,Jalan Wildan Sari II,70119,-3.3277797,114.5742949
44,Jalan Wildan Sari III,70119,-3.3281137,114.5737974
No. 18,Blok Flamboyan,70247,-3.3561292,114.6056301
9,Jalan Batu Besar,70117,-3.3189565,114.5834635
45B,Wildan Sari I G,70119,-3.3249903,114.5741770
45C,Wildan Sari I G,70119,-3.3249832,114.5742092
45D,Wildan Sari I G,70119,-3.3249763,114.5742421
12A,Jalan Wildan Sari II,70119,-3.3273937,114.5742182
17D,Jalan Wildan Sari II,70119,-3.3278405,114.5743043
depan gang muslimin rumah warna orange ungu,Jalan Kelayan B,70233,-3.3443179,114.5937211
31,Jalan Gubernur Soebardjo,70245,-3.3395366,114.5670334
47 A,Wildan Sari I,70119,-3.3247278,114.5741622
18,Jl. Pramuka Komplek Rahayu Pembina IV Perum Green Rahayu,70238,-3.3254465,114.6367922
