House number,Street name,Postal code,Latitude,Longitude
No.10-11,Jalan Balai Pustaka Timur,13250,-6.1997376,106.8858630
Blok A4 No.13,Penggilingan Elok,13940,-6.1955747,106.9410331
Rt.06/06 No.53,Al Baidho Raya,13810,-6.2930080,106.9008539
No.15,Jl. Protokol Halim Perdana Kusuma,13650,-6.2651474,106.8850270
32,Jalan Mayjend. Sutoyo,13630,-6.2578529,106.8688038
No.12,Jalan Pahlawan Revolusi,13430,-6.2249848,106.8989325
1,Jalan Pemuda,13220,-6.1930627,106.8843726
Kav 99,Jl Perintis Kemerdekaan,13260,-6.1817820,106.9046240
No.76,Jl. Mayjen Sutoyo,13650,-6.2623759,106.8649190
Kav. 125-127,Jalan Otto Iskandar Dinata,13330,-6.2371244,106.8692442
RT.6/RW.12,Jalan Letnan Jenderal MT Haryono,13330,-6.2437083,106.8689193
RW.6,"Jl. Sentra Primer Tim., Pulo Gebang, Cakung",13940,-6.2050110,106.9476617
Kav. 22,Jl. Pulo Mas Selatan,13210,-6.1789536,106.8773059
9,Jalan Pemuda,13220,-6.1926990,106.8806242
15,Jalan Matraman Raya,10310,-6.2005439,106.8528692
No.23,Jl. Perintis Kemerdekaan,13260,-6.1752306,106.8928280
2,Jalan Radin Inten,13440,-6.2224439,106.9234760
No. 1,Jl. Halim Perdana Kusuma,13630,-6.2489648,106.8782631
60 - 62,Jalan Jatinegara Timur,13310,-6.2205795,106.8678824
44,"Jalan Pemuda, Rawamangun,",13220,-6.1933636,106.8988495
3-4,Jalan Pemuda,13220,-6.1938567,106.8900534
76,Jl. Letjend Sutoyo,13640,-6.2626600,106.8653798
60,Jl. Otista 2,13330,-6.2435667,106.8685556
No.88,Jalan Pulo MAS Barat 3,13250,-6.1791793,106.8784888
369,"Jl. Pulo Mas Timur, Pulo Gadung",13210,-6.1754507,106.8876287
9,Jalan Pemuda,13220,-6.1927035,106.8807842
11,"Jl. Pangkalan Jati III, Cipinang Melayu, Makasar",13620,-6.2499015,106.9081626
25,"Jl. Balai Pustaka Tim. , Rawamangun, Pulo Gadung,",13220,-6.1973271,106.8862803
15,"Jalan Otista Raya, Jatinegara",13330,-6.2412822,106.8682859
No. 2,Jl. Pisangan Lama 1,13230,-6.2140252,106.8750837
109,Jl. Jatinegara Timur,13930,-6.2236787,106.8680897
15,"no, Gg. M.Zen",13510,-6.2740707,106.8568264
2C,Jl. Raya Pondok Kelapa Blok C 4,13460,-6.2297876,106.9351000
53,Jl. Pahlawan Revolusi,13470,-6.2206863,106.8991655
54,Jl. Pondok Kopi Raya,13460,-6.2318757,106.9429126
66-67,Jalan Pemuda,13220,-6.1937210,106.8942294
2,Jalan Laksamana Malahayati,13440,-6.2494402,106.9434936
28,Jalan Permata,13650,-6.2542683,106.8768400
9,Jl.Monumen Pancasila Sakti,13810,-6.2857629,106.9044948
4,Jalan Bekasi Barat Raya,13260,-6.1848880,106.9070601
23,Bekasi Raya,13910,-6.1843023,106.9445459
No. 30,Jalan Perumkar DKI Blok M2,13450,-6.2392000,106.9386390
M2 No. 30,Jalan Perumkar DKI,13450,-6.2407234,106.9409851
1A,Cipinang Cempedak II,13340,-6.2373440,106.8702250
10,Pulo Gebang,41581,-6.2068294,106.9552542
44e,Jalan I Gusti Ngurah Rai,13470,-6.2139210,106.8992911
34,Jalan Rahayu,13540,-6.2898060,106.8703377
66,Jalan Rawa Terate,13920,-6.1859453,106.9284659
69,Jl Matraman Raya,13140,-6.2029493,106.8577566
3-4,Jalan Pemuda,13220,-6.1939764,106.8907518
1,Jalan Sunan Sedayu,13220,-6.1973912,106.8917940
Ruko Cibubur Indah Blok F.9,Jalan Lapangan Tembak,13720,-6.3526946,106.8826263
F.8,Jl. Raya Lapangan Tembak,13720,-6.3527082,106.8826697
14,Gang H Daud,13730,-6.3327448,106.8791799
jakarta raya,jakarta raya,15417,-6.1883420,106.8822098
No.74,Jl. Limo,13310,-6.2232540,106.8690187
No.10,"Jalan Raya Pondok Kopi Jl. Arabika VI No.10 Blok Y7, RT.10/RW.06",13460,-6.2301240,106.9434415
3,Jalan Haji Karim,13880,-6.3114726,106.9080666
80,Jalan Pulo Gebang,13950,-6.2163285,106.9549749
RT.006 /RW.006 No.1,Jalan Kp.Kapuk 1,13470,-6.2153042,106.9015346
28,Jalan Taman Sari VI,13940,-6.2140179,106.9264485
46,Jalan Haji Mansur,13460,-6.2321667,106.9379405
RT.6/RW.8,Jalan KH. Abdurrahman,13950,-6.2116980,106.9450500
18,Jalan Malaka Raya,13460,-6.2253344,106.9318736
50,Jalan Kayu Manis Barat,13130,-6.2018764,106.8604935
27,Jalan Panca Warga Satu,13410,-6.2356809,106.8803097
2,Jalan Bambu Kuning I,13220,-6.1985458,106.8882036
147,Jalan Pesantren Al' Bariyah,13540,-6.2861811,106.8632848
37,"Jalan Masjid Al-Munir, RT 011 RW 003",13570,-6.2692695,106.8740437
22,Jalan Kelapa Tunggal,13120,-6.2078757,106.8675387
54,Jalan Kayu Manis VIII,13130,-6.2063650,106.8643925
6,Jalan Komplek PIK,13940,-6.2048870,106.9307315
40,Jalan Haji Ali,13540,-6.2923354,106.8651190
77,Jalan I Gusti Ngurah Rai,13470,-6.2142092,106.9082236
19,"Jl. Balai Pustaka Baru No.19, RT.7/RW.7, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",13220,-6.1959980,106.8863993
"Ruko Townhouse 3A, Jl. Radar Auri No.99",Jalan Radar Auri,13720,-6.3697773,106.8837636
+010,Jl. Sedayu City Boulevard Blok SCBRA. No. +010,13910,-6.1656078,106.9247833
12,Jalan Mulia,13330,-6.2349320,106.8695891
10,Gang Haji Kaiman,13350,-6.2192656,106.8721131
41,Gang Musholla,13740,-6.3179639,106.8773001
3,Jalan Centex,13740,-6.3171446,106.8788462
31,Jalan Centex,13740,-6.3173639,106.8787644
1,Jalan Jatinegara Timur I,13310,-6.2176028,106.8673930
117,Jalan Balai Rakyat,13910,-6.1828307,106.9565417
98J,Jl. Al-Ikhsan,13810,-6.2914469,106.8948922
2A,Jalan Damai PBSI,13840,-6.3370331,106.8922342
RT.14/RW.2,Jl. Pondok Gede,13560,-6.2912347,106.8864703
1,Jalan Taman Mini I,13650,-6.2928884,106.8807575
37,Jalan Pondok Gede,13560,-6.2906335,106.8841603
58,Jalan Manunggal XVII,13810,-6.2976716,106.8969654
58,Jalan Albaidho,13810,-6.2974707,106.8970459
58,Jalan Albaidho,13810,-6.2975098,106.8970442
1A,Jalan Albaidho,13810,-6.2970333,106.8971908
7,Jalan Albaidho,13810,-6.2966902,106.8973091
55,Jalan Pondok Gede,13560,-6.2906173,106.8826559
13,Pertamina 34-13506,13560,-6.2855076,106.8793008
4,"Jl. SMA Negeri 14 No.4, RT.4/RW.14, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",13640,-6.2581787,106.8689920
no 2,Jalan Cililitan Besar,13570,-6.2654565,106.8775776
8,Jalan Bogor Raya,13740,-6.3311323,106.8676669
15,Jalan Pondok Gede,13650,-6.2910511,106.8817562
220,Jalan Matraman,13310,-6.2142319,106.8623282
14,Jalan DI Panjaitan,13420,-6.2404354,106.8771787
11,Jalan DI Panjaitan,13340,-6.2416412,106.8767596
5,Jalan DI Panjaitan,13340,-6.2440972,106.8756097
37,Jalan Radin Inten II,13440,-6.2340783,106.9232038
1,Jalan Persahabatan Raya,13230,-6.2047966,106.8842734
"No.127, RT.19/RW.8",Jl. Matraman Raya,13110,-6.2081337,106.8597862
No. 7,JL. Ja’ani Nasir,13630,-6.2503209,106.8683778
2A,Jalan Pisangan Baru Timur,13110,-6.2142561,106.8723720
36B,Jalan Pisangan Baru Tengah RT. 06/14,13110,-6.2106703,106.8709552
"No.2, RT.2/RW.4",Jl. Pendidikan III,13770,-6.3168622,106.8617265
96,Jalan Pondok Gede Raya,13810,-6.2906411,106.8898961
Kav. 30,Jl. Pramuka,13120,-6.1927913,106.8690493
Km 21,Jalan Bekasi Raya,13920,-6.1833160,106.9156562
KM 19 No. 24,Bekasi Raya,13910,-6.1870819,106.9491089
88,Jalan Penganten Ali,13740,-6.3241404,106.8852252
6,jalan mungang,13530,-6.2764169,106.8513616
1a -1b,Jalan Pusdiklat Depnaker,13570,-6.2836367,106.8776945
7,Jalan Pondok Gede,13560,-6.2900663,106.8831893
6A,Jalan Pondok Gede,13560,-6.2901563,106.8828655
No. 1,Jalan Persahabatan,13230,-6.2034826,106.8833222
