House number,Street name,Postal code,Latitude,Longitude
جنب کوی جوزاک پ ۱۲,آزادی,5174654145,38.0579207,46.2809460
1427,دارایی قدیم - مدنی۱,5134833664,38.0787960,46.2944845
20 meter Etesami,16 meter Homa,5157857934,38.0655458,46.3679557
طبقه 3,هفده شهریور جدید جنب بانک ملی,ساختمان سرو,38.0684278,46.2860607
3,ائل گولی یولو - شاه گلی یولو - شهید باکری,5166867569,38.0495695,46.3501514
no64,ارتش جنوبی,5137653515,38.0729779,46.2968893
47,خیابان شهید یاغچیان,51386,38.0683255,46.2998494
16,میدان شهدا، بازار امیرکبیر، طبقه منفی ۱,65458,38.0775850,46.2943310
27,بلوار ولیعصر,5157813498,38.0587733,46.3633167
88,خیابان شهیدان محمدپور صبور,5158446719,38.0709085,46.3774281
72,ورزش,5183828719,38.0789205,46.2484924
09144142703,امام خمینی میدان قطب,86988698,38.0698452,46.3107602
46,کوی توحیداول,5156983936,38.0782648,46.3244215
کوچه ششم,کوی اسلامی,041,38.0732950,46.2661745
خانه قرآنی خضراء,بزرگراه آذربایجان,5185715179,38.0915572,46.2591821
10,اشرافی (پاستور جدید),041,38.0635835,46.3067105
پلاک ۳,بلوار سینا,51777119813,38.0462434,46.3532824
29,شریعتی جنوبی (شهناز) کوچه ارک,09025177717,38.0726931,46.2874896
60,بلوار مشروطه(خیابان امامیه),5173865955,38.0542780,46.2834210
0,هفده شهریور جدید,برج آذربادگان,38.0683896,46.2846934
10,خیابان سعدی,5167653118,38.0481340,46.3659075
515638415,عباسى,041,38.0764291,46.3348299
25,17 شهریور جدید,ساختمان رز آبی,38.0680217,46.2849433
28,شریعتی جنوبی (شهناز),5137883199,38.0732195,46.2867987
5.3,بلوار ستارخان,5187684885,38.1078398,46.2730008
واحد 10,ارک جدید (مقصودیه) ، ساختمان دیبا ، طبقه 5,5137777651,38.0713252,46.2924194
دمشقیه,دمشقیه,5154787737,38.0730081,46.3169147
76,ورزش,5183828720,38.0789237,46.2484313
118,سه راه امین,118,38.0769325,46.2878165
19,رضوان,5,38.0922008,46.2325344
123,شهید برقی,11111-11111,38.0677994,46.2350180
24,بلوار ولى عصر,1111111111,38.0594052,46.3544630
25,پاستور جدید ۵,5163853860,38.0657743,46.3123442
25,پاستور جدید ۵,5163853860,38.0658086,46.3123560
501,ملامحمد فضولی,5158343161,38.0429974,46.4040446
24,پاستور جدید ۵,5163853860,38.0657574,46.3121963
6,زمرد,5156747483,38.0751717,46.3568906
2,Pastor Jadid 2,51387-45668,38.0622025,46.2904724
34,پروین اعتصامی جنوبی,5157884535,38.0597431,46.3705321
1,بلوار انقلاب,5147783414,38.1075029,46.2832992
53,بزرگراه ائل گؤلی,5165675467,38.0269564,46.3617931
14,دماوند,5155969965,38.0747259,46.3754818
8,سعدى جنوبی,5157938700,38.0584878,46.3639058
33,شهید روحانی,11,38.0464278,46.3455655
66,هشت متری نهم,888,38.0491324,46.3359541
۱,پروین اعتصامى,1111111111,38.0624096,46.3626374
521,امام خمینی,5163773675,38.0703917,46.3090520
14,هفده شهریور جدید,5138658351,38.0680917,46.2954242
۲۷۳,عارف,۵۱۵۳۶۱۸۷۸۹,38.0831496,46.3115327
122,بزرگراه آزادی(زیرگذر مارالان),5163917697,38.0581480,46.3115211
504,طالقانی شمالی,5138766550,38.0618631,46.2902190
6,ارتش جنوبی,5137658410,38.0710665,46.2969602
244,شهید مدرس,301,38.0740969,46.3057833
11,امام خمینی,5154936784,38.0702811,46.3108097
0,مهرگان,5165691381,38.0655373,46.3245090
2,مخابرات,5157931981,38.0564433,46.3644477
فلکه دانشگاه,امام خمینی,5165698513,38.0648031,46.3267517
2,پناهی,5165693144,38.0642021,46.3254970
3/119,کدخدا باشی,5137776946,38.0719992,46.2932419
88,بزرگراه چایکنار(علامه طباطبایی),5154818444,38.0697165,46.3234821
5.3,بلوار ستارخان,5187684885,38.1078272,46.2730083
25,پاستور جدید ۵,5163853860,38.0657327,46.3123311
