House number,Street name,Postal code,Latitude,Longitude
128,بلوار فجر غربی,7176913636,29.6060352,52.4512761
38202090,بلوار سفیر شمالی,071,29.6052010,52.5043164
11 Avenue,فلاحی,71856646,29.6187148,52.4817748
243,بلوار چمران,13518,29.6343809,52.5135833
001,بلوار مطهری جنوبی,74358555,29.6306087,52.4780418
17,Amir Kabir,7177817743,29.6086489,52.4987389
ساختمان پزشکی شفا,اردیبهشت غربی,7134755113,29.6261675,52.5252578
ساختمان کاظمی - طبقه 4 - واحد 8,خیابان اردیبهشت شرقی,7134784559,29.6251419,52.5268168
خیابان شهید فقیهی,کوچه 14,7134795696,29.6222664,52.5254780
روبروپارکینگ کارگر,زائری,7134754331,29.6029296,52.5309668
119,آزادی 22,71439-15595,29.6270672,52.5377402
22,قاانی نو)قاآنی جنوبی),07138212376,29.6059651,52.5293591
412,۸۶ قصردشت,71957-48756,29.6516495,52.4877955
12th road,Western Qodousi Boulevard,7186856531,29.6663040,52.4758292
7,۱۰/۱ شبان,71757-64767,29.6138089,52.5011321
7,۱۰/۱ شبان,71757647,29.6137933,52.5011035
4,شهدای سوم خرداد,7194765347,29.6395482,52.5094831
145,لاله ۳,71439-14688,29.6267638,52.5387120
1,بولوار آزادی,714369538,29.6280334,52.5533174
711,نبش شهید فقیهی,71,29.6256555,52.5289126
2,حائری ۱۱ (فرح),7139774568,29.6137946,52.5358533
کوچه 5,خیابان علوی,7189713999,29.7446381,52.4302855
شهرک والفجر,طلوع۱ جنب باشگاه افرینش,7176986978,29.6076870,52.4553017
33849,بلوار کریمخان زند,71376,29.6180982,52.5414086
1,۶۳/۳ قصردشت,7183995763,29.6351261,52.5026821
165,خیابان معدل غربی,7134687737,29.6284801,52.5201286
221,قصردشت,717115465,29.6468910,52.4916828
۶۳۴۵۵,خیابان بیت المقدس,۷۱۷۷۷,29.5809293,52.4989191
۶۳۴۸۵,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5807569,52.4996747
۶۳۴۹۷,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5805737,52.4998347
۶۴۸۳۴,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5805266,52.5002052
۶۴۸۹۵,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5809265,52.4996396
۶۴۸۵۳,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5807867,52.4999139
۶۴۸۴۸,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5807345,52.4999766
۶۴۸۱۶,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5804357,52.5003588
۶۳۵۳۱,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5804105,52.5000410
۶۴۱۳۱,بیت المقدس۲۱,۷۱۷۷۷,29.5797255,52.4983304
۶۴۷۹۸,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5802949,52.5004572
۶۴۸۴۵,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5806840,52.5000341
۶۴۸۴۱,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5806251,52.5000931
۶۴۷۹۱,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5801740,52.5005854
۶۳۵۱۵,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5804548,52.4999472
۶۴۸۳۸,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5805669,52.5001523
۶۳۴۶۹,خیابان بیت المقدس,۷۱۷۷۷,29.5809789,52.4993763
۶۴۸۱۳,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5803669,52.5004061
۶۳۴۴۸,خیابان بیت المقدس ۱۹,۷۱۷۷۷,29.5808237,52.4989650
۶۳۴۶۸,خیابان بیت المقدس,۷۱۷۷۷,29.5809679,52.4993344
۶۴۸۵۸;۶۴۸۵۹,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5808893,52.4998072
۶۳۴۷۱,خیابان بیت المقدس,۷۱۷۷۷,29.5809897,52.4994218
۶۳۵۱۱,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5805161,52.4998975
۶۳۴۸۱,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5808186,52.4996224
۶۴۸۵۶,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5808430,52.4998603
۶۴۸۹۳;۶۴۸۹۱,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5809406,52.4997675
27,، خیابان لطفعلی خان زند، سه راه انوری، ساختمان مجرد,7135668199,29.6175630,52.5350918
37,کوچه ۲ ملاصدرا,71936-13859,29.6298652,52.5197972
Rajaei Building,خیابان ملاصدرا,71936-16598,29.6271499,52.5182939
پل شاهد,پل شاهد,7196699320,29.6668996,52.4866575
۱۸۳,انقلاب اسلامی,71736-96133,29.6143611,52.5238699
123,بولوار آزادی,71456-48513,29.6280721,52.5531249
13,کوچه ۱۳ ستارخان,7184735366,29.6318118,52.4941519
19,۴ شبان,71758-95655,29.6155970,52.4997488
259,۱۳/۲ارم,71436-55311,29.6329581,52.5293040
241,قاآنی شمالی۵,71399-15614,29.6097743,52.5335902
2,2شوریده شیرازی(نوری),7173656458,29.6159185,52.5178401
7,بهار,71637-46793,29.6091965,52.5236129
3,چهل مقام,71456-74997,29.6203362,52.5564399
136,چهل مقام,71456-76719,29.6207921,52.5561663
179,بلوار شهید رجایی,71876-56519,29.6728766,52.4550699
121,فرزدقی ۷,71768-76892,29.6105531,52.4765047
81,بازار انقلاب لاین لاله,71439-15516,29.6270449,52.5378091
112,میرزای شیرازی شرقی,71877-96975,29.6662718,52.4760166
107,خیابان هدایت غربی,71347-45599,29.6242208,52.5242038
57,بلوار مدرس,7154673567,29.6050864,52.5617879
391,۸/۱ دکتر حسابی,71877-77113,29.7077101,52.4559376
1,بلوار پاسداران حدفاصل کوچه 66 و 68,7184964141,29.6254473,52.4802752
4,کوچه ۵ ستارخان,71847-37123,29.6300742,52.4963190
193,۱۲ ستارخان,71838-16938,29.6272064,52.4990018
8,عفیف آباد ۱۴,71838-44344,29.6269324,52.5043112
از پل ستارخان به سمت فلکه مطهری، بعد از کوچه 26 مطهری شمالی، بخش پرندگان کلینیک دامپزشکی دکتر رمضانی,بلوار مطهرى شمالى,7186766589,29.6335907,52.4881692
84,نشاط,71348-34689,29.6289082,52.5261329
43,۲۴,71536,29.5964383,52.5543717
118,۳۲/1,71936,29.6266606,52.5140594
118,۳۲/1,71936,29.6267208,52.5140035
تابا,خیابان معدل غربی تقاطع فلسطین,7134753151,29.6269124,52.5231148
ساختمان پزشکی شفا,اردیبهشت غربی,7134755113,29.6261606,52.5251025
222,خیابان معدل غربی,7134674445,29.6274716,52.5211884
5,باغشاه,7134733167,29.6245511,52.5212659
۱۷,قانعی,۷۱۴۶۷-۱۰۰۰۱,29.6236507,52.5622869
114,اسلامی,7153976356,29.5997368,52.5564764
114,اسلامی,7153976356,29.5996375,52.5565607
۶۴۵۵۹,خیابان بیت المقدس ۲۱,۷۱۷۷۷,29.5802026,52.4979298
۶۳۹۵۳,خیابان بیت المقدس ۲۱/۸,۷۱۷۷۷,29.5791455,52.4990904
۶۳۱۱۵,خیابان بیت المقدس,۷۱۷۷۷,29.5806366,52.4978207
۶۳۸۹۷,خیابان بیت المقدس ۲۱/۸,۷۱۷۷۷,29.5790378,52.4991548
۶۴۱۱۳,خیابان بیت المقدس ۲۱/۶,۷۱۷۷۷,29.5793464,52.4988095
۶۴۶۵۸,خیابان بیت المقدس ۲۱,۷۱۷۷۷,29.5805193,52.4976867
۶۳۸۶۴,خیابان بیت المقدس ۲۱/۱۰,۷۱۷۷۷,29.5789653,52.4994272
۶۳۸۸۹,خیابان بیت المقدس ۲۱/۱۰,۷۱۷۷۷,29.5790611,52.4993091
۶۴۶۴۹,خیابان بیت المقدس ۲۱,۷۱۷۷۷,29.5803992,52.4977928
۶۴۶۵۷;۶۴۶۵۶,خیابان بیت المقدس ۲۱,۷۱۷۷۷,29.5804635,52.4977468
۶۳۸۵۹,خیابان بیت المقدس ۲۱/۱۰,۷۱۷۷۷,29.5789049,52.4993438
۶۳۱۳۱,خیابان بیت المقدس,۷۱۷۷۷,29.5805928,52.4978987
۶۳۸۹۴,خیابان بیت المقدس ۲۱/۱۰,۷۱۷۷۷,29.5789814,52.4992334
۶۳۱۳۷,خیابان بیت المقدس,۷۱۷۷۷,29.5806582,52.4980908
۶۳۶۹۰..۶۳۶۹۶,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5806125,52.4997296
۴۹۱۸۷,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5793616,52.5004589
۶۳۷۷۱,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5796147,52.5003359
۶۳۸۳۳,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5791769,52.4997800
۴۹۱۶۹,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5791046,52.5001336
۶۳۷۷۹,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5795240,52.5002111
۶۳۷۵۱,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5798824,52.5006222
۶۳۷۹۷,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5793237,52.4999703
۶۳۱۸۹,خیابان بیت المقدس ۱۹,۷۱۷۷۷,29.5804758,52.4991137
۴۹۱۸۳,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5792722,52.5003480
۴۹۱۳۱۵,بیت المقدس۱۷,۷۱۷۷۷,29.5796677,52.5008335
۶۳۸۴۳,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5789816,52.4996053
154,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5790340,52.5000713
۶۳۷۸۸,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5793751,52.5000266
۴۹۱۸۶,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5793196,52.5004070
۶۳۸۱۱,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5792765,52.4999097
۶۳۷۵۶,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5798084,52.5005867
۴۹۱۹۴,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5794582,52.5005788
۶۳۷۸۴,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5794746,52.5001511
۶۳۷۶۷,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5796636,52.5003953
۶۳۸۴۶,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5789314,52.4995244
۶۳۸۱۸,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5792317,52.4998449
۶۳۸۳۸,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5790335,52.4996702
۶۳۷۵۴,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5798063,52.5007023
۶۳۸۴۸,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5788300,52.4995016
۴۹۱۸۹,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5794050,52.5005126
۶۳۷۶۴,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5797141,52.5004577
۶۳۷۸۵,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5794178,52.5000905
۶۹۱۹۷,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5795382,52.5006807
۶۳۶۶۴,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5800256,52.5004659
۴۹۱۷۷,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5792173,52.5002791
۶۳۷۵۹,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5797631,52.5005203
۶۳۸۳۶,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5790877,52.4997427
۶۹۱۲۴,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5791593,52.5002097
۴۹۱۳۱۱,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5796082,52.5007762
۶۳۶۵۸,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5801445,52.5002972
۶۳۶۶۳,خیابان بیت المقدس ۱۷,۷۱۷۷۷,29.5800661,52.5004351
۶۳۷۷۵,خیابان بیت المقدس ۲۱/۱۲,۷۱۷۷۷,29.5795734,52.5002726
۶۳۴۳۴,خیابان بیت المقدس ۱۹,۷۱۷۷۷,29.5806435,52.4993786
۶۳۴۵۴,خیابان بیت المقدس ۱۹,۷۱۷۷۷,29.5808887,52.4988795
