House number,Street name,Postal code,Latitude,Longitude
1897,Shariati Street,1933933171,35.7994518,51.4338149
پلاک ۷,موحد دانش,26126015,35.8008579,51.4846919
13,معصومی,11918,35.7966677,51.4581853
3011,خیابان ولیعصر (عج)، بالاتر از پارک وی ، نرسیده به میدان تجریش ، ایستگاه پسیان ، موقوفات دکتر محمود افشار,1961733114,35.8021445,51.4201734
2,نامی,114522583,35.7964828,51.4478144
۱۴,اسلام,١٩٧٨٧٣٧٤٨٣,35.8169867,51.4684233
4,میخک,021,35.7901731,51.5022707
40,بلوار اندرزگو,1937645584,35.8013681,51.4539179
5,خیابان ولی عصر,1988615753,35.8044066,51.4207200
13,سوهانک آتی ساز برج زنبق,22495610,35.7965359,51.5254113
23,میدان امام علی,009821,35.8058498,51.5192779
1,مرتضی فیاضی,1965613961,35.7926134,51.4169259
13,ساسان,1985843111,35.8030838,51.4061191
23,دزاشیب,1934774111,35.8053549,51.4388319
49,موحد دانش,1957719645,35.8056539,51.4747202
10,بلوار اندرزگو,1937945715,35.8012869,51.4603921
92,موحد دانش,1957647996,35.8048243,51.4759985
8,دانیالی,1935934153,35.7998825,51.4489451
3,اشکستان پور,1955753711,35.7987778,51.4489659
1,کنارگذر ارتش,1935933150,35.7984689,51.5051488
2,موحد دانش,1957663598,35.8021246,51.4787296
403,سیزدهم,1985858962,35.8078002,51.4056990
43,بلوار اندرزگو,1935934178,35.7996193,51.4492294
43,بلوار اندرزگو,1935934179,35.7995694,51.4491602
102,نیکو,1938736970,35.7957667,51.4433438
51,حیدر مردانی,1987783156,35.8084476,51.4103907
2,دوازده متری قیطریه,1945996618,35.7940734,51.4471349
123,بلوار اندرزگو,1935934178,35.7998182,51.4496175
134,مقدس اردبیلی,1985675353,35.8015859,51.4058759
13,علیرضا بازدار,954914649,35.8046270,51.4621369
پلاک1، ساختمان فرشته,علیرضا اخگری,1965613751,35.7913118,51.4184800
2880,Valiasr Street,19617-33114,35.8018148,51.4193121
519,ترنج,1957943311,35.7982978,51.4753354
100,مقدس اردبیلی,1986776967,35.7989448,51.4142556
2,پارک وی، خیابان جوانان، خیابان جمشید مشایخی (ج)، کوچه اول، پلاک 2,1985633940,35.7926883,51.4094604
52,بلوار شهید اندرزگو,1937634911,35.8007687,51.4522121
225/1,امیرسلیمانی,1977713144,35.8129374,51.4552739
107,خیابان شهرداری,1963654371,35.8056373,51.4315734
52,میدان اعجازی,1987783156,35.8101231,51.4111854
۱۷۵۴,دکتر علی شریعتی,۱۹۱۴۹۶۴۹۷۱,35.7893059,51.4354606
18,بن بست کارامیان,1933714483,35.7915729,51.4372405
1,ولی‌ الله فلاحی,1988615966,35.8033818,51.4202898
6,میدان اعجازی، خیابان بهزادی، بن بست بهار,1987617862,35.8088956,51.4094258
32,خیابان فخری زاده,1693619496,35.7950411,51.4821043
2,خزر شمالی,1914954395,35.7885334,51.4342149
1,تکیه,1956733833,35.8210552,51.4590807
10,کریمی,1933898515,35.7954479,51.4395388
32,اقدسیه خ لنگری نبش فخری زاده,1693619436,35.7950153,51.4819904
201,نیکو,1938736971,35.7957838,51.4432479
309,خیابان باهنر مجتمع اداری نارون  طبقه 3,1954966173,35.8115114,51.4645418
خیابان اندرزگو - ابتدای بلوار صبا-نبش کوچه مهدیه-مطبخ وزیری,مهدیه,1938738757,35.7954839,51.4417501
9,الهیه,1587695111,35.7842605,51.4351475
10,دشتی,1914861144,35.7850380,51.4341765
418,دکتر باهنر,1936793951,35.8117362,51.4600119
12,عمار,311,35.8101831,51.4486819
386,پورابتهاج,1259863574,35.8129820,51.4755722
6,نارنجستان یکم,19575-176,35.7951976,51.4774393
10,آزادی,1937945714,35.8012754,51.4604390
89,زرمشت,1125820251,35.8165992,51.4600320
6,دانیال,1935934165,35.7999010,51.4491633
519,ترنج,1957943311,35.7983007,51.4753281
15,مهر اول شرقی,193363385,35.7889369,51.4410480
1826,دکتر علی شریعتی,1914963653,35.7922015,51.4346644
46,کبیری,19356,35.8060498,51.4401808
