House number,Street name,Postal code,Latitude,Longitude
10א,יוסף קארו,67014,32.0707047,34.7902994
1,ויטל חיים,ויטל,32.0570791,34.7679312
186,בן יהודה,בן יהודה,32.0885102,34.7736667
2,חיים לבנון,69975,32.1034077,34.7963224
136,דרך מנחם בגין,67021,32.0744838,34.7923922
132,דרך מנחם בגין,67011,32.0752574,34.7919866
125,דרך מנחם בגין,67011,32.0729414,34.7896022
17,הארבעה,64739,32.0704800,34.7863811
2,Reiness,64381,32.0781744,34.7747134
40,"Basel, Tel Aviv",60000,32.0898978,34.7795378
33,"Basel , Tel aviv",60000,32.0899705,34.7792266
1,Shlomo Hamelech Street,6437701,32.0764281,34.7766833
11א,אשקלון,6811834,32.0588271,34.7620752
1,מרדכי נמיר,6492903,32.0781738,34.7916661
1,שגב,61083,32.0546570,34.7521960
10,בלפור,6521124,32.0679000,34.7726820
88,דיזינגוף,6433262,32.0835736,34.7812833
121,בגין מנחם,6701203,32.0720320,34.7889870
14,העלייה,6606110,32.0597000,34.7735600
1,3903,6811156,32.0538453,34.7607234
21,Levontin street,6511604,32.0630665,34.7761504
25,הרב צירלסון,6230231,32.0950760,34.7932030
28,דוד תדהר,6775393,32.0521560,34.7862290
3,אלכסנדר ינאי,62382,32.0923270,34.7821640
31,משה וילנסקי,6962342,32.1281470,34.8319280
33,משה וילנסקי,6962343,32.1281600,34.8320940
א3,רובינשטין יצחק,6807644,32.0345560,34.7525570
48,המלך ג'ורג',6433701,32.0733530,34.7747720
46,בזל,62744,32.0896320,34.7806020
6,נס ציונה,6390408,32.0745580,34.7670760
64,שבזי,65144,32.0635420,34.7684530
7,נס ציונה,63904,32.0747830,34.7671810
7,לואי פסטר,6803608,32.0527017,34.7515483
7,קהילת סלוניקי,69513,32.1141615,34.8246237
75,החשמונאים,6527401,32.0699190,34.7814600
88,דיזנגוף,6433262,32.0770560,34.7746090
3,אחוזת בית,65252,32.0645717,34.7705798
78,Herbert Samuel St.,63431,32.0760598,34.7662017
15,הצורפים,6803931,32.0674059,34.7725798
17,שינקין,65231,32.0695492,34.7723065
11,אופנהיימר,69395,32.1200121,34.7995287
45,קיבוץ גלויות,66550,32.0521272,34.7680465
1,נתיב המזלות,68037,32.0549517,34.7520118
51,אחד העם,65206,32.0663526,34.7764236
124,אלנבי,65818,32.0626986,34.7731072
