House number,Street name,Postal code,Latitude,Longitude
15,12 микрорайон,130000,43.6580857,51.1509264
5,улица Нефтянников,130000,43.6422923,51.1596376
33,улица Нефтянников,130000,43.6439242,51.1643988
5/11,микрорайон 29а,130000,43.6671021,51.1724781
32,6 мкр.,130000,43.6433196,51.1657786
4,17 мкр,130000,43.6722978,51.1352900
4,17мкр,130000,43.6718032,51.1352414
66А,21-й микрорайон,130000,43.6453278,51.1799231
2,27-й микрорайон,130000,43.6627965,51.1595722
62,15 мкр,130000,43.6605951,51.1406963
2,Строительная улица,130000,43.6346985,51.1790781
38/2,5 микрорайон,130000,43.6386845,51.1592872
"4, 1 корпус",21 шағын аудан,130000,43.6390622,51.1665932
166,30 микрорайон,130000,43.6785847,51.1613351
168,30 микрорайон,130000,43.6788550,51.1603990
5/1,15 микрорайон,130000,43.6575685,51.1389688
183,30 микрорайон,130000,43.6795089,51.1599683
183/1,30 микрорайон,130000,43.6793132,51.1601594
15,12 микрорайон,130000,43.6584510,51.1505784
40А,6 микрорайон,130000,43.6406066,51.1645366
1/1,9 1/1,130000,43.6454796,51.1513913
18,4а микрорайон,130000,43.6329398,51.1685884
34,14 микрорайон,130000,43.6536893,51.1419874
108,микрорайон 3,130000,43.6376502,51.1755608
87,14 микрорайон,130000,43.6513259,51.1482431
12,1 микрорайон,130000,43.6347706,51.1767918
139,30 микрорайон,130000,43.6841055,51.1623176
37,30 микрорайон,130000,43.6816670,51.1606709
45,30 микрорайон,130000,43.6814428,51.1608953
103/7,23 микрорайон,130000,43.6501631,51.1740557
38,22 микрорайон,130001,43.6442098,51.1739519
34/15,3Б микрорайон,130000,43.6364546,51.1945310
"4,5,6",17мкр,130000,43.6721047,51.1351897
34/16,3Б микрорайон,130000,43.6368983,51.1946193
34/13,3Б микрорайон,130000,43.6363595,51.1934552
34/11,3Б микрорайон,130000,43.6369253,51.1922400
5000/1,Промзона 3,130000,43.6387322,51.1946737
30/1,29а,130000,43.6668203,51.1761681
5/15,29а,130000,43.6666349,51.1756407
5/8,микрорайон 29а,130000,43.6658019,51.1741133
43/11,микрорайон 29а,130000,43.6674241,51.1782832
43/9,микрорайон 29а,130000,43.6669423,51.1772088
5/4,микрорайон 29а,130000,43.6660938,51.1739479
5/20,микрорайон 29а,130000,43.6669539,51.1765245
5/16,микрорайон 29а,130000,43.6656880,51.1770316
3Б,микрорайон 29а,130000,43.6615420,51.1743380
7/1,микрорайон 29а,130000,43.6651517,51.1746478
43/10,микрорайон 29а,130000,43.6672709,51.1772828
100,микрорайон 29а,130000,43.6657561,51.1736965
3А,микрорайон 29а,130000,43.6631072,51.1738507
6/1,микрорайон 29а,130000,43.6647335,51.1752955
5/7,микрорайон 29а,130000,43.6647869,51.1747830
55/4,3Б микрорайон,130000,43.6358869,51.1896812
17,26 микрорайон,130000,43.6609486,51.1636386
103/7,23 микрорайон,130000,43.6503725,51.1748460
17,микрорайон 3Б,130000,43.6404965,51.1753651
103/5,23 микрорайон,130000,43.6507603,51.1743709
9/2,микрорайон 29а,130000,43.6646235,51.1739144
5/9,микрорайон 29а,130000,43.6665327,51.1735915
8/3,микрорайон 29а,130000,43.6651140,51.1739902
28,Промзона 1,130000,43.6431500,51.1942904
27/14,Промзона 1,130000,43.6417582,51.1979055
27/13,Промзона 1,130000,43.6423833,51.1984875
31,Промзона 1,130000,43.6431438,51.1951284
27/12,Промзона 1,130000,43.6424832,51.1972927
5/12а,29а,130000,43.6675985,51.1722407
20/7,Промзона 1,130000,43.6386721,51.1918589
20/7а,Промзона 1,130000,43.6388330,51.1922285
20/6,Промзона 1,130000,43.6389330,51.1911658
20/8,Промзона 1,130000,43.6387532,51.1910898
47/2,микрорайон 3Б,130000,43.6397639,51.1884385
20/16,Промзона 3,130000,43.6384250,51.1928087
20/17,Промзона 1,130000,43.6384804,51.1932438
20/18,Промзона 1,130000,43.6380651,51.1928264
34/6,3Б микрорайон,130000,43.6378067,51.1932075
39/2,3Б микрорайон,130000,43.6373619,51.1922785
39/1,3Б микрорайон,130000,43.6375455,51.1930319
39/1,3Б микрорайон,130000,43.6375961,51.1922631
1/19,Приморский микрорайон,130000,43.6285817,51.1964069
35/1,3Б микрорайон,130000,43.6359276,51.1920748
55/3,3Б микрорайон,130000,43.6361407,51.1901417
29,32А мкр,130000,43.6867946,51.1687421
30,32А мкр,130000,43.6869195,51.1700103
28,32А мкр,130000,43.6859700,51.1694325
27,32А мкр,130000,43.6862749,51.1701132
5/23,Промзона 3,130000,43.6402293,51.2033511
5/24,Промзона 3,130000,43.6404850,51.2039163
142/2,микрорайон 29а,130000,43.6716639,51.1917223
33/1,микрорайон 29а,130000,43.6652844,51.1764251
5/8,микрорайон 29а,130000,43.6650447,51.1759436
5/22,микрорайон 29а,130000,43.6668153,51.1733548
9,микрорайон 29а,130000,43.6641250,51.1743742
9/1,микрорайон 29а,130000,43.6636399,51.1742643
27/1,Промзона 1,130000,43.6437289,51.1944061
27/2,Промзона 1,130000,43.6420775,51.1949674
20/14,микрорайон 3Б,130000,43.6409834,51.1866303
40,микрорайон 3Б,130000,43.6408762,51.1847161
46/5,микрорайон 3Б,130000,43.6399014,51.1871653
46/1,микрорайон 3Б,130000,43.6401463,51.1866382
46/6,микрорайон 3Б,130000,43.6402925,51.1863708
41,микрорайон 3Б,130000,43.6404096,51.1860779
5/21,микрорайон 29а,130000,43.6647580,51.1742225
5/30,микрорайон 29а,130000,43.6651571,51.1743034
12/12,микрорайон 29а,130000,43.6654860,51.1749566
5/21,микрорайон 29а,130000,43.6674319,51.1763938
5/18,29а,130000,43.6664370,51.1752244
