House number,Street name,Postal code,Latitude,Longitude
34,Эркиндик,720040,42.8726752,74.6057172
27/1,Киевская улица,720021,42.8744383,74.6161170
89,Московская улица,720040,42.8699660,74.6083652
127,Чуй проспект,720011,42.8757615,74.6214793
75/1,Токтогула,720021,42.8718872,74.6148178
127,Чуй проспект,720011,42.8751597,74.6203529
26,Орозбекова Абдыкадыра улица,720040,42.8680075,74.6021320
114,Киевская улица,720001,42.8747351,74.5970181
100,Чуй проспект,720040,42.8755277,74.6106255
101/1,Шопокова улица,720021,42.8725030,74.6153754
107,Киевская улица,720001,42.8753517,74.5939900
1А,улица Матросова,720000,42.8642654,74.6303357
29,Суеркулова улица,720064,42.8376138,74.6192354
61А,Чингиза Айтматова проспект,720044,42.8416875,74.5854584
19,Максима Горького улица,720005,42.8569882,74.6123557
1/17,Горький,720048,42.8594313,74.6679233
41,Уметалиева,720010,42.8728511,74.5813526
21,Чингиза Айтматова проспект,720044,42.8519266,74.5859417
132,Боконбаева улица,720040,42.8669748,74.6012449
5,Манаса проспект,720017,42.8673569,74.5877870
106,Усенбаева Алымкула улица,720011,42.8762792,74.6131669
21,Эркиндик бульвар,720040,42.8684781,74.6069636
21,Erkindik blvrd.,720040,42.8685690,74.6069337
236,Курманжан Датка улица,720065,42.8813064,74.6367248
24,Исанова улица,720040,42.8693585,74.5907076
131/2,Киевская улица,720001,42.8754637,74.5909709
105,Тыныстанова улица,720031,42.8568837,74.6082763
10,dreevesnaja,720045,42.8883776,74.6291505
34,Айни улица,720044,42.8482324,74.5843555
173,Токтогула улица,720001,42.8729067,74.5831645
137,Абдрахманова улица,720000,42.8738695,74.6108045
176,Абдрахманова Юсупа улица,720040,42.8736963,74.6105318
69,Московская улица,720021,42.8694226,74.6123288
12,Манаса проспект,720040,42.8688356,74.5868576
136,Панфилова улица,720040,42.8667743,74.5999915
52,Усенбаева Алымкула улица,720021,42.8701510,74.6124497
150,Абдрахманова улица,720021,42.8685182,74.6108911
132,Уметалиева Темиркула улица,720010,42.8737207,74.5808665
114/1,Тоголок Молдо улица,720001,42.8739636,74.5963275
80-42,Исанова улица,720001,42.8745584,74.5912607
73,Московская улица,720000,42.8696528,74.6097317
65,Киевская улица,720040,42.8747897,74.6078092
46,Элебесова,720019,42.9008325,74.6118845
204,Абдрахманова Юсупа улица,720040,42.8799940,74.6114399
282А,Фрунзе улица,720052,42.8798196,74.6220782
38,Manas Avenue,720000,42.8749846,74.5879375
91,Чингиза Айтматова проспект,720044,42.8393360,74.5846078
73/1,Чингиза Айтматова проспект,720044,42.8399580,74.5845591
91,Чингиза Айтматова проспект,720044,42.8389861,74.5842336
119а,Ахунбаева улица,720010,42.8436977,74.6045954
38,Кошевого переулок,720031,42.8525522,74.6109926
138,Боконбаева улица,720040,42.8671044,74.5987871
1/2,Актюбинский переулок,720005,42.8587972,74.6042813
2,Раззакова улица,720040,42.8647237,74.6028304
68,Байтик Баатыра улица,720005,42.8542057,74.6094425
109,Токтогула улица,720001,42.8723141,74.5937698
10,Ауэзова Мухтара улица,724318,42.8773429,74.6907810
10,Ауэзова Мухтара улица,724318,42.8774629,74.6908471
2В,Льва Толстого улица,720083,42.8619731,74.6091541
89/2,Шопокова улица,720021,42.8711147,74.6153800
127 а,Гоголя улица,720047,42.8767444,74.6212318
127,Чуй проспект,720011,42.8755795,74.6214049
"141,127",Гоголя улица,720011,42.8764681,74.6203079
147/4,Чуй проспект,720010,42.8757336,74.6189242
92,Гоголя улица,720011,42.8766823,74.6195462
95а,Киевская улица,720001,42.8751130,74.5970878
112,Киевская улица,720001,42.8746904,74.5981761
254,Сыдыкова улица,720001,42.8743258,74.5815383
7,Матросова улица,720001,42.8595074,74.6188967
1А,Матросова улица,720001,42.8627261,74.6221010
26,Усенбаева Алымкула улица,792001,42.8676585,74.6126360
95,Боконбаева улица,792002,42.8670299,74.6106337
1A,Шабдан Баатыра улица,720000,42.8617040,74.6350086
100,Турусбекова улица,720001,42.8791816,74.5847309
