House number,Street name,Postal code,Latitude,Longitude
158,улица Карасаева,722200,42.4837598,78.4042525
44,Асаналиева улица,722200,42.4905703,78.4068777
170,Shapak Baatyr,722200,42.4776238,78.3845295
46,Rostovskay,722200,42.4866618,78.3682879
140,Стаханова,722200,42.4783812,78.3818126
144,Алыбакова улица,722200,42.4920761,78.3950620
4,Кыдыр Аке улица,722200,42.5042991,78.3864089
166,Жамансариева улица,722200,42.4897333,78.3912141
28/26,Гагарина улица,722209,42.4939653,78.4013221
135,Абдрахманова Ю. улица,722200,42.4978869,78.3885898
135,Абдрахманова Ю. улица,722200,42.4979331,78.3885271
139,Абдрахманова Ю. улица,722200,42.4991628,78.3869059
137,Абдрахманова Ю. улица,722200,42.4986419,78.3876334
12,Манаса улица,720001,42.4864972,78.3833607
22,Гагарина улица,722200,42.4905021,78.3958218
63,Айни улица,722200,42.4880077,78.4036587
263/31,Токтогула улица,722200,42.4936960,78.3962584
90,Токтогула улица,722203,42.4840092,78.3807079
105 A,Пржевальского улица,722200,42.4983306,78.3832911
54,Гебзе улица,722200,42.4842224,78.4104811
333,Абдрахманова Ю. улица,722200,42.4919716,78.3956953
219,Алыбакова,722200,42.4985094,78.3865262
28,Гагарина улица,722200,42.4935619,78.4007427
165,Алыбакова улица,722200,42.4904145,78.3964390
110a,Гебзе улица,722200,42.4893589,78.4036664
135,Абдрахманова Ю. улица,722200,42.4978548,78.3886421
102,Токтогула улица,722200,42.4877281,78.3882753
46A,Асаналиева улица,722200,42.4909473,78.4070087
3а,Жусаева (Горького) улица,722200,42.4768746,78.4099635
46A,Асаналиева улица,722200,42.4909198,78.4070235
135А,Кутманалиева улица,722200,42.4924094,78.4058289
148,Жусаева (Горького) улица,722200,42.4890278,78.3967152
16,Тыныстанова улица,722200,42.4891356,78.3967082
81a,Абдрахманова Ю. улица,722200,42.4866109,78.4033540
273,Токтогула,722360,42.4955832,78.3988653
128,Алыбакова улица,722200,42.4873736,78.4005072
207,улица Карасаева,722200,42.4851556,78.4053578
207,улица Карасаева,722200,42.4854302,78.4057965
73,Абдрахманова Ю. улица,722200,42.4851916,78.4053842
113,Гебзе улица,722200,42.4954925,78.3946798
83,Jusaev St,722200,42.4846997,78.4012369
224/2,Zhusayeva,722200,42.4921237,78.3923035
150,Карасаева улица,722200,42.4835650,78.4035665
158,улица Карасаева,722200,42.4837088,78.4038524
104,Московская улица,722200,42.4882335,78.4083951
107,Пржевальского улица,722200,42.4986028,78.3836552
1,С. Есенин,722203,42.4833287,78.3850429
81a,Абдрахманова Ю. улица,722200,42.4866075,78.4033419
16,Тыныстанова улица,722200,42.4890599,78.3967976
150,Карасаева улица,722200,42.4834822,78.4034264
150,улица Карасаева,722200,42.4833981,78.4035317
28,Гагарина улица,722200,42.4938498,78.4011707
201,Токтогула улица,722360,42.4848897,78.3824341
52,Токтогула улица,722360,42.4834977,78.3759428
10,Токтогула улица,722200,42.4829756,78.3710313
121,Кирова улица,722200,42.4871155,78.4136989
273,Токтогула,722360,42.4956099,78.3988928
81,Абдрахманова Ю. улица,722200,42.4865243,78.4034675
135А,Кутманалиева улица,722200,42.4924192,78.4058179
