House number,Street name,Postal code,Latitude,Longitude
1107,Boulevard Felipe Pescador,34080,24.0362566,-104.6511410
400,Colegio Durango,34047,24.0304777,-104.6870818
1001,Boulevard Felipe Pescador,34000,24.0353452,-104.6552926
1909,H. Colegio Militar,34270,24.0274039,-104.6457293
233,5 de Febrero,34000,24.0244970,-104.6620890
811,20 de Noviembre,34000,24.0241796,-104.6718764
214,Constitución,34000,24.0250053,-104.6707931
305,Boulevard Francisco Villa,34207,24.0412926,-104.6307010
502,Licenciado Armando del Castillo Franco,34050,24.0353938,-104.6836010
202,H. Colegio Militar,34240,24.0293746,-104.6427249
326,Avenida 20 de Noviembre,34000,24.0264090,-104.6590507
400,Avenida 20 de Noviembre,34000,24.0265442,-104.6582119
1107,Boulevard Felipe Pescador,34200,24.0350063,-104.6523830
100,Magnolia,34220,24.0440501,-104.6305280
1300,Francisco Villa,34200,24.0412907,-104.6295257
1401,Boulevard Felipe Pescador,34080,24.0358349,-104.6511329
216,Constitución,34000,24.0248540,-104.6708020
906,20 de Noviembre,34000,24.0244354,-104.6729173
165,Bruno Martínez,34000,24.0280185,-104.6718442
1902,Boulevard Felipe Pescador,34240,24.0328369,-104.6406641
2507,Francisco de Ibarra,34080,24.0321852,-104.6407472
109,H. Colegio Militar,34240,24.0322428,-104.6396462
1900,Boulevard Felipe Pescador,34240,24.0327732,-104.6401142
100,Magnolia,34200,24.0421596,-104.6298500
200,Boulevard Francisco Villa,34207,24.0406757,-104.6312642
300,Boulevard Francisco Villa,34200,24.0411123,-104.6307179
99,5 de Mayo,34070,24.0309148,-104.6827675
501,4 de Octubre,34302,23.9590491,-104.6633047
809,Avenida 20 de Noviembre,34000,24.0241909,-104.6717180
208,H. Colegio Militar,34240,24.0290254,-104.6431635
319,Boulevard Francisco Villa,34230,24.0415060,-104.6304045
100,Magnolia,34220,24.0422752,-104.6303336
200,Patoni,34000,24.0261812,-104.6668773
203,Negrete,34000,24.0262571,-104.6672338
110,Zaragoza,34000,24.0264675,-104.6724009
1902,Avenida 20 de Noviembre,34270,24.0289006,-104.6463768
500,Reforma,34279,24.0249960,-104.6513470
108,Belisario Dominguez,34138,24.0201989,-104.6723558
S/N,Colonia El Mirador,34045,24.0321813,-104.7030501
1606,Fanny Anitua,34076,24.0253766,-104.6811201
1474,Fanny Anitua,34076,24.0242732,-104.6797936
100,Ana Leyva,34080,24.0290279,-104.6478681
201-B SUR,Juarez,34000,24.0255668,-104.6699124
309,Calle Baz,34139,24.0158964,-104.6650369
315.A,gomez farias,34139,24.0168292,-104.6686338
209,Laureano Roncal,34000,24.0273630,-104.6579620
103,Isauro Venzor,34260,24.0213532,-104.6508850
500,Gabino Barreda,34000,24.0298221,-104.6700558
957,Aquiles Serdan,34000,24.0268743,-104.6735813
2700,Fanny Anitua,34076,24.0258349,-104.6815616
100,Predio Canoas,34107,24.0302202,-104.6846187
304,González De la Vega,34137,24.0114757,-104.6728725
120-B,Victoria,34000,24.0276087,-104.6695804
100,Mision de Santa Teressa,34166,24.0542723,-104.6309956
200,Boulevard Francisco Villa,34200,24.0409724,-104.6319614
539,Regato,34000,24.0211518,-104.6572582
1136,Isauro Venzor,34000,24.0216558,-104.6528863
105,Magnolia,34200,24.0434878,-104.6312851
1003,Negrete,34000,24.0252977,-104.6738899
