House number,Street name,Postal code,Latitude,Longitude
1,Спортивная улица,3200,46.8450090,29.4684721
3/1,улица Ермакова,3200,46.8426045,29.4726441
57,улица Суворова,3200,46.8226828,29.4838553
20a,улица Ленина,3200,46.8227655,29.4819819
25a,улица Ленина,3200,46.8222979,29.4859920
3,улица Чайковского,3200,46.8211959,29.4556560
5,улица Бендерского Восстания,3200,46.8329229,29.4659870
28,улица Суворова,3200,46.8234960,29.4832863
38,Советская улица,3200,46.8230322,29.4815557
52,улица Кирова,3200,46.8242802,29.4760571
22,улица Ленина,3200,46.8220141,29.4846691
2а,улица Полоза,3200,46.8282155,29.4527052
1,улица Тургенева,3200,46.8203371,29.4640927
26,улица Пушкина,3200,46.8249572,29.4745582
90,улица Калинина,3200,46.8185285,29.4775772
61,улица Шестакова,3200,46.8186434,29.4854482
2,Садовая улица,3200,46.8193936,29.4868510
42,Московская улица,3200,46.8195571,29.4868145
121,улица Ткаченко,3200,46.8166667,29.4898368
6а,Молдавская улица,3200,46.8167979,29.4898315
23,улица Пирогова,3200,46.8103276,29.4627885
163,улица Суворова,3200,46.8084047,29.4807207
15,улица Энгельса,3200,46.8466671,29.4806275
216,Кишинёвская улица,3200,46.8467823,29.4546761
7,улица Глядковской,25100,46.8364885,29.4725376
43,улица Котовского,3200,46.8262630,29.4875630
11,улица Калинина,3200,46.8280212,29.4827147
30,улица Суворова,3200,46.8221077,29.4828550
17,улица Ленина,3200,46.8236286,29.4819276
181,ул. Коммунистическая,3200,46.8098922,29.4710801
12,улица Академика Фёдорова,3200,46.8250648,29.4707887
17,улица Калинина,3200,46.8262155,29.4814708
22,улица Ленина,3200,46.8222395,29.4837665
7,улица Суворова,3200,46.8277839,29.4864783
22,улица Гагарина,3200,46.8247698,29.4875294
47,Коммунистическая улица,3200,46.8261784,29.4800453
10/1,улица Ермакова,3200,46.8437335,29.4692802
10,улица Победы,3200,46.8025304,29.4667287
6,ул. Петровского,3200,46.8407970,29.4717119
12/3,Индустриальная улица,3200,46.7883322,29.4881218
5,ул. Академика Фёдорова,3200,46.8226695,29.4695015
3,улица Победы,3200,46.8036433,29.4658727
20,улица Ленина,3200,46.8226923,29.4825487
8,Советская ул.,3200,46.8274950,29.4831984
8,улица Ленина,3200,46.8252527,29.4746977
83,ул. Кирова,3200,46.8221265,29.4758145
35,ул. Кавриаго,3200,46.8170635,29.4832676
18,Московская улица,3200,46.8219785,29.4779800
17,улица Ленина,3200,46.8237150,29.4820431
208,Коммунистическая улица,3200,46.8078393,29.4672465
50,улица Калинина,3200,46.8236835,29.4793170
29,улица Сергея Лазо,3200,46.8242053,29.4836654
35,Индустриальная улица,3200,46.7982621,29.4884651
78,Коммунистическая улица,3200,46.8235189,29.4777770
93,Коммунистическая ул.,3200,46.8207080,29.4771991
52/2,улица Кирова,3200,46.8236999,29.4759153
6а,ул. 50 лет ВЛКСМ,3200,46.8291003,29.4579481
6а,улица 50 лет ВЛКСМ,3200,46.8289839,29.4576337
1,Комсомольская улица,3200,46.8186976,29.4695374
13,улица Ленина,3200,46.8243214,29.4788294
31/1,улица 40 лет Победы,3200,46.8518020,29.4598222
28,Ленинградская улица,3200,46.8474817,29.4671113
37,улица Емилиана Букова,3200,46.7908005,29.4949153
39,улица Емилиана Букова,3200,46.7906995,29.4949760
2,улица Павлика Морозова,3200,46.8292860,29.4560422
11,улица Бендерского Восстания,3200,46.8251821,29.4627647
2,переулок Разина,3200,46.8084326,29.4808577
5,улица Кавриаго,3200,46.8192212,29.4738070
7,улица Кавриаго,3200,46.8190329,29.4746772
161,улица Суворова,3200,46.8087326,29.4806879
130а,улица Бендерского Восстания,3200,46.8214249,29.4604648
57/1,улица Суворова,3200,46.8231603,29.4839382
57,улица Суворова,3200,46.8229256,29.4838277
38,Советская улица,3200,46.8231302,29.4812342
5,Спортивная улица,3200,46.8446802,29.4671481
26,улица Дружбы,3200,46.8038326,29.4717218
29,Советская улица,3200,46.8251708,29.4830275
24,улица Ленина,3200,46.8218392,29.4853731
130а,улица Бендерского Восстания,3200,46.8213475,29.4606544
1,улица Победы,3200,46.8038838,29.4653353
13,улица Старого,3200,46.8217718,29.4589193
12,Молдавская улица,3200,46.8166689,29.4915389
23,улица Шевченко,3200,46.8166292,29.4914149
10,Советская улица,3200,46.8270365,29.4830274
29,Советская улица,3200,46.8259771,29.4835450
43,улица Суворова,3200,46.8252559,29.4850387
43,улица Суворова,3200,46.8250784,29.4849206
10,улица Энгельса,3200,46.8460519,29.4818027
12,улица Ленина,3200,46.8242204,29.4774767
10,Индустриальная улица,3200,46.7930922,29.4899313
21,улица Калинина,3200,46.8254630,29.4810733
7/4,улица Победы,3200,46.8037917,29.4679641
35,улица Тамары Кручок,3200,46.8047836,29.4857996
31,улица Титова,3200,46.8390931,29.4669549
33,улица Титова,3200,46.8390730,29.4670656
7,1-й переулок Петровского,3200,46.8395141,29.4674955
9,1-й переулок Петровского,3200,46.8394339,29.4673360
54,улица Некрасова,3200,46.8128486,29.4714285
56,улица Некрасова,3200,46.8128166,29.4715709
"56 кв.3,4",улица Бендерского Восстания,3200,46.8269116,29.4628967
"56 кв.1,2",улица Бендерского Восстания,3200,46.8270225,29.4629563
170,Коммунистическая улица,3200,46.8119935,29.4717426
172,Коммунистическая улица,3200,46.8118598,29.4716254
167,Коммунистическая улица,3200,46.8116659,29.4720585
36б,улица Дружбы,3200,46.8017138,29.4745886
23,улица Пирогова,3200,46.8105109,29.4630228
28,Южная улица,3200,46.7881205,29.4775838
187,Коммунистическая улица,3200,46.8066165,29.4676432
3,улица Павлика Морозова,3200,46.8299275,29.4560723
160,Коммунистическая улица,3200,46.8131018,29.4724343
5,Треугольный переулок,3200,46.8239754,29.4643637
3,Треугольный переулок,3200,46.8239240,29.4645449
1-а,Комсомольская улица,3200,46.8220578,29.4685596
11,улица Космонавтов,3200,46.8032648,29.4724657
3,Бельцкая улица,3200,46.8380153,29.4661022
29,Советская улица,3200,46.8247420,29.4828828
22,улица Ленина,3200,46.8222228,29.4839377
11,улица Ленина,3200,46.8227768,29.4823157
22,Панина,3200,46.8433092,29.4841363
17,улица Калинина,3200,46.8265171,29.4815914
12а,Индустриальная улица,3200,46.7858203,29.4882774
54,улица Дзержинского,3200,46.8197435,29.4702360
17,улица Ленина,3200,46.8236879,29.4816155
17,улица Ленина,3200,46.8235832,29.4818542
28,улица Калинина,3200,46.8271613,29.4813451
4А,улица Дзержинского,3200,46.8285290,29.4743407
29,Советская улица,3200,46.8254946,29.4832150
60,улица Калинина,3200,46.8216820,29.4789571
34,Советская улица,3200,46.8256133,29.4828183
21,улица Ленина,3200,46.8224878,29.4843599
12,улица Котовского,3200,46.8271289,29.4874851
34,улица Суворова,3200,46.8218704,29.4828282
20,улица Ленина,3200,46.8228191,29.4822054
20,улица Ленина,3200,46.8228463,29.4820894
3,улица Ермакова,3200,46.8429402,29.4742258
7а,улица 50 лет ВЛКСМ,3200,46.8288070,29.4563296
17,Железнодорожная улица,3200,46.8273719,29.4607810
2а,улица Чехова,3200,46.8197195,29.4604948
65,улица Котовского,3200,46.8234610,29.4861439
22,улица Ленина,3200,46.8225684,29.4829403
2А,улица Тимирязева,3200,46.7849268,29.4835971
3,улица Дружбы,3200,46.8043813,29.4739490
9,Первомайская улица,3200,46.8157858,29.4721943
7,Первомайская улица,3200,46.8160692,29.4717140
96,улица Кирова,3200,46.8162181,29.4725742
91а,улица Пушкина,3200,46.8163745,29.4721952
89,улица Пушкина,3200,46.8166978,29.4715891
91,улица Пушкина,3200,46.8162952,29.4713997
10,улица Горького,3200,46.8170425,29.4721039
4,улица Горького,3200,46.8174246,29.4707128
5,Первомайская улица,3200,46.8166798,29.4703481
71,улица Дзержинского,3200,46.8170141,29.4696747
29,улица Космонавтов,3200,46.8004522,29.4715906
37,улица Космонавтов,3200,46.8003292,29.4742138
27,улица Космонавтов,3200,46.8004849,29.4709508
39,улица Космонавтов,3200,46.8003034,29.4748394
35,улица Космонавтов,3200,46.8003694,29.4735712
209,Коммунистическая улица,3200,46.8010987,29.4620637
33,улица Космонавтов,3200,46.8011544,29.4726534
31,улица Космонавтов,3200,46.8003134,29.4725791
2а,улица Победы,3200,46.8036616,29.4645680
2,Спортивная улица,3200,46.8453357,29.4672430
26а,улица Дружбы,3200,46.8024444,29.4719120
26,улица Дружбы,3200,46.8030478,29.4718191
