House number,Street name,Postal code,Latitude,Longitude
143,Șoseaua Hâncești,MD-2070,46.9926710,28.7900270
8,Strada Habad Liubavici,MD-2005,47.0229507,28.8423855
10,Strada Alexandru Botezatu,MD-2005,47.0346427,28.8437908
151,Șoseaua Hâncești,MD-2070,46.9919249,28.7869378
152,Bulevardul Ștefan cel Mare și Sfânt,MD-2012,47.0280410,28.8296509
134,Bulevardul Ștefan cel Mare și Sfânt,MD-2012,47.0229802,28.8353564
134,Strada Vlaicu Pârcălab,MD-2012,47.0231792,28.8357131
6,Bulevardul Moscova,MD-2068,47.0470380,28.8633440
6,Bulevardul Moscova,MD-2068,47.0474054,28.8629584
132,Bulevardul Ștefan cel Mare și Sfânt,MD-2012,47.0225680,28.8358713
78,Strada Ion Creangă,MD-2064,47.0277343,28.7941386
100,Strada Mitropolit Dosoftei,MD-2012,47.0278638,28.8334908
23/4,Strada Alba Iulia,MD-2051,47.0349403,28.7757654
54,Strada Gheorghe Asachi,MD-2028,47.0000780,28.8208715
148,Bulevardul Ștefan cel Mare și Sfânt,MD-2012,47.0260628,28.8307184
41,Strada Armenească,MD-2012,47.0180641,28.8366338
269,Strada Grădina Botanică,MD-2002,46.9806376,28.9019084
103,Strada Alexei Mateevici,MD-2009,47.0217922,28.8190429
131,Bulevardul Ștefan cel Mare și Sfânt,MD-2004,47.0301313,28.8235648
6,Strada Vlaicu Pârcălab,MD-2009,47.0164119,28.8268335
55,Strada Mihai Eminescu,MD-2012,47.0232760,28.8381956
75,Strada Vlaicu Pârcălab,MD-2012,47.0247515,28.8375383
5,Bulevardul Grigore Vieru,MD-2005,47.0298239,28.8394428
41,Strada Mitropolit Petru Movilă,MD-2004,47.0330094,28.8260603
44,Bulevardul Dacia,MD-2062,46.9775718,28.8686224
44/6,Bulevardul Dacia,MD-2062,46.9781089,28.8677586
118/1,Strada Burebista,MD-2062,46.9790177,28.8716035
28/4,Bulevardul Dacia,MD-2060,46.9844681,28.8588574
2/4,Strada Lech Kaczynski,MD-2028,47.0011989,28.8130940
47/6,Bulevardul Dacia,MD-2062,46.9795022,28.8676360
13,Strada Petricani,MD-2059,47.0423085,28.8362363
34,Bulevardul Dacia,MD-2060,46.9821430,28.8619611
36/1,Strada Drumul Viilor,MD-2021,47.0028378,28.8074955
26,Strada Aleksandr Pușkin,MD-2012,47.0230671,28.8333280
5,Bulevardul Grigore Vieru,MD-2005,47.0296368,28.8391630
35,Bulevardul Dacia,MD-2060,46.9843005,28.8613505
6,Bulevardul Moscova,MD-2068,47.0472817,28.8636202
139,Bulevardul Decebal,MD-2060,46.9880801,28.8582992
12,Strada Calea Ieșilor,MD-2069,47.0411590,28.7989987
62A,Șoseaua Hâncești,MD-2028,47.0020700,28.8144603
4,Bulevardul Dacia,MD-2043,46.9921844,28.8480361
20,Bulevardul Dacia,MD-2043,46.9873165,28.8547879
13/2,Bulevardul Cuza-Vodă,MD-2060,46.9833462,28.8629176
21/1,Bulevardul Dacia,MD-2038,46.9872431,28.8570956
9/3,Bulevardul Cuza Vodă,MD-2060,46.9844856,28.8671449
8,Strada Vasile Alecsandri,MD-2009,47.0088795,28.8281771
53A,Șoseaua Hâncești,MD-2028,47.0027875,28.8173389
118,Strada Mitropolit Dosoftei,MD-2004,47.0304976,28.8281669
40,Strada Serghei Lazo,MD-2004,47.0301212,28.8265166
3,Bulevardul Ștefan cel Mare și Sfânt,MD-2001,47.0141403,28.8472265
1/1,Strada Alba-Iulia,MD-2051,47.0268229,28.7917549
20,Bulevardul Grigore Vieru,MD-2005,47.0320505,28.8439095
19/1,Strada Romană,MD-2005,47.0316608,28.8442293
40/1,Strada Albișoara,MD-2005,47.0332918,28.8464628
84,Șoseaua Hâncești,MD-2021,46.9990420,28.8041772
2/2,Strada Lech Kaczynski,MD-2028,47.0005760,28.8118433
2/3,Strada Lech Kaczynski,MD-2028,47.0009525,28.8125905
2/1,Strada Lech Kaczynski,MD-2028,47.0006161,28.8110070
2/1,Strada Lech Kaczynski,MD-2028,47.0005372,28.8110980
2/1,Strada Lech Kaczynski,MD-2028,47.0007676,28.8108607
13/1,Strada Academiei,MD-2028,47.0043053,28.8127123
7,Strada Academiei,MD-2028,47.0023795,28.8149715
5,Strada Academiei,MD-2028,47.0013151,28.8156299
65,Bulevardul Ștefan cel Mare și Sfânt,MD-2001,47.0160804,28.8446100
35,Strada Alexandr Pușkin,MD-2012,47.0268946,28.8380609
37,Bulevardul Dacia,MD-2060,46.9841587,28.8618540
35,Bulevardul Dacia,MD-2060,46.9848363,28.8606041
