House number,Street name,Postal code,Latitude,Longitude
84,Strada Independenței,MD-4601,48.1711069,27.3026288
79,Strada Independenței,MD-4601,48.1680849,27.3086253
1,Strada Independenței,MD-4601,48.1676185,27.3082466
79,Strada Independenței,MD-4601,48.1685027,27.3081391
2A,Strada 31 August 1989,MD-4601,48.1674200,27.3072600
13,str. Șos. Bucovinei,MD-4601,48.1797050,27.3027877
5,Strada Ștefan Vodă,MD-4601,48.1712096,27.2980545
81/1,Strada Nicolae Moroșanu,MD-4601,48.1728271,27.2800574
77A,Strada Independenței,MD-4601,48.1686575,27.3075002
8/B,Strada 31 August 1989,MD-4601,48.1670278,27.3066343
7/1,Strada Mihai Eminescu,4601,48.1698872,27.3083685
67A,Strada Independenței,MD-4601,48.1701726,27.3054151
10,Strada 31 August 1989,MD-4601,48.1672271,27.3069198
115,Strada Florar,MD-4601,48.1801479,27.3029199
16,Strada Alexandr Pușkin,4601,48.1693952,27.3027158
1A,Strada Mihai Eminescu,MD-4601,48.1691940,27.3069329
82,Strada Independenței,MD-4601,48.1713097,27.3026821
228,Strada Independenței,MD-4601,48.1618958,27.3252903
66,Strada 31 August 1989,4601,48.1669211,27.3067427
106/59,Strada Independenței,MD-4601,48.1685583,27.3067448
26,Strada Șos. Bucovinei,MD-4601,48.1820726,27.2973585
1,Strada Gheorghe Asachi,MD-4601,48.1817707,27.2959781
3,Strada N. Testimițianu,MD-4601,48.1821370,27.2967363
1,Strada N. Testimițianu,MD-4601,48.1822939,27.2970462
60,Strada Independenței,MD-4601,48.1742110,27.2977445
63,Strada Independenței,MD-4601,48.1718259,27.3014191
65,Strada Alexandru cel Bun,MD-4601,48.1713681,27.3018546
71,Strada Independenței,MD-4601,48.1697614,27.3064625
84,Strada Independenței,MD-4601,48.1709330,27.3028161
58-59,Strada Iurii Gagarin,4601,48.1728414,27.2834122
29,Strada Șoseaua Bucovinei,MD-4601,48.1784253,27.3056292
81,Strada Independenței,MD-4601,48.1679951,27.3095758
35/3,Strada Șoseaua Bucovinei,MD-4601,48.1781278,27.3074652
