House number,Street name,Postal code,Latitude,Longitude
4,Avenue Al Arz شارع الأرز,10100,33.9639919,-6.8701924
8,Avenue Annakhil شارع النخيل,10000,33.9622649,-6.8771300
78,Avenue Fal Ould Oumeir شارع فال ولد عمير,10080,33.9962816,-6.8481761
44,Avenue Fal Ould Oumeir,10090,33.9990146,-6.8495212
14,Avenue 16 Novembre شارع 16 نوفمبر,10080,33.9913771,-6.8488065
7,Rue Zankat Madnine,10000,34.0186383,-6.8333102
64,Rue Oum Errabia زنقة أم الربيع,10100,33.9967650,-6.8467668
20,Avenue Atlas شارع الأطلس,10000,33.9965337,-6.8474374
45,Avenue Moulay Ismail شارع مولاي اسماعيل,10000,34.0206863,-6.8271917
45,Avenue Moulay Ismail شارع مولاي اسماعيل,10020,34.0209889,-6.8267416
11,Rue Al Marj زنقة المرج,10000,34.0195429,-6.8310709
17,Avenue Abou Faris Al Marini شارع أبو فارس المريني,10000,34.0163793,-6.8319284
4,Impasse Kaid Bargach Médina,10030,34.0224986,-6.8380390
4,Rue Ibn Hajar,10090,34.0085482,-6.8511786
6,Avenue Assanaoubar شارع الصنوبر,10000,33.9579230,-6.8794404
34,Rue Bazo,10030,34.0306870,-6.8354433
15,Rue Moulay Abdalaziz زنقة مولاي عبد العزيز,10000,34.0141694,-6.8313865
64,Avenue des Nations Unies شارع الأمم المتحدة,10080,33.9914532,-6.8467235
7,Avenue Patrice Lumumba,10000,34.0210250,-6.8315275
3,Avenue Allal Ben Abdellah شارع علال بن عبد الله,10000,34.0215779,-6.8363628
15,Avenue de Michlifen شارع مشليفن,10080,33.9933940,-6.8478351
32,Avenue Omar Ibn Khattab شارع عمر بن الخطاب,10080,34.0023082,-6.8459085
52,Avenue Omar Ibn Khattab شارع عمر بن الخطاب,10090,33.9994604,-6.8445409
8,Avenue Oqba,10000,34.0101104,-6.8436866
33,Avenue Oqba,10000,34.0082884,-6.8445817
16,Rue Casablanca زنقة الدار البيضاء,10000,34.0246476,-6.8299740
32,Avenue Al Mouqaouama شارع المقاومة,10040,34.0229167,-6.8462022
35,Avenue Abderrahim Bouabid شارع عبد الرحيم بوعبيد,10100,33.9664590,-6.8689394
18,Avenue Mehdi Ben Barka,10000,33.9786059,-6.8368404
155,Avenue Mohammed VI شارع محمد السادس,10000,33.9854203,-6.8282520
16,Avenue Ibn Rochd شارع ابن رشد,10000,33.9877718,-6.8530394
4,Rue Amir Abdelkader زنقة الأمير عبد القادر,10000,33.9900489,-6.8541423
62,Avenue Oqba شارع عقبة,10000,34.0031697,-6.8496954
32,Avenue Maghreb Arabe,10040,34.0203552,-6.8446021
5,Rue Zagora Hassan,10000,34.0206772,-6.8243041
19,Avenue d'Alger شارع الجزائر,10000,34.0174608,-6.8258189
