House number,Street name,Postal code,Latitude,Longitude
34,Rue Caid Ahmed Riffi,90060,35.7780642,-5.8074454
44,Rue Touahine Ben Hachemi,90000,35.7844741,-5.8116995
8,Rue Siaghine,90000,35.7851172,-5.8124517
56,Rue de la Liberté شارع الحرية,90000,35.7826008,-5.8129687
1,Avenue Msallah,90000,35.7821230,-5.8151345
24,Rue de Fès,90000,35.7792864,-5.8132455
37,Rue de la Kasbah,90000,35.7876603,-5.8147619
54,Rue d'Angleterre,90000,35.7817338,-5.8164441
52,Rue d'Angleterre,90000,35.7822079,-5.8158414
31,Rue d'Angleterre,90000,35.7821399,-5.8158263
64,Rue Ibn Batouta,90030,35.7872155,-5.8135537
16,Rue Ben Abdessadak,90000,35.7870906,-5.8114870
2,Rue Antaki,90000,35.7809993,-5.8063425
33,Hay nasr rue 17,90000,35.7543257,-5.8301675
28,Avenue Moulay Slimane,90000,35.7627892,-5.8129602
415_416,Avenue Abou El Kacem Chrif Sebti,90000,35.7648686,-5.8232590
6,Rue Mohamed Bergach,90000,35.7873544,-5.8101049
17,Rue Sidi Khalil,90030,35.7878939,-5.8124122
16,Rue Mokhtar Ahardane,90030,35.7853014,-5.8097734
29,Avenue de Fes,91000,35.7791049,-5.8133305
20A,Rue Tercio de Molina,90000,35.7722797,-5.8106830
2,Avenue du Prince Héritier,90000,35.7805678,-5.8126490
7,Avenue Yousef Bnou Tachafine,90000,35.7788382,-5.8025471
25,Rue du Mexique,90000,35.7802788,-5.8139554
19,Rue Riad Sultan,90030,35.7890074,-5.8136072
111,Boulevard Prince Heritier,90000,35.7748656,-5.8101820
16,Avenue Koweit,90000,35.7377338,-5.8085571
63,Avenue Abou El Kacem Chrif Sebti,90000,35.7650061,-5.8235157
30,Avenue Allal El Fassi,90000,35.7619903,-5.7998232
153,Avenue Mohamed V,90000,35.7748294,-5.7980371
2,Avenue Moussa Bnou Noussair,90000,35.7782187,-5.8098772
Bloc 1 rdc 1,"Avenue Mohamed V, Bahia Azhar",90000,35.7758175,-5.7856324
10,Avenue Mohammed VI,90000,35.7792287,-5.8020961
11,Rue Riad Sultan,90030,35.7889455,-5.8134820
11,Rue Riad Sultan,90030,35.7889991,-5.8134841
11,Rue Riad Sultan,90030,35.7889760,-5.8134831
99,Avenue Sidi Mohamed Ben Abdellah,90000,35.7801653,-5.8206224
9-11,Avenue Belgique,90000,35.7805880,-5.8135550
8,Rue des Postes,90000,35.7853135,-5.8099199
33,Rue Yemen,90000,35.7482557,-5.8017203
26,Avenue Al Quds شارع القدس,90000,35.7501370,-5.7993912
15,Rue Mauritanie,90000,35.7447193,-5.8017768
77,Avenue Aicha Al-Moussafir,90000,35.7488173,-5.8086600
44,Avenue Moulay Ali Cherif,90000,35.7525720,-5.8070116
78,Avenue Moulay Ali Cherif,90000,35.7515983,-5.8020735
34,Avenue Abdeslam Ben Bouhout,90000,35.7555289,-5.7948987
56,Avenue R'gaia,90000,35.7572738,-5.7965159
115,Boulevard Tarik Ibn Ziad شارع طارق بن زياد,90000,35.7660064,-5.8049135
17,Avenue Moulay Ali Cherif,90000,35.7539222,-5.8100232
127,Boulevard Fatima Zahra,90002,35.7554299,-5.8020759
25,Rue Omar El Mokhtar,90000,35.7591814,-5.8048347
42,Boulevard Tarik Ibn Ziad شارع طارق بن زياد,90000,35.7622996,-5.8034792
38,Rue de la Province,90000,35.7643841,-5.8082636
51,Rue Mansour Ben Abi Amir,90000,35.7625622,-5.8065548
26,Rue Oued Ouargha شارع واد ورغة,90000,35.7518181,-5.8116118
42,Avenue Achouhada,90000,35.7555978,-5.8166095
152,Boulevard Moulay Soulayman,90026,35.7591748,-5.8128161
35,Rue Ai Benbtaher Abih,90000,35.7582633,-5.8147929
29,Rue My Tahar Ben Abdelkrim Boughaz,90000,35.7613621,-5.8172393
26,Boulevard Royaume d'Arabie Saoudite,90000,35.7421352,-5.8125651
49,Rue El Hind,90000,35.7450738,-5.8094117
78,Avenue El Hoceima,90000,35.7519320,-5.8318449
41,Rue Malaisie,90000,35.7516884,-5.8184929
37,Rue Ibn Al Kadi زنقة ابن القاضي,90000,35.7636391,-5.7940750
3,Route de Tétouan,90000,35.7632332,-5.7958386
118,Boulevard Mohamed V شارع محمد الخامس,90000,35.7757811,-5.8015618
147,Boulevard de Fés,90000,35.7705717,-5.8141986
20,Avenue Moulay Abdelaziz,90000,35.7622384,-5.8194224
96,Avenue Ibn Tachfine,90000,35.7710518,-5.8031016
24,Avenue de la Marche Verte شارع المسيرة الخضراء,90000,35.7725945,-5.8113934
31,Boulevard Moulay Youssef,90000,35.7710050,-5.8113856
18,Rue Tehran,90000,35.7760393,-5.8080033
69,Avenue de Fès,90000,35.7760357,-5.8140097
15,Rue Allal Ben Abdallah,90000,35.7781229,-5.8096733
48,Boulevard Pasteur,90000,35.7801160,-5.8100992
45,Avenue Sidi Mohamed Ben Abdellah,90000,35.7743237,-5.8175644
24,Avenue Docteur Faraj,90000,35.7753514,-5.8201833
136,Avenue Haroun Errachid,90000,35.7730008,-5.8218784
46,Avenue Sidi Amar,90000,35.7790739,-5.8308461
36,Avenue d'Anfa,90000,35.7738241,-5.8327767
8,Boulevard Moulay Rachid شارع مولاي رشيد,90000,35.7730293,-5.8296408
58,Avenue Moulay Hafid Ibn Abdelhafid,90000,35.7670180,-5.8213004
23,Avenue Haroun Errachid,90000,35.7689049,-5.8171629
73,Avenue Haroun Errachid,90000,35.7697558,-5.8211379
43,Avenue d'Anfa,90000,35.7701548,-5.8242214
21,Boulevard Faisal Ibn Abdelaziz,90000,35.7628519,-5.8249922
30,Avenue Ben Abi Zarae,90000,35.7599922,-5.8309950
134,Rue Ibn Ardoune,90000,35.7628179,-5.8320191
41,Rue des Cedres,90000,35.7577169,-5.8329304
16,Rue Ibn Ardoune,90000,35.7650926,-5.8279345
79,Rue des Pins,90000,35.7574911,-5.8369439
55,Avenue de Genévriers,90000,35.7556071,-5.8344612
87,Rue Imam Mouslim زنقة الإمام مسلم,90005,35.7854093,-5.8293717
114,Boulevard Moulay Rachid شارع مولاي رشيد,90000,35.7699613,-5.8319430
