House number,Street name,Postal code,Latitude,Longitude
9,Rua José Azevedo (Peter),9900-027,38.5296084,-28.6267605
9,Rua Serpa Pinto,9900-095,38.5377891,-28.6256106
30,Rua Vasco da Gama,9900-017,38.5305036,-28.6269447
26,Rua Serpa Pinto,9900-095,38.5388474,-28.6252048
4,Praça Infante Dom Henrique,9900-016,38.5322800,-28.6267393
3,Rua José Fialho,9900-079,38.5424351,-28.6221112
17,Rua Conselheiro Miguel da Silveira,9900-114,38.5396485,-28.6239251
4,Rua Almeida Garrett,9900-075,38.5416878,-28.6230468
5-A,Rua da Areinha Velha,9900-011,38.5263672,-28.6275885
31,Rua Dom Pedro IV,9900-111,38.5395803,-28.6259267
19,Rua Conselheiro Medeiros,9900-144,38.5347509,-28.6269630
22,Rua Serpa Pinto,9900-095,38.5385365,-28.6253326
9,Travessa de São Francisco,9900-124,38.5353369,-28.6276578
1RC,Rua Conde de Ávila,9900-019,38.5265380,-28.6284697
11,Largo Bispo Dom Alexandre,9900-102,38.5404645,-28.6239799
3,Largo Bispo Dom Alexandre,9900-102,38.5402482,-28.6241801
17 R/C,Rua de Serpa Pinto,9900-095,38.5383042,-28.6253261
9,Rua do Conselheiro Medeiros,9900-144,38.5336778,-28.6267411
9,Rua José Azevedo (Peter),9900-027,38.5296512,-28.6267634
22RC,Rua da Conceição,9900-080,38.5425985,-28.6237350
11A,Rua Ilha do Pico,9900-157,38.5351692,-28.6316176
1,Rua Cônsul Dabney,9900-014,38.5326248,-28.6268291
16,Praça Infante Dom Henrique,9900-016,38.5327986,-28.6267128
46,Rua de São João,9900-129,38.5393757,-28.6267712
12,Rua Conselheiro Medeiros,9900-144,38.5336018,-28.6268248
10B,Rua do Conselheiro Medeiros,9900-144,38.5333597,-28.6267403
4A,Rua do Conselheiro Medeiros,9900-144,38.5332940,-28.6267193
7,Rua Nova,9900-023,38.5264015,-28.6270764
42,Rua Vasco da Gama,9900-017,38.5311834,-28.6269043
1,Rua Advogado Graça,9900-140,38.5410852,-28.6271331
38-B 1º,Rua de São João,9900-129,38.5383706,-28.6271578
30,Rua Serpa Pinto,9900-095,38.5389879,-28.6251440
23,Rua Conselheiro Medeiros,9900-144,38.5349004,-28.6269352
31,Alameda do Barão de Roches,9900-104,38.5411404,-28.6245330
2,Rua Conselheiro Medeiros,9900-144,38.5330962,-28.6266900
11,Rua Nova,9900-023,38.5264783,-28.6270184
22,Rua da Conceição,9900-080,38.5427447,-28.6240129
9,Rua José Azevedo (Peter),9900-027,38.5297802,-28.6267857
36RC,Rua Doutor Serpa Pinto,9900-095,38.5393573,-28.6249360
4A/RC,Antiga Canada de Porto Pim,9900-038,38.5294134,-28.6329526
