House number,Street name,Postal code,Latitude,Longitude
Nr.6 Flanco,Strada Banu Mărăcine,310150,46.1851089,21.3145058
Bl. H,Piața Spitalului,310031,46.1822834,21.3109865
Raiffeisen Bank Nr.1,Strada Unirii,310123,46.1716715,21.3162852
5-7,Strada Unirii,310123,46.1714769,21.3173401
1,Strada Gheorghe Lazăr,310126,46.1697020,21.3170788
Transilvania,Strada Nicolae Bălcescu,310123,46.1702060,21.3167880
91-93,Bulevardul Revoluției,310414,46.1727378,21.3167242
1A,Strada Digului,310315,46.1745905,21.3654856
Bl. 338 Sc.B,Strada Vasile Lucaciu,310327,46.1721185,21.3473503
23,Strada Frumoasă,310261,46.1417672,21.3446291
201,Calea Radnei,310006,46.1763954,21.3625250
Nr.39 Pensiune SAN,Strada General Doda,310507,46.2033045,21.2781488
39-41,Calea Victoriei,310158,46.1903274,21.3103144
73,Bulevardul Revoluției,310130,46.1761332,21.3190095
BRD Bank Nr.97,Bulevardul Revoluției,310002,46.1718878,21.3163710
Gelateria Coandi,Strada Nicolae Bălcescu,310123,46.1702520,21.3173478
120,Calea Radnei,310267,46.1802217,21.3430097
2,Strada Mihai Eminescu,310086,46.1717566,21.3148502
2,Strada Mețianu,310099,46.1704599,21.3153779
4,Strada Mețianu,310099,46.1703410,21.3141066
1,Strada Mețianu,310099,46.1703408,21.3153681
5,Strada Mețianu,310099,46.1702147,21.3141173
17,Strada Nicolae Bălcescu,310123,46.1704567,21.3183224
124,Calea Aurel Vlaicu,310365,46.1947368,21.3022640
100,Bulevardul Revoluției,310099,46.1714362,21.3152153
4,Strada Mihai Eminescu,310086,46.1718146,21.3143865
1,Strada Mihai Eminescu,310086,46.1717405,21.3142632
4-6,Strada 9 Mai,310023,46.1732494,21.3144044
25,Strada Vezuviu,310218,46.1998692,21.3252249
Pizzeria Ornella Bloc Z22 Sc.C,Calea Aurel Vlaicu,310141,46.1928278,21.3067683
6,Strada Mircea Stănescu,310009,46.1808033,21.3198146
26,Strada Petru Rareș,310206,46.1922397,21.3312616
17,Splaiul General Gheorghe Magheru,310329,46.1722603,21.3439962
Bloc5,Strada Diogene,310257,46.1570721,21.3344912
Bloc2,Strada Diogene,310257,46.1579880,21.3327317
Bloc1,Strada Diogene,310257,46.1582984,21.3321309
Bloc4,Strada Diogene,310257,46.1573638,21.3339172
Bloc3,Strada Diogene,310257,46.1576759,21.3333191
46-48,Bulevardul Revoluției,310009,46.1798283,21.3203053
1/4,Strada Tribunul Corcheș,310485,46.2134130,21.2875618
10,Strada 9 Mai,310131,46.1764070,21.3158650
170,Strada Dunării,310486,46.2173390,21.2740260
1,Strada 9 Mai,310131,46.1739940,21.3209040
2-4,Strada 9 Mai,310022,46.1765710,21.3157490
30,Strada Dâmboviței,310443,46.1969849,21.2916873
36 B,Strada Vrancei,310315,46.1725821,21.3575724
39-41,Bulevardul Revoluției,310181,46.1798764,21.3218917
19-21,Strada Episcopiei,310023,46.1747700,21.3125370
11,Piața Avram Iancu,310099,46.1692088,21.3158502
2,Strada Cerbului,310282,46.1792728,21.3511689
133,Calea Radnei,310281,46.1789849,21.3510220
25,Bulevardul Revoluției,310174,46.1820439,21.3235547
12,Strada Crișan,310016,46.1792929,21.3179597
3,Strada Crișan,310016,46.1788790,21.3185034
Nr.6 Altex,Strada Banu Mărăcine,310150,46.1850049,21.3146163
Nr.6 Deichmann,Strada Banu Mărăcine,310150,46.1853306,21.3142761
Nr.6 Takko,Strada Banu Mărăcine,310150,46.1854346,21.3141612
MUZEUL MEMORIAL VASILE GOLDIȘ,Strada Vasile Goldiș,310090,46.1711689,21.3137269
63,Strada Pădurii,310049,46.1771295,21.2955239
288A,Calea Radnei,310318,46.1726385,21.3699588
288A,Calea Radnei,310318,46.1726139,21.3701051
288A,Calea Radnei,310318,46.1725892,21.3702435
1C,Strada Poetului,310345,46.1944658,21.3086874
1C,Strada Poetului,310345,46.1944565,21.3088993
1C,Strada Poetului,310345,46.1944211,21.3096211
9,Strada Episcopiei,310023,46.1753990,21.3149680
10,Strada Poetului,310369,46.2001494,21.3000030
214,Calea Radnei,310292,46.1778466,21.3542384
Nr.6 Dm,Strada Banu Mărăcine,310150,46.1852281,21.3143910
Nr.62 Haneflor,Strada Vrancei,310315,46.1734566,21.3536825
Nr.11/a Pensiune Mario,Strada Dorobanților,310054,46.1692415,21.3016012
2,Strada 9 Mai,310000,46.1691011,21.2867238
Nr.105A Profi City,Strada Abrud,310279,46.1773241,21.3465703
9,Bulevardul Decebal,310133,46.1731900,21.3188580
Nr. 206-218 Jysk,Calea Aurel Vlaicu,310375,46.1997724,21.2956282
45-55,Piața UTA,310400,46.1915852,21.3094941
45-55,Piața UTA,310400,46.1915993,21.3092849
2,Strada 9 Mai,310018,46.1759342,21.3171784
38,Strada Octavian Goga,310028,46.1754231,21.3097510
1-3,Strada Andrei Șaguna,310036,46.1812207,21.3097862
1 C,Strada Poetului,310345,46.1937849,21.3108397
29-31,Strada Petru Rareș,310206,46.1943620,21.3329836
162,Calea Radnei,310269,46.1790243,21.3490331
1,Piața Gării,310148,46.1879619,21.3247087
1,Piața Spitalului,310301,46.1830452,21.3099885
3,Strada Târgoviște,310001,46.1886844,21.3223264
2-10,Strada 9 Mai,310059,46.1690522,21.2866110
21,Colonia Campul Albinelor,317000,46.1994653,21.1878547
2,Strada Egalității,310189,46.1896868,21.3295394
20-22,Strada Mihail Kogălniceanu,310092,46.1670958,21.3071774
21,Strada Episcop Roman Ciorogariu,310040,46.1804493,21.3008158
109,Strada Pădurii,310040,46.1732654,21.2940044
83,Strada 9 Mai,310130,46.1733866,21.3171506
111,Strada Pădurii,310040,46.1731039,21.2939351
11,Strada Mucius Scaevola,310107,46.1641737,21.3205413
29,Strada 9 Mai,310429,46.1843738,21.3050888
3,Predeal,310377,46.1999437,21.2911827
2C,Calea Victoriei,310158,46.1838058,21.3097150
215-217,Calea Aurel Vlaicu,310375,46.2011990,21.2907899
DN 7km 553+700,DN7,317235,46.2046987,21.2069580
21,Strada Octavian Goga,310022,46.1754488,21.3114296
85,Strada Poetului,310369,46.2005752,21.2993667
83,Strada Poetului,310369,46.2004878,21.2994414
26,Strada 9 Mai,310003,46.1852912,21.3203185
5,Strada Dimitrie Bolintineanu,310176,46.1802186,21.3257071
2,Strada Desseanu,310087,46.1734071,21.3111776
29,Strada Ana Ipătescu,310255,46.1570384,21.3260498
49-53,Bulevardul Revoluției,310181,46.1787254,21.3210151
89,Strada 9 Mai,310025,46.1724743,21.3166057
25-27,Strada General Vasile Milea,310182,46.1781771,21.3223258
1-3,Strada 9 Mai,310036,46.1810583,21.3097023
1-3,Strada 9 Mai,310036,46.1810576,21.3098384
2-4,Strada Gheorghe Popa de Teiuș,310022,46.1770539,21.3158646
Bl.9.A,Strada Sabin Drăgoi,310078,46.1797972,21.3273847
15,Splaiul General Gheorghe Magheru,310039,46.1729454,21.3443878
Bl.9.A,Strada Sabin Drăgoi,310178,46.1798012,21.3273426
7-9,Strada Vârful cu dor,310085,46.1715999,21.3095843
3,Strada Ecaterina Teodoroiu,310035,46.1707408,21.3095653
58,Strada Griviței,310280,46.1777867,21.2967135
12,Strada Iustin Marșieu,310150,46.1816491,21.3160114
2,Strada Cloșca,310017,46.1777973,21.3189850
