House number,Street name,Postal code,Latitude,Longitude
75,Strada Trivale,110058,44.8531686,24.8366627
34,Bulevardul I. C. Brătianu,110004,44.8591953,24.8740710
34,Strada Egalității,110049,44.8535338,24.8742658
2,Strada Călinescu Armand,110047,44.8587700,24.8674639
9,Strada Mihai Chițescu,003711,44.8709845,24.8441576
58,Strada Smeurei,110046,44.8550932,24.8622915
204,Bulevardul Bălcescu Nicolae,110101,44.8864856,24.8256977
44,Strada Călinescu Armand,110047,44.8554650,24.8709480
33,Bulevardul Republicii,110062,44.8583120,24.8696440
44,Strada Călinescu Armand,110047,44.8552172,24.8705568
44,Strada Călinescu Armand,110047,44.8546420,24.8710020
26,Strada Traian,110424,44.8529175,24.8701550
24,Republicii,110062,44.8607926,24.8657227
53,Strada Negru Vodă,110069,44.8663207,24.8603583
13,Strada Tache Ionescu,110143,44.8636684,24.8663971
3A,Strada Tache Ionescu,110143,44.8630468,24.8659839
4,Strada Tache Ionescu,110143,44.8630164,24.8661260
6,Strada Tache Ionescu,110143,44.8631723,24.8662869
8,Strada Tache Ionescu,110143,44.8638433,24.8672955
33,Strada Tache Ionescu,110143,44.8648794,24.8699991
10B,Strada Tache Ionescu,110143,44.8639363,24.8676066
16,Strada Tache Ionescu,110143,44.8645961,24.8696343
13,Strada Tache Ionescu,110143,44.8636283,24.8664693
9,Strada Tache Ionescu,110143,44.8634515,24.8662762
3,Strada Tache Ionescu,110143,44.8629516,24.8658980
21,Strada Tache Ionescu,110143,44.8638776,24.8670731
14,Strada Tache Ionescu,110143,44.8643356,24.8688887
7A,Strada Tache Ionescu,110143,44.8633414,24.8662306
17,Strada Tache Ionescu,110143,44.8637348,24.8666946
3B,Strada Tache Ionescu,110143,44.8631723,24.8661019
23,Strada Tache Ionescu,110143,44.8639192,24.8672177
19,Strada Tache Ionescu,110143,44.8638205,24.8669122
31,Strada Tache Ionescu,110143,44.8646207,24.8692132
25,Strada Tache Ionescu,110143,44.8640751,24.8676307
12,Strada Tache Ionescu,110143,44.8640770,24.8681135
167,Bulevardul Republicii,110570,44.8463805,24.8888193
32,Calea București,110120,44.8642558,24.8789729
51,Strada Crinului,110150,44.8612571,24.8788262
58,Strada Smeurei,110046,44.8550761,24.8623450
S9C Parter,Bulevardul Frații Golești,110175,44.8447862,24.8902258
67,Bulevardul Republicii,110014,44.8547718,24.8749580
1,Strada Războieni,110224,44.8454807,24.8756121
12,Strada Victoriei,110017,44.8569988,24.8735202
63,Bulevardul I. C. Brătianu,110121,44.8616238,24.8691018
75,Bulevardul Republicii,110014,44.8541068,24.8760836
6,Aleea Eftimie Antonescu,110306,44.8710452,24.8401676
3,Strada Constantin Stătescu,110096,44.8685143,24.8575444
3A,Strada Constantin Stătescu,110096,44.8686837,24.8575196
65,Strada Nicolae Dobrin,110001,44.8474090,24.8682627
9,Strada Violetelor,110440,44.8532471,24.8656890
6,Strada Henri Coandă,110040,44.8544394,24.8643405
30,Strada Negru Vodă,110069,44.8651378,24.8644997
60-45,Strada Victoriei,110016,44.8618149,24.8662136
76-78,Calea Craiovei,110269,44.8504690,24.8792213
38,Strada Victoriei,110016,44.8605209,24.8682204
38,Strada Victoriei,110016,44.8605317,24.8682706
216,Strada Exerciţiului,110210,44.8414161,24.8798107
9,Strada Victoriei,110016,44.8589909,24.8690023
8 A;8A,Strada Maior Gheorghe Șonțu;Maior Gheorghe Sontu,110043,44.8541877,24.8784419
37,Strada Pictor Nicolae Grigorescu,110154,44.8633114,24.8734868
16,Strada Livezilor,110128,44.8644661,24.8747311
4,Strada Livezilor,110128,44.8641602,24.8710234
8,Strada Livezilor,110128,44.8641924,24.8721998
6,Strada Livezilor,110128,44.8641777,24.8715484
6,Intrarea Rahovei,110054,44.8558469,24.8691245
10,Strada Livezilor,110128,44.8641984,24.8727200
5,Strada Gion Ionescu Gheorghe,110310,44.8680078,24.8455881
44,Strada Călinescu Armand,110047,44.8549241,24.8710395
141,Bulevardul Nicolae Bălcescu,110298,44.8738314,24.8476786
11,Bulevardul Republicii,110062,44.8606013,24.8665528
3,Strada Vasile Pârvan,110251,44.8415482,24.8771002
12,Strada Livezilor,110128,44.8642028,24.8733796
15,Strada Rahovei,110054,44.8558740,24.8671268
2,Strada Călinescu Armand,110047,44.8587368,24.8674266
50 A,Strada Egalității,110049,44.8525320,24.8762979
3,Strada Zimbrului,110380,44.8477301,24.8492266
1,Strada Smârdan,110217,44.8464917,24.8813437
14,Strada Tache Ionescu,110143,44.8642436,24.8689608
14,Strada Livezilor,110128,44.8642213,24.8739221
36,Aleea Spitalului,110283,44.8711775,24.8469088
1A,Aleea Constantin Moisil,110260,44.8407907,24.8758079
M5C,Strada Lucian Blaga,110325,44.8678975,24.8499969
65,Strada Nicolae Dobrin,110001,44.8475152,24.8683633
M3+M3a,Strada 1 Decembrie 1918,110287,44.8719574,24.8450674
6,Strada Henri Coandă,110040,44.8544127,24.8643607
13,Bulevardul Petrochimiștilor,110165,44.8359693,24.9031990
67,Strada Nicolae Dobrin,110001,44.8473525,24.8686606
2,Strada Carol Davila,110286,44.8707287,24.8445772
10,Strada Făgăraș,110080,44.8678691,24.8620158
11,Bulevardul Petrochimiștilor,110166,44.8370082,24.9016870
212,Bulevardul Republicii,110176,44.8467770,24.8866687
11,Strada Doaga,110440,44.8539179,24.8673890
Bl. 7,Strada Gheorghe Doja,110264,44.8419990,24.8858276
14,Strada Armand Călinescu,110047,44.8575395,24.8682424
10,Bulevardul Petrochimiștilor,110180,44.8361240,24.9019416
53,Strada Negru Vodă,110069,44.8661029,24.8598246
10,Strada Făgăraș,110080,44.8678263,24.8629887
59,Strada Depozitelor,110103,44.8853234,24.8517167
2,Calea Câmpulung,110147,44.8689080,24.8839862
19,Strada Tudor Vladimirescu,110191,44.8461141,24.8916207
3,Strada Călugăreni,110194,44.8481025,24.8896024
35,Strada Traian,110424,44.8516274,24.8705410
206,Strada Exercițiu,110210,44.8444360,24.8767897
148,Bulevardul Republicii,110177,44.8509484,24.8801584
1,Strada Târgul din Vale,110040,44.8546482,24.8818256
43,Strada Egalității,110049,44.8529660,24.8767430
1,Strada Constantin Dobrogeanu Geherea,110104,44.8867234,24.8303770
2,Strada Banat,110210,44.8456765,24.8739919
71,Bulevardul Republicii,110014,44.8545013,24.8758319
7,"Strada Horia, Cloșca și Crișan",110171,44.8371714,24.9028126
55,Bulevardul Frații Golești,110174,44.8451107,24.8898112
148,Bulevardul Republicii,110177,44.8508309,24.8800053
3,Strada General Constantin Cristescu,110057,44.8601135,24.8659503
1,Strada Popa Șapcă,110150,44.8616684,24.8794345
1,Strada Popa Șapcă,110150,44.8620488,24.8799893
75,Strada Războieni,110224,44.8428087,24.8741277
50,Strada 9 Mai,110109,44.8605910,24.8747022
29,Bulevardul I. C. Brătianu,110005,44.8591464,24.8732597
21,Strada Egalității,110049,44.8542154,24.8741709
