House number,Street name,Postal code,Latitude,Longitude
43,Bulevardul Republicii,601129,46.2536536,26.7724140
7,Strada Radu Rosetti,601011,46.2489406,26.7618311
1,Strada Belvedere,601066,46.2437850,26.7637200
45A,Bulevardul Republicii,601137,46.2548510,26.7735929
4,Strada Mercur,601083,46.2414944,26.7633010
7A,Calea Mărășești,601122,46.2554017,26.7816968
7,Strada Belvedere,601091,46.2428165,26.7662502
1,Strada Perchiului,601048,46.2536330,26.7649566
1,Strada Perchiului,601048,46.2548517,26.7636259
1,Strada Perchiului,601048,46.2550254,26.7643514
1,Strada Perchiului,601048,46.2545727,26.7634702
8,Bulevardul Oituz,601069,46.2476313,26.7597940
1A,Calea Brașovului,601073,46.2436820,26.7542598
1A,Calea Brașovului,601073,46.2437893,26.7544134
2,Strada Costache Negri,601095,46.2474526,26.7580370
1,Strada Culturii,601081,46.2431572,26.7615518
1,Calea Mărășești,601133,46.2588680,26.7708851
10,Calea Zemeșului,601110,46.2653981,26.7701470
10,Calea Zemeșului,601110,46.2651020,26.7695336
9,Strada Brașovului,601073,46.2418150,26.7517805
20,Strada 8 Martie,601096,46.2464948,26.7420326
3,Strada Industriilor,601124,46.2375210,26.8405547
43,Bulevardul Republicii,601129,46.2540669,26.7728707
3,Aleea Liliacului,601073,46.2451052,26.7552835
1,Aleea Liliacului,601073,46.2451399,26.7557532
5,Aleea Liliacului,601073,46.2455389,26.7553189
1,Bulevardul Oituz,601076,46.2456629,26.7562179
7,Aleea Liliacului,601073,46.2458836,26.7555737
9,Aleea Liliacului,601073,46.2462400,26.7558242
11,Aleea Liliacului,601073,46.2466225,26.7560361
7A,Bulevardul Oituz,601077,46.2469290,26.7574320
12,Bulevardul Oituz,601013,46.2489433,26.7615583
14,Strada Tineretului,601014,46.2480122,26.7614882
7,Strada General Radu R. Rosetti,601011,46.2487382,26.7622860
10,Strada Tineretului,601014,46.2478134,26.7627577
4,Strada Tineretului,601020,46.2465239,26.7636396
4,Strada Păcii,601020,46.2469409,26.7638662
6,Strada General Radu R. Rosetti,601010,46.2494048,26.7646955
14,Bulevardul Oituz,601013,46.2496524,26.7623406
7,Strada Poștei,601010,46.2504419,26.7661186
5,Strada Poștei,601010,46.2496057,26.7656928
10,Strada Poștei,601010,46.2509504,26.7665425
4,Strada Poștei,601010,46.2504750,26.7669444
21,Bulevardul Oituz,601032,46.2507829,26.7628040
25,Aleea Parcului,601032,46.2517637,26.7651353
1,Aleea Parcului,601032,46.2502026,26.7609924
27,Bulevardul Oituz,601047,46.2524381,26.7659465
2,Strada Perchiului,601048,46.2530887,26.7658554
6,Strada Perchiului,601048,46.2534655,26.7673805
35,Bulevardul Oituz,601047,46.2532431,26.7698263
41,Bulevardul Republicii,601025,46.2525257,26.7708086
22,Bulevardul Oituz,601046,46.2515815,26.7665990
5,Strada Cașinului,601007,46.2458092,26.7663091
6,Bulevardul Republicii,601003,46.2463911,26.7653194
4,Bulevardul Republicii,601003,46.2461082,26.7647521
2,Strada Tineretului,601007,46.2456449,26.7654020
3,Strada Cașinului,601007,46.2454535,26.7660089
2,Bulevardul Republicii,601003,46.2454311,26.7639850
1,Strada Cașinului,601007,46.2448045,26.7653120
1,Strada 1 Mai,601067,46.2449330,26.7640480
3,Strada 1 Mai,601067,46.2447085,26.7643635
5,Strada 1 Mai,601067,46.2444696,26.7646462
1,Bulevardul Belvedere,601066,46.2442199,26.7638873
1,Bulevardul Belvedere,601066,46.2435779,26.7645610
2,Strada 1 Mai,601067,46.2444756,26.7637911
4,Strada 1 Mai,601067,46.2442257,26.7641057
6,Strada 1 Mai,601067,46.2439878,26.7644099
7,Strada 1 Mai,601067,46.2440105,26.7655387
8,Strada 1 Mai,601067,46.2435408,26.7651321
3,Bulevardul Belvedere,601066,46.2431515,26.7650900
7,Strada Belvedere,601066,46.2424917,26.7669379
7,Strada Belvedere,601091,46.2428211,26.7662092
1,Strada Culturii,601081,46.2430700,26.7618120
1,Strada Culturii,601081,46.2428237,26.7641525
3,Strada Culturii,601081,46.2424487,26.7636513
3,Strada Mercur,601082,46.2418087,26.7635520
5,Strada Culturii,601081,46.2420067,26.7638302
6,Bulevardul Belvedere,601091,46.2421133,26.7654881
7,Strada Mercur,601091,46.2406966,26.7654959
7,Strada Stirenului,601056,46.2405128,26.7665217
12,Bulevardul Belvedere,601052,46.2411601,26.7671428
14,Bulevardul Belvedere,601052,46.2407360,26.7677632
17,Strada Libertății,601054,46.2384282,26.7641644
19,Strada Libertății,601054,46.2382828,26.7644909
21,Strada Libertății,601054,46.2381752,26.7648808
23,Strada Libertății,601055,46.2381386,26.7653057
25,Strada Libertății,601055,46.2381771,26.7657093
27,Strada Libertății,601055,46.2383229,26.7661017
29,Strada Libertății,601055,46.2385170,26.7664246
8,Strada Stirenului,601056,46.2387900,26.7659251
8A,Strada Stirenului,601056,46.2387526,26.7652458
10,Strada Stirenului,601056,46.2387647,26.7645713
4,Aleea Viitorului,601056,46.2397085,26.7646246
2,Strada George Bacovia,601090,46.2396006,26.7621362
4,Strada George Bacovia,601090,46.2399706,26.7624961
4,Strada Saturn,601101,46.2420609,26.7613846
1,Strada Jupiter,601103,46.2417176,26.7608257
4,Strada Apollo,601101,46.2417645,26.7593681
3,Strada Apollo,601101,46.2421216,26.7588774
2,Strada Mercur,601083,46.2427403,26.7609159
4,Strada Venus,601105,46.2424431,26.7581882
3,Strada Venus,601105,46.2431325,26.7571620
11,Strada Emil Rebreanu,601060,46.2437332,26.7566775
25,Strada George Călinescu,601084,46.2446558,26.7563677
21,Strada George Călinescu,601084,46.2445233,26.7574333
1,Bulevardul Republicii,601018,46.2459226,26.7631151
2,Strada George Călinescu,601066,46.2455431,26.7619356
Q1,Aleea Viorelelor,601017,46.2459343,26.7617360
3,Strada Tineretului,601068,46.2465292,26.7628423
8,Bulevardul Oituz,601069,46.2476757,26.7598695
4,Strada George Călinescu,601066,46.2454757,26.7604889
4,Bulevardul Oituz,601076,46.2459224,26.7578525
1,Strada Libertății,601061,46.2426621,26.7566108
7B,Strada Libertății,601105,46.2418180,26.7579932
16,Strada Mihai Bravu,601039,46.2440314,26.7726390
37,Strada Alexandru Ioan Cuza,601042,46.2437175,26.7718386
18,Strada Constantin Dobrogeanu Gherea,601040,46.2443374,26.7719463
2,Strada George Coșbuc,601039,46.2443202,26.7714427
1,Strada George Coșbuc,601039,46.2445284,26.7710304
25,Strada Alexandru Ioan Cuza,601041,46.2451327,26.7699403
14,Strada Constantin Dobrogeanu Gherea,601040,46.2453250,26.7704112
10,Strada Mihai Bravu,601039,46.2453782,26.7725046
12,Strada Constantin Dobrogeanu Gherea,601040,46.2456860,26.7703767
23,Strada Alexandru Ioan Cuza,601041,46.2458216,26.7698585
10,Strada Constantin Dobrogeanu Gherea,601040,46.2460773,26.7703654
8,Strada Constantin Dobrogeanu Gherea,601040,46.2465912,26.7704021
17,Strada Alexandru Ioan Cuza,601041,46.2469614,26.7697962
6,Strada Constantin Dobrogeanu Gherea,601040,46.2471043,26.7707705
