House number,Street name,Postal code,Latitude,Longitude
2A,Strada Verii,500223,45.6525835,25.6136594
5,Strada Prahova,500209,45.6582832,25.6106947
1,Strada Brazilor,500313,45.6141916,25.6332054
36B,Strada Tudor Vladimirescu,500142,45.6638030,25.5937243
30,Strada Tudor Vladimirescu,500142,45.6645000,25.5949430
23,Strada Tudor Vladimirescu,500142,45.6641300,25.5961611
20,Strada Tudor Vladimirescu,500142,45.6639532,25.5961798
11,Strada Tudor Vladimirescu,500142,45.6634374,25.5961126
85,Strada Aurel Vlaicu,500188,45.6601959,25.6039729
61A,Strada Aurel Vlaicu,500188,45.6608641,25.6021245
3,Strada Albă,500188,45.6610671,25.5968547
7,Strada Albă,500188,45.6611591,25.5968766
4,Strada Gusztav Kollar,500193,45.6458376,25.5771093
2,Strada Jepilor,500560,45.6375370,25.6121852
12,Bulevardul Mihail Kogălniceanu,500173,45.6527384,25.6080988
10,Bulevardul Mihail Kogălniceanu,500173,45.6530033,25.6081842
8,Bulevardul Mihail Kogălniceanu,500173,45.6532199,25.6082412
6,Strada 9 Mai,500209,45.6534639,25.6058892
3,Strada Traian Grozăvescu,500091,45.6504301,25.6028025
2A,Strada Traian Grozăvescu,500091,45.6502935,25.6028970
3A,Strada Traian Grozăvescu,500091,45.6505193,25.6027367
5,Strada Traian Grozăvescu,500091,45.6506621,25.6026249
6,Strada Traian Grozăvescu,500091,45.6508797,25.6024785
7,Strada Traian Grozăvescu,500091,45.6513033,25.6021383
8,Strada Traian Grozăvescu,500091,45.6514735,25.6020184
128,Strada Mihai Viteazul,500183,45.6599006,25.5917877
16,Strada Zizinului,500414,45.6501730,25.6202776
18,Strada Zizinului,500414,45.6500143,25.6206806
20,Strada Zizinului,500414,45.6498314,25.6206047
22,Strada Zizinului,500414,45.6496360,25.6205408
24,Strada Zizinului,500414,45.6494544,25.6204641
16,Calea București,500365,45.6466962,25.6200777
11,Strada Carpaților,500282,45.6452245,25.6186410
13,Strada Carpaților,500282,45.6447213,25.6184588
1,Strada Zarand,500133,45.6359967,25.5729674
14,Strada Promenada Astra,500361,45.6428717,25.6309651
1,Strada Jupiter,500360,45.6418805,25.6308958
2,Strada Argintului,500158,45.6677299,25.5958104
37,Calea Feldioarei,500483,45.6813551,25.5808857
2,Strada Zmeurei,500256,45.6331917,25.6063428
