House number,Street name,Postal code,Latitude,Longitude
11,Calea Călărașilor,810017,45.2693264,27.9749169
2,Strada Mărului,810073,45.2829831,27.9607842
1,Strada Transilvaniei,810058,45.2715359,27.9552068
1,Strada Rada S.Campiniu,810003,45.2689180,27.9733255
47,Strada Școlilor,810224,45.2655428,27.9588843
29,Strada Mihai Eminescu,810002,45.2713850,27.9699740
311,Bulevardul Dorobanților,810058,45.2717929,27.9561635
537,Bulevardul Dorobanților,810095,45.2843691,27.9659503
109,Șoseaua Baldovinești,810182,45.3026762,27.9355202
15,Șoseaua Parcului,810296,45.2547890,27.9472220
41,Strada Cimbrului,810098,45.2916521,27.9577603
"Bl.B2, parter",Bulevardul Independenței,810003,45.2719148,27.9651710
3-5,Cartier Vidin,810346,45.3051764,27.9631991
4,Colectorului,810000,45.2883013,27.9529721
54,Calea Călărașilor,810211,45.2626008,27.9665680
228,Calea Călărașilor,810289,45.2495504,27.9523314
5,Șoseaua Buzăului,810295,45.2502572,27.9399604
16,Șoseaua de Centură,810447,45.2377340,27.9330705
600,Bulevardul Dorobanților,810095,45.2840951,27.9661191
244,Calea Călărașilor,810466,45.2467394,27.9495967
74B,Strada Independenței,810112,45.2887198,27.9803390
7,Strada Vădeni,810183,45.2937609,27.9513955
10,Strada Odessa,810283,45.2487840,27.9578597
8,Strada Alexandru Lăpușneanu,810060,45.2805809,27.9509887
12,Strada Alexandru Lăpușneanu,810060,45.2806718,27.9510281
1-5,Strada Transilvaniei,810249,45.2719996,27.9544839
60,Strada 1 Decembrie 1918,810075,45.2720645,27.9528934
69,Calea Galați,810097,45.2900668,27.9692953
20,Strada Pietății,810259,45.2606039,27.9545552
2,Strada Dudului,810356,45.3047173,27.9619366
358,Calea Galați,810363,45.3076589,27.9590032
7,Strada Progresului,810394,45.2938744,27.9675820
296,Bulevardul Independenței,810129,45.2800761,27.9734159
55,Strada General Eremia Grigorescu,810062,45.2792752,27.9585594
29,Strada General Eremia Grigorescu,810062,45.2798688,27.9559446
22,Strada General Eremia Grigorescu,810102,45.2782733,27.9629651
31,Strada General Eremia Grigorescu,810062,45.2797116,27.9563437
40,Strada Școlilor,810525,45.2665466,27.9608643
60,Calea Călărașilor,810223,45.2617223,27.9643213
1,Strada Ghioceilor,810229,45.2592044,27.9613808
4,Aleea Margaretelor,810542,45.2669485,27.9511716
6,Strada Oborului,810497,45.2686459,27.9519032
2,Aleea Cutezătorilor,810269,45.2621144,27.9557143
4,Bulevardul Independenței,810019,45.2640771,27.9702367
1,Piața Independenței,810210,45.2626972,27.9694169
1-5,Strada Transilvaniei,810249,45.2732876,27.9539904
4;1,Strada Mecanizatorilor,810457,45.2412679,27.9491922
325,Calea Călărașilor,810457,45.2430516,27.9479988
Bloc 19,Strada Metalurgiei,810433,45.2483046,27.9448999
24,Aleea Științei,810421,45.2464923,27.9478631
19,Șoseaua Buzăului,810295,45.2465015,27.9369581
10,Strada Odessa,810283,45.2484973,27.9577401
1A,Strada Celulozei,810282,45.2457652,27.9589943
1,Strada Bărăganului,810450,45.2439263,27.9439393
1-5,Strada Transilvaniei,810249,45.2725798,27.9545412
3,Piața Traian,810153,45.2722973,27.9742275
2,Strada Mihai Eminescu,810026,45.2719573,27.9732591
7,Piața Traian,810153,45.2723780,27.9755993
74B,Strada Independenței,810112,45.2885582,27.9803443
5,Strada Malul Dunării,810457,45.2399416,27.9582481
km 4,DN 22B,810550,45.3022833,27.9805098
1,Strada Belvedere,810022,45.2722226,27.9767279
29,Strada Golești,810024,45.2730038,27.9729753
49,Strada Golești,810131,45.2745060,27.9741506
1,Strada Pictor Nicolae Grigorescu,810131,45.2745980,27.9747133
70,Strada Cetății,810133,45.2769775,27.9791278
18,Strada Alexandru Lăpușneanu,810060,45.2809880,27.9511488
14,Strada Alexandru Lăpușneanu,810060,45.2807971,27.9509764
16,Strada Alexandru Lăpușneanu,810060,45.2808981,27.9510642
13,Strada Alexandru Lăpușneanu,810060,45.2812711,27.9508697
9,Strada Alexandru Lăpușneanu,810060,45.2811681,27.9506666
3,Strada Alexandru Lăpușneanu,810060,45.2809211,27.9505520
40,Șoseaua Focșani,810060,45.2806071,27.9503150
10,Strada Alexandru Lăpușneanu,810060,45.2807348,27.9508615
11,Strada Alexandru Lăpușneanu,810060,45.2812147,27.9507903
15,Strada Alexandru Lăpușneanu,810060,45.2813551,27.9509806
2,Strada Alexandru Lăpușneanu,810060,45.2804646,27.9506862
4,Strada Alexandru Lăpușneanu,810060,45.2805281,27.9507862
6,Strada Alexandru Lăpușneanu,810060,45.2806401,27.9508185
20,Strada Alexandru Lăpușneanu,810060,45.2811178,27.9512981
5,Strada Alexandru Lăpușneanu,810060,45.2810228,27.9505795
22,Strada Alexandru Lăpușneanu,810060,45.2812050,27.9514263
24,Strada Alexandru Lăpușneanu,810060,45.2812811,27.9515296
7,Strada Alexandru Lăpușneanu,810060,45.2810857,27.9506821
26,Strada Alexandru Lăpușneanu,810060,45.2814283,27.9514976
17,Strada Alexandru Lăpușneanu,810060,45.2814521,27.9510803
55,Strada Alexandru Lăpușneanu,810079,45.2833130,27.9519988
42,Șoseaua Focșani,810060,45.2807848,27.9501519
44,Șoseaua Focșani,810060,45.2809184,27.9500275
