House number,Street name,Postal code,Latitude,Longitude
19,Strada George Coșbuc,405100,46.5497370,23.8883060
19,Strada George Coșbuc,405100,46.5497370,23.8882330
8,Strada Aurel Vlaicu,405100,46.5440190,23.8849980
14,Strada 1 Decembrie 1918,401184,46.5352097,23.8958356
2,Strada Andrei Mureșanu,405100,46.5461149,23.8860120
11,Piața Mihai Viteazu,405100,46.5451662,23.8855886
59,Strada Gheorghe Barițiu,405100,46.5364193,23.8859580
2,Aleea Castanilor,405100,46.5426058,23.8832523
1,Aleea Castanilor,405100,46.5425922,23.8833796
3A,Strada Gării,405100,46.5468556,23.8813237
3,Strada Gării,405100,46.5468559,23.8814155
3-5,Strada 1 Decembrie,405100,46.5439800,23.8880256
48,Strada Traian,827142,46.5470693,23.8751542
19,Strada Traian,405100,46.5463384,23.8758256
22,Strada Traian,827142,46.5460758,23.8768972
18,Strada Teilor,405200,46.5410187,23.8929138
20,Strada Teilor,405200,46.5409628,23.8929981
44,Strada Laminoriștilor,405100,46.5510924,23.8853950
49,Strada Laminoriștilor,405100,46.5505119,23.8855659
84,Strada Laminoriștilor,405100,46.5526660,23.8821171
74,Strada Laminoriștilor,405100,46.5523929,23.8828516
95,Strada Laminoriștilor,405100,46.5524074,23.8817711
95A,Strada Laminoriștilor,405100,46.5524340,23.8816915
89,Strada Andrei Mureșanu,405100,46.5526067,23.8809379
9,Aleea Castanilor,405100,46.5428718,23.8823651
7,Aleea Castanilor,405100,46.5428373,23.8825978
10,Aleea Castanilor,405100,46.5428859,23.8822200
5,Aleea Castanilor,405100,46.5427981,23.8828726
4,Aleea Castanilor,405100,46.5426760,23.8829681
8,Aleea Castanilor,405100,46.5428534,23.8824638
3,Aleea Castanilor,405100,46.5426609,23.8831106
6,Aleea Castanilor,405100,46.5428204,23.8827277
33,Strada Tudor Vladimirescu,405100,46.5389834,23.8932440
11,Strada Tudor Vladimirescu,405100,46.5401006,23.8913172
10,Strada Tudor Vladimirescu,405100,46.5392678,23.8916690
31,Strada Tudor Vladimirescu,405100,46.5391074,23.8929530
12,Strada Tudor Vladimirescu,405100,46.5392081,23.8917455
9,Strada Tudor Vladimirescu,405100,46.5401821,23.8912270
22,Strada 1 Mai,405200,46.5409615,23.8914354
2,Strada 1 Mai,405200,46.5420081,23.8899460
17,Strada 1 Mai,405200,46.5417447,23.8908944
15,Strada 1 Mai,405200,46.5417983,23.8908097
6,Strada 1 Mai,405200,46.5417344,23.8902849
6A,Strada 1 Mai,405200,46.5416756,23.8903549
2A,Strada 1 Mai,405200,46.5420414,23.8899026
44,Strada 1 Mai,405200,46.5396837,23.8932475
8A,Strada Teilor,405200,46.5419176,23.8916767
43,Strada Teilor,405100,46.5397134,23.8955872
3,Strada Teilor,405200,46.5423897,23.8915040
1A,Strada Teilor,405200,46.5424275,23.8913981
8,Strada Teilor,405200,46.5420213,23.8915161
8A,Strada Parcului,405200,46.5425807,23.8902974
2B,Strada Teilor,405200,46.5424512,23.8908203
2A,Strada Teilor,405200,46.5425667,23.8906357
10,Strada Școlii,405100,46.5396364,23.8964561
2,Strada Teilor,405200,46.5425075,23.8907444
2,Strada Parcului,405200,46.5421195,23.8895769
39C,Strada Teilor,405100,46.5402514,23.8954640
20,Strada 1 Mai,405200,46.5410644,23.8913047
16A,Strada Gheorghe Doja,405100,46.5490355,23.8898735
18,Strada Gheorghe Doja,405100,46.5490762,23.8899315
22,Strada Gheorghe Doja,405100,46.5494239,23.8901439
10,Piața Unirii,405100,46.5479848,23.8888489
33,Strada George Coșbuc,405100,46.5497219,23.8898846
18A,Strada Gheorghe Doja,405100,46.5491205,23.8899694
61,Strada Aurel Vlaicu,405100,46.5362996,23.8820428
122,Strada Aurel Vlaicu,405100,46.5359430,23.8813534
61,Strada Laminoriștilor,405100,46.5511334,23.8846812
17,Strada 1 Decembrie 1918,405100,46.5422926,23.8888525
24A,Strada Decebal,405100,46.5420392,23.8855864
24,Strada Decebal,405100,46.5419690,23.8855618
2,Strada Școlii,405200,46.5387526,23.8945400
8,Strada Băii,405100,46.5468466,23.8880089
15,Strada Laminoriștilor,405100,46.5475349,23.8852730
5,Strada 1 Decembrie,405100,46.5433793,23.8883050
9,Strada Parcului,405200,46.5462618,23.8884810
13,Strada Laminoriștilor,405100,46.5475398,23.8846139
30,Strada Andrei Mureșanu,405100,46.5475491,23.8840257
61B,Strada Aurel Vlaicu,405100,46.5356711,23.8821746
11,Strada Gheorghe Barițiu,405100,46.5412885,23.8872504
14,Strada Tudor Vladimirescu,405100,46.5390707,23.8917996
11,Strada Laminoriștilor,405100,46.5468600,23.8852609
46,Strada Laminoriștilor,405100,46.5512294,23.8851750
2,Strada Băii,405100,46.5451413,23.8875984
5,Strada Gării,405100,46.5469153,23.8809591
38,Strada 1 Decembrie 1918,405100,46.5397830,23.8900551
16,Strada Parcului,405100,46.5435506,23.8900742
Nr 6,Strada Republicii,405100,46.5353693,23.8881299
