House number,Street name,Postal code,Latitude,Longitude
165A,Strada Făgetului,900654,44.1941668,28.6396342
1,Piața Victoriei,900910,44.1688936,28.6322812
255,Bulevardul Mamaia,900552,44.2048891,28.6437821
70,Strada Unirii,900562,44.2036208,28.6488934
30,Strada Gheorghe Economu,900554,44.2087560,28.6437551
282,Bulevardul Mamaia,900552,44.2087482,28.6436720
134,Bulevardul Mamaia,900527,44.1957816,28.6491054
95,Bulevardul Aurel Vlaicu,900075,44.1565881,28.6140284
94,Strada Soveja,900402,44.1952192,28.6236416
104,Bulevardul Alexandru Lăpușneanu,900648,44.1950855,28.6325832
150,Strada Mircea cel Bătrân,900627,44.1912212,28.6411796
52A,Strada Mircea cel Bătrân,900658,44.1919106,28.6406377
75,Bulevardul Mamaia,900178,44.1858720,28.6465537
15,Strada Cuza Vodă,900659,44.1794671,28.6511046
2,Strada Vasile Lucaciu,900573,44.1940346,28.6493827
94A,Strada Unirii,900544,44.2067992,28.6471713
16,Strada Căiuți,900546,44.2069832,28.6493459
16bis,Strada Căiuți,900546,44.2069632,28.6492660
18,Strada Căiuți,900546,44.2069456,28.6491961
18A,Strada Căiuți,900546,44.2069265,28.6491200
20,Strada Căiuți,900546,44.2069108,28.6490572
22,Strada Căiuți,900546,44.2068605,28.6488571
24,Strada Căiuți,900546,44.2068397,28.6487740
26,Strada Căiuți,900546,44.2067943,28.6485934
28,Strada Căiuți,900546,44.2067597,28.6484556
30,Strada Căiuți,900546,44.2067334,28.6483509
30A,Strada Căiuți,900546,44.2067127,28.6482682
32,Strada Căiuți,900546,44.2066876,28.6481683
34,Strada Căiuți,900546,44.2066484,28.6480121
36,Strada Căiuți,900546,44.2066169,28.6478868
38,Strada Căiuți,900546,44.2065920,28.6477874
40,Strada Căiuți,900546,44.2065555,28.6476424
310,Bulevardul Tomis,900497,44.1989340,28.6297331
15,Strada Timișana,900524,44.1961857,28.6505248
36B,Strada Nicolae Titulescu,900735,44.1707558,28.6601653
1,Strada Ion Luca Caragiale,900167,44.1798406,28.6354357
235,Bulevardul Tomis,900647,44.1959610,28.6331484
135,Șoseaua Mangaliei,900111,44.1528094,28.6282697
155,Bulevardul Mamaia,900575,44.1934831,28.6496268
173A,Bulevardul Alexandru Lăpușneanu,900419,44.2048815,28.6294148
69,Strada Răchitași,900545,44.2043662,28.6452593
1,Strada Oleg Danovski,900525,44.1932388,28.6505997
120,Bulevardul Mamaia,900527,44.1932139,28.6503936
1-3,Prelungirea Liliacului,900008,44.1499523,28.6229626
255,Bulevardul Mamaia,900552,44.2055160,28.6427610
251-253,Bulevardul Mamaia,900559,44.2045864,28.6442302
116C,Bulevardul Alexandru Lăpușneanu,900419,44.2036669,28.6315041
26,Strada Vârful cu Dor,400227,44.1551756,28.6072928
1,Strada Fulgerului,900218,44.1801280,28.6301787
1A,Strada Fulgerului,900218,44.1801511,28.6301861
1,Strada Dafinului,900384,44.1924355,28.6258938
15,Strada Dafinului,900384,44.1912143,28.6254900
1A,Strada Dafinului,900384,44.1922565,28.6258324
2,Strada Barbu Lăutaru,900649,44.1929198,28.6371667
3,Strada Barbu Lăutaru,900649,44.1927964,28.6373388
4,Strada Barbu Lăutaru,900649,44.1927767,28.6369343
4A,Strada Barbu Lăutaru,900649,44.1926533,28.6367794
6,Strada Barbu Lăutaru,900649,44.1925854,28.6367175
6A,Strada Barbu Lăutaru,900649,44.1925250,28.6366331
99,Bulevardul Aurel Vlaicu,900075,44.1569794,28.6135313
216,Bulevardul Tomis,900652,44.1919247,28.6395315
2,Strada Răchitași,900545,44.2060027,28.6509503
112,Strada Petru Vulcan,900647,44.1914023,28.6389904
112A,Strada Petru Vulcan,900647,44.1913404,28.6388669
114,Strada Petru Vulcan,900647,44.1912696,28.6387249
116,Strada Petru Vulcan,900647,44.1912253,28.6386261
3,Strada Flămânda,900647,44.1916370,28.6386879
5,Strada Flămânda,900647,44.1915200,28.6386064
7,Strada Flămânda,900647,44.1914422,28.6385459
9,Strada Flămânda,900647,44.1913182,28.6384594
1,Strada Sublocotenent Ion Ghiculescu,900308,44.1696741,28.5893903
2D,Bulevardul 1 Decembrie 1918,900716,44.1699610,28.6378829
1,Strada Sabinelor,900685,44.1809019,28.6431463
2,Strada Sabinelor,900685,44.1810774,28.6429574
32,Strada Miron Costin,900682,44.1800674,28.6451959
68A,Strada Traian,900716,44.1684451,28.6389056
22A,Strada Farului,900648,44.1934632,28.6351940
2,Strada Călugăreni,900189,44.1823513,28.6412084
59,Strada Mihai Viteazu,900191,44.1824160,28.6413194
1 Bis,Strada Mugurului,900012,44.1388961,28.6245814
1,Strada Mugurului,900012,44.1390168,28.6246486
4,Strada Griviței,900727,44.1804835,28.6492247
11,Strada Căiuți,900546,44.2067556,28.6495929
12,Strada Zorelelor,900546,44.2063558,28.6498061
26Bis,Strada Soveja,900544,44.2071020,28.6468944
28,Strada Soveja,900553,44.2068967,28.6466923
41,Strada Căiuți,900546,44.2062509,28.6476126
43,Strada Căiuți,900553,44.2060575,28.6469032
48,Strada Soveja,900553,44.2057815,28.6450126
6,Strada Ecaterina Teodoroiu,900554,44.2071237,28.6460274
1,Strada Ion Bănescu,900669,44.1830326,28.6481849
14,Strada Ion Bănescu,900669,44.1842071,28.6471570
20,Strada Călărași,900590,44.1843300,28.6433314
4,Strada Călărași,900590,44.1851610,28.6447016
7,Strada Călărași,900590,44.1846910,28.6444582
9,Strada Călărași,900590,44.1845969,28.6443009
23A,Strada Maior Șofran,900554,44.2066506,28.6445157
97,Bulevardul Aurel Vlaicu,900075,44.1569032,28.6138786
17,Strada Mircea cel Bătrân,900744,44.1761404,28.6566124
18,Strada Callatis,900744,44.1764614,28.6576413
32,Strada Callatis,900744,44.1760834,28.6564542
34,Strada Callatis,900744,44.1760342,28.6562897
35,Strada Ion Adam,900620,44.1913221,28.6453005
2,Strada Zorelelor,900546,44.2065952,28.6507434
1,Strada Zorelelor,900546,44.2062857,28.6505265
3,Strada Zorelelor,900546,44.2062498,28.6503147
4,Strada Zorelelor,900546,44.2065407,28.6505246
2,Strada Timișana,900524,44.1966989,28.6518919
1A,Strada Bicaz,900319,44.1678004,28.5903559
10,Strada Bicaz,900319,44.1671236,28.5899733
11,Strada Bicaz,900319,44.1671517,28.5902401
12,Strada Bicaz,900319,44.1670309,28.5899820
13A,Strada Bicaz,900319,44.1667637,28.5903164
2,Strada Bicaz,900319,44.1677085,28.5898365
3,Strada Bicaz,900319,44.1677418,28.5902731
4,Strada Bicaz,900319,44.1675501,28.5898813
5,Strada Bicaz,900319,44.1676292,28.5901786
6,Strada Bicaz,900319,44.1673302,28.5899390
7,Strada Bicaz,900319,44.1674469,28.5901726
8,Strada Bicaz,900319,44.1672302,28.5899420
9,Strada Bicaz,900319,44.1672568,28.5902147
9B,Strada Bicaz,900319,44.1673411,28.5901992
1,Intrarea Histria,900248,44.1723152,28.6140050
11,Intrarea Histria,900248,44.1717158,28.6140828
12,Strada Alecu Russo,900319,44.1667088,28.5900262
13,Intrarea Histria,900248,44.1716097,28.6140966
2,Intrarea Histria,900248,44.1719870,28.6137094
2,Strada Alecu Russo,900319,44.1667863,28.5910251
26,Strada Alecu Russo,900319,44.1665984,28.5877830
3,Intrarea Histria,900248,44.1721996,28.6140200
4,Intrarea Histria,900248,44.1718540,28.6137267
5,Intrarea Histria,900248,44.1721007,28.6140328
6,Intrarea Histria,900248,44.1717205,28.6137441
7,Intrarea Histria,900248,44.1719833,28.6140481
9,Intrarea Histria,900248,44.1718375,28.6140670
13,Strada Căiuți,900546,44.2066556,28.6493644
13A,Strada Căiuți,900546,44.2066831,28.6494528
15,Strada Căiuți,900546,44.2066187,28.6492282
17,Strada Căiuți,900546,44.2066090,28.6491496
19,Strada Căiuți,900546,44.2065889,28.6490772
21,Strada Căiuți,900546,44.2065594,28.6489044
23,Strada Căiuți,900546,44.2065132,28.6487832
25,Strada Căiuți,900546,44.2064826,28.6485662
25A,Strada Căiuți,900546,44.2064978,28.6486504
27,Strada Căiuți,900546,44.2064465,28.6484411
29,Strada Căiuți,900546,44.2064110,28.6483201
31,Strada Căiuți,900546,44.2063806,28.6482014
33,Strada Căiuți,900546,44.2063369,28.6480533
35,Strada Căiuți,900546,44.2063137,28.6479274
39,Strada Căiuți,900546,44.2062337,28.6477646
41A,Strada Căiuți,900546,44.2062237,28.6475362
92,Strada Unirii,900544,44.2060897,28.6475547
94,Strada Unirii,900544,44.2062101,28.6474133
1,Aleea Cerbului,900364,44.1877461,28.6226104
11,Aleea Cerbului,900364,44.1873551,28.6223122
13,Aleea Cerbului,900364,44.1873094,28.6222905
