House number,Street name,Postal code,Latitude,Longitude
1,Strada Ion Maiorescu,200418,44.3183176,23.7928514
7,Strada Alexandru Ioan Cuza,200585,44.3187651,23.7965747
67,Calea București,200523,44.3186919,23.8087366
3-5,Bulevardul Decebal,200980,44.3292423,23.8148206
1,Strada Madona Dudu,200410,44.3161893,23.7943227
23,Strada Frații Buzești,200730,44.3150896,23.7996376
25,Strada Frații Buzești,200381,44.3142854,23.7998146
7,Calea Severinului,200233,44.3283442,23.7762699
57,Calea București,200675,44.3190880,23.8068451
61,Calea București,200675,44.3192308,23.8073107
59,Calea București,200675,44.3191085,23.8070150
63,Calea București,200523,44.3189326,23.8083913
65,Strada Toporași,200222,44.3338514,23.7711684
115,Strada General Dragalina,200539,44.3091190,23.8116492
11,Strada Mihail Kogălniceanu,200390,44.3160264,23.7964761
11,Strada Alexandru Ioan Cuza,200585,44.3190100,23.7991520
15,Calea Unirii,200419,44.3191406,23.7950945
14,Strada Matei Basarab,200760,44.3146250,23.7922659
14,Strada Madona Dudu,200410,44.3172594,23.7899422
8,Strada Popa Șapcă,200416,44.3186090,23.7934440
7A,Strada Ion D. Sîrbu,200547,44.3061617,23.8188932
24A,Aleea Potelu,200317,44.2953999,23.8054740
5A,Strada Panait Moșoiu,200395,44.3179547,23.7993624
4A,Strada Alexandru Ioan Cuza,200086,44.3179685,23.7987370
4A,Strada Alexandru Ioan Cuza,200086,44.3180026,23.7986691
72,Calea București,200446,44.3126316,23.8272432
129,Calea București,200617,44.3145417,23.8308007
20,Strada C.D. Fortunescu,200385,44.3158479,23.8027916
49,Bulevardul Carol I,200692,44.3240942,23.8045351
25,Calea Severinului,200769,44.3417783,23.7609933
34,Strada Viitorului,200786,44.3161877,23.8655833
7,Strada Brazda lui Novac,200115,44.3296526,23.8049765
111A,Bulevardul Decebal,200746,44.2999723,23.8337077
19,Strada Rovinari,200533,44.3086020,23.8129474
6,Calea Unirii,200585,44.3197433,23.7941610
12,Strada Caracal,200347,44.3116357,23.8020128
13,Strada Dâmbovița,200670,44.3273167,23.7847698
29,Calea București,200678,44.3201237,23.8014243
27,Calea București,200678,44.3201584,23.8012017
19,Calea București,200678,44.3202799,23.7996437
19,Calea București,200678,44.3202877,23.7998672
139,Calea București,200620,44.3138562,23.8366317
139,Calea București,200640,44.3138339,23.8368977
172,Strada Caracal,200746,44.2992350,23.8291037
162A,Strada Caracal,200746,44.2994962,23.8280262
141,Calea București,200620,44.3138197,23.8370670
6,Strada Iancu Jianu,200142,44.3215531,23.7891684
17,Strada Brestei,200420,44.3209760,23.7902859
17,Calea București,200678,44.3203375,23.7993155
21,Calea București,200678,44.3201890,23.8002319
19,Calea București,200678,44.3202545,23.7997881
133,Strada Brestei,200177,44.3226457,23.7770061
81,Calea București,200465,44.3182511,23.8108668
83,Calea București,200465,44.3181800,23.8110991
13A,Strada Eugeniu Carada,200390,44.3160279,23.8009352
20,Strada Frații Buzești,200381,44.3137265,23.7998072
133,Calea București,200617,44.3145051,23.8311028
13,Strada Eugeniu Carada,200390,44.3159098,23.8011802
19,Strada Arieș,200384,44.3145029,23.8018370
2,Strada Eugeniu Carada,200390,44.3158820,23.7994749
133,Calea București,200617,44.3145190,23.8309876
10,Strada Frații Buzești,200730,44.3152141,23.7991754
129,Calea București,200617,44.3145650,23.8306083
112,Strada General Gheorghe Magheru,200548,44.3096289,23.8189975
131,Calea București,200617,44.3145298,23.8308989
7B,Strada Henry Ford,200611,44.3001581,23.8370661
21,Strada Arieș,200384,44.3143730,23.8018863
101,Bulevardul Carol I,200061,44.3260559,23.8094323
132,Strada Dezrobirii,200009,44.3200413,23.8218206
67,Calea București,200523,44.3186442,23.8089637
103,Calea București,200477,44.3167558,23.8188404
47,Calea București,200675,44.3192989,23.8058722
65,Calea București,200523,44.3187866,23.8085200
24,Strada Petre Ispirescu,200480,44.3188772,23.8214226
45,Calea București,200675,44.3193243,23.8054671
69,Calea București,200523,44.3185978,23.8091846
69,Calea București,200523,44.3186465,23.8093702
17,Strada Petre Ispirescu,200480,44.3190474,23.8216860
31,Calea București,200677,44.3197189,23.8030124
95,Calea București,200473,44.3176379,23.8140878
43,Calea București,200675,44.3193956,23.8050604
103,Calea București,200477,44.3167837,23.8186968
85,Calea București,200473,44.3180451,23.8120701
7,Strada Nicolae Bălcescu,200676,44.3195629,23.8043340
37,Calea București,200677,44.3196028,23.8037369
61,Calea București,200675,44.3193163,23.8074821
45,Calea București,200675,44.3193031,23.8056235
35,Calea București,200677,44.3196471,23.8034607
103,Calea București,200477,44.3167121,23.8190485
95,Calea București,200473,44.3175187,23.8146908
57,Calea București,200675,44.3191029,23.8067404
37,Calea București,200677,44.3195843,23.8038525
103,Calea București,200477,44.3168248,23.8184856
45,Calea București,200675,44.3193068,23.8055670
85,Calea București,200473,44.3180633,23.8119719
99C,Calea București,200473,44.3169999,23.8170518
103,Calea București,200477,44.3166932,23.8191441
59,Calea București,200675,44.3191935,23.8072349
105,Calea București,200477,44.3165398,23.8197301
43,Calea București,200675,44.3193828,23.8051513
45,Calea București,200675,44.3193708,23.8054093
103,Calea București,200477,44.3167316,23.8189647
105,Calea București,200477,44.3165039,23.8199169
10,Strada Petre Ispirescu,200480,44.3195515,23.8215551
105,Calea București,200477,44.3165694,23.8195761
83,Calea București,200465,44.3181705,23.8112959
43,Calea București,200675,44.3193736,23.8052167
105,Calea București,200477,44.3165250,23.8198075
85,Calea București,200473,44.3180238,23.8121850
16,Strada Petre Ispirescu,200480,44.3193105,23.8215243
35,Calea București,200677,44.3196284,23.8035774
33,Calea București,200677,44.3196829,23.8032372
33,Calea București,200677,44.3197020,23.8031178
41,Calea București,200675,44.3194634,23.8049350
31,Calea București,200677,44.3197420,23.8028680
99C,Calea București,200473,44.3170094,23.8169916
85,Calea București,200473,44.3180762,23.8119026
57,Calea București,200675,44.3190776,23.8069482
59,Calea București,200675,44.3191639,23.8071749
4,Strada Petre Ispirescu,200480,44.3198109,23.8215896
2,Strada Petre Ispirescu,200480,44.3198407,23.8215961
2,Strada Petre Ispirescu,200480,44.3199009,23.8216009
2A,Strada Frații Golești,200467,44.3193749,23.8079117
2A,Strada Frații Golești,200467,44.3193365,23.8079061
46,Strada Vasile Alecsandri,200463,44.3212350,23.8078996
47,Strada Vasile Alecsandri,200463,44.3214190,23.8078628
24,Strada Frații Golești,200467,44.3203274,23.8080822
130A,Strada Dezrobirii,200519,44.3199457,23.8213316
54,Strada Brazda lui Novac,200690,44.3281579,23.8014648
21,Strada Alexandru Ioan Cuza,200585,44.3180650,23.8048194
5,Strada Înfrățirii,200530,44.3169585,23.8112135
9,Strada Alexandru Macedonski,200383,44.3155071,23.8042623
88,Bulevardul 1 Mai,200638,44.3013723,23.7974872
1,Strada Sfinții Apostoli,200392,44.3154587,23.8071783
12,Strada Brestei,200420,44.3220376,23.7889586
1,Aleea Ion Vasilescu,200706,44.3385096,23.7755124
11,Strada Bătrânilor,200025,44.3250235,23.8190971
11,Calea Severinului,200768,44.3364751,23.7651882
22A,Strada Pelendava,200204,44.3339079,23.7604518
18A,Strada Ștefan cel Mare,200129,44.3225274,23.7989356
21,Calea Severinului,200769,44.3394028,23.7635462
33,Strada Caracal,200347,44.3092358,23.8049514
41,Strada Împăratul Traian,200530,44.3158633,23.8069822
29,Strada Împăratul Traian,200399,44.3164742,23.8047494
5,Strada Împăratul Traian,200399,44.3169371,23.8028760
69,Strada Împăratul Traian,200530,44.3153897,23.8091356
57,Strada Nanterre,200497,44.3151176,23.8175690
141,Calea București,200620,44.3137910,23.8374091
27,Strada Împăratul Traian,200399,44.3165816,23.8045029
22,Strada Frații Buzești,200381,44.3138651,23.7996263
57,Strada Împăratul Traian,200530,44.3157058,23.8084196
107,Strada Împăratul Traian,200487,44.3139232,23.8114164
93,Strada Împăratul Traian,200487,44.3144882,23.8106346
60A,Strada General Dragalina,200539,44.3098847,23.8087889
134,Strada Împăratul Traian,200501,44.3117923,23.8150195
119A,Strada Împăratul Traian,200501,44.3134622,23.8122838
102,Strada Împăratul Traian,200487,44.3132320,23.8122008
