House number,Street name,Postal code,Latitude,Longitude
2,Bulevardul Independenței,130104,44.9263332,25.4635970
6,Aleea Sinaia,130004,44.9444635,25.4578882
17,Strada Bărăției,130002,44.9335923,25.4521970
181,Calea Domnească,130008,44.9322354,25.4584851
24,Strada Poet Gr. Alexandrescu,130034,44.9296657,25.4564896
185,Calea Domnească,130008,44.9308115,25.4600207
1,Strada Stelea,130018,44.9290235,25.4622320
181,Calea Domnească,130008,44.9305440,25.4606076
87,Calea Ploiești,130145,44.9154247,25.4903232
7,Strada Justiției,130017,44.9298785,25.4639260
187,Calea Domnească,130008,44.9311112,25.4605567
7,Strada Justiției,130017,44.9298367,25.4639581
6,Strada Muzeului,307008,44.9287858,25.4613244
6-8,Bulevardul Unirii,130082,44.9234415,25.4424677
6-8,Aleea Sinaia,130004,44.9459367,25.4571540
18,Strada Colonel Dumitru Băltărețu,307008,44.9228752,25.4567961
10,Strada Colonel Dumitru Băltărețu,307008,44.9233482,25.4570053
2,Strada Colonel Dumitru Băltărețu,307008,44.9241751,25.4571785
24,Strada Colonel Dumitru Băltărețu,307008,44.9226322,25.4566647
20,Strada Colonel Dumitru Băltărețu,307008,44.9227974,25.4567532
8,Strada Colonel Dumitru Băltărețu,307008,44.9235522,25.4570387
30,Strada Colonel Dumitru Băltărețu,307008,44.9224185,25.4564915
28,Strada Colonel Dumitru Băltărețu,307008,44.9225077,25.4565640
12,Strada Colonel Dumitru Băltărețu,307008,44.9232313,25.4569609
6,Strada Colonel Dumitru Băltărețu,307008,44.9237819,25.4571195
22,Strada Colonel Dumitru Băltărețu,307008,44.9227165,25.4567064
16,Strada Colonel Dumitru Băltărețu,307008,44.9229892,25.4568441
14,Strada Colonel Dumitru Băltărețu,307008,44.9231078,25.4568939
4,Strada Colonel Dumitru Băltărețu,307008,44.9240395,25.4571904
26,Strada Colonel Dumitru Băltărețu,307008,44.9225627,25.4566149
2,Strada Diaconu Coresi,307008,44.9316788,25.4496071
25,Strada Grigore Alexandrescu,130007,44.9278725,25.4563253
23,Strada Grigore Alexandrescu,130007,44.9277397,25.4563709
19,Strada Grigore Alexandrescu,130007,44.9274378,25.4565425
21,Strada Grigore Alexandrescu,130007,44.9275953,25.4564406
102B,Calea Câmpulung,130072,44.9277815,25.4412700
