House number,Street name,Postal code,Latitude,Longitude
80,Bulevardul 1 Decembrie 1918,332012,45.4211439,23.3699323
73,Strada Anghel Saligny,907111,45.4201039,23.3729370
20,Strada Universității,332006,45.4196962,23.3759615
61,Strada 1 Decembrie 1918,907111,45.4232529,23.3693885
12C,Strada Livezeni,332071,45.3843719,23.3711143
12C,Strada Livezeni,332071,45.3842365,23.3710301
12C,Strada Livezeni,332071,45.3841137,23.3709582
106A,Strada Maleia,332047,45.4269839,23.3931484
2,Strada Nicolae Bălcescu,332026,45.4165515,23.3712072
64,Strada Slătinioara,332054,45.4094860,23.3984210
7,Strada Primăverii,332062,45.4121398,23.3680548
104,Anton Pan,332015,45.4153008,23.3666967
22A,Strada Aviatorilor,907111,45.3949794,23.3753000
57A,Bulevardul 1 Decembrie 1918,332031,45.4244842,23.3681529
38A,Strada Aviatorilor,332108,45.3936610,23.3739578
40A,Strada Aviatorilor,332108,45.3926654,23.3738880
38B,Strada Aviatorilor,332108,45.3934020,23.3738975
40,Strada Aviatorilor,332108,45.3923726,23.3743816
38,Strada Aviatorilor,332108,45.3929753,23.3739994
80,Bulevardul 1 Decembrie 1918,332012,45.4210818,23.3699940
96,Strada 1 Decembrie 1918,907111,45.4154882,23.3732039
2,Strada Zorilor,332029,45.4215797,23.3725164
"Bl. 2, Sc. 2",Aleea Poporului,332024,45.4161416,23.3713194
11,Strada Mihai Viteazu,332014,45.4184666,23.3686453
3,Strada Venus,907111,45.3939162,23.3768058
70,Strada Aviatorilor,332111,45.3883910,23.3750335
68,Strada Aviatorilor,332111,45.3887376,23.3751126
66,Strada Aviatorilor,907111,45.3891257,23.3751273
64,Strada Aviatorilor,332110,45.3894190,23.3750717
62,Strada Aviatorilor,332110,45.3897059,23.3751421
60,Strada Aviatorilor,332110,45.3900299,23.3748578
62 A,Strada Aviatorilor,332110,45.3897285,23.3745922
64 A,Strada Aviatorilor,332110,45.3891182,23.3745654
70 A,Strada Aviatorilor,332109,45.3885050,23.3745802
70 B,Strada Aviatorilor,332109,45.3886256,23.3740089
