House number,Street name,Postal code,Latitude,Longitude
2/A,Strada Alexandru Boico,MD-3603,47.2144840,27.7989252
53,Strada Națională,MD-3600,47.2177185,27.8084863
5,Strada Națională,MD-3600,47.2049095,27.7973027
5,Strada Națională,MD-3600,47.2048530,27.7977419
4/2,Strada Vasile Alecsandri,MD-3600,47.2069615,27.8016183
5,Strada Națională,MD-3600,47.2049654,27.7977844
33/A,Strada Națională,MD 3600,47.2121808,27.8058167
5,Strada Națională,MD-3600,47.2048091,27.7973923
5,Strada Națională,MD-3600,47.2047924,27.7976620
9,Strada Vasile Alecsandri,3600,47.2081917,27.7987137
6,Strada Mihai Eminescu,MD-3600,47.2083498,27.8003204
189,Strada Ștefan cel Mare și Sfânt,MD-3602,47.1853859,27.8098652
46,Strada Mihai Eminescu,3606,47.2068614,27.7982583
29,str. Vasile Alecsandri,MD3600,47.2088699,27.7984043
10,Strada Feroviară,MD-3606,47.2068150,27.8024102
1,Strada Vasile Alecsandri,MD-3603,47.2068224,27.8014241
1,Strada Ion Luca Caragiale,MD-3602,47.1845943,27.8148246
6,Strada Ion Luca Caragiale,3602,47.1843314,27.8145857
17,Strada Națională,MD-3600,47.2079747,27.8013772
14,Strada Alexandru Bernardazzi,MD-3606,47.2193502,27.7993246
67,Strada Romană,MD-3600,47.2117905,27.8010398
189,Strada Ștefan cel Mare și Sfânt,MD-3602,47.1854187,27.8099918
15,Strada Națională,3606,47.2077429,27.8011293
13,str. Vasile Alecsandri,MD3600,47.2087024,27.7976289
27,Strada Barbu Lăutaru,MD 3600,47.2085511,27.7979399
20,Strada Națională,MD-3600,47.2079992,27.8025478
18/A,Strada Națională,MD-3600,47.2077060,27.8018302
87,Strada Alexandru Plămădeală,MD-3600,47.2213582,27.8089354
40,Strada Decebal,MD-3600,47.2195332,27.7930363
23,Strada Națională,MD-3600,47.2098408,27.8031470
7,Strada Națională,MD-3606,47.2054568,27.7978623
2/A,Strada Alexandru Boico,MD-3600,47.2144187,27.7990763
4,Strada Mihai Viteazul,MD-3604,47.2189551,27.7882121
9,Strada Nicolae Bălcescu,MD-3600,47.2021525,27.7923910
3/A,Strada Unirii,MD-3600,47.1961696,27.7935674
15,Strada Ion Creangă,MD-3600,47.2219264,27.7974819
11,Strada Ghenadie Crestiuc,MD-3600,47.2215453,27.7973300
5,Strada Ghenadie Crestiuc,MD-3600,47.2208694,27.7948767
3,Strada Ghenadie Crestiuc,MD-3600,47.2204022,27.7945340
5/A,Strada Ghenadie Crestiuc,MD-3600,47.2205609,27.7952517
7,Strada Ghenadie Crestiuc,MD-3600,47.2211728,27.7955445
9,Strada Ghenadie Crestiuc,MD-3600,47.2211792,27.7963761
12,Strada Decebal,MD-3600,47.2108073,27.8007874
35,Strada Romană,MD-3600,47.2116521,27.7987354
35,Strada Romană,MD-3600,47.2123599,27.7985215
35,Strada Romană,MD-3600,47.2126303,27.7977646
35,Strada Romană,MD-3600,47.2131337,27.7973517
15,Strada Națională,MD-3600,47.2076358,27.8009154
19,Strada Decebal,MD-3600,47.2125053,27.7966001
20,Strada Decebal,MD-3600,47.2145899,27.7967101
20/1,Strada Decebal,MD-3600,47.2141422,27.7971961
3,Strada Alexandru Boico,MD-3600,47.2144722,27.7975601
5,Strada Alexandru Boico,MD-3600,47.2147940,27.7979070
7,Strada Alexandru Boico,MD-3600,47.2151408,27.7978295
13,Strada Bogdan Petriceicu Hasdeu,MD-3600,47.2165305,27.7987680
15,Strada Bogdan Petriceicu Hasdeu,MD-3600,47.2172013,27.7974309
13/B,Strada Bogdan Petriceicu Hașdeu,MD-3600,47.2159466,27.7979784
8,Strada Bogdan Petriceicu Hasdeu,MD-3600,47.2168425,27.7993859
8/A,Strada Bogdan Petriceicu Hasdeu,MD-3600,47.2171681,27.7996176
13,Strada Alexandru Boico,MD-3600,47.2172904,27.8001567
15,Strada Alexandru Boico,MD-3600,47.2174845,27.8008899
17,Strada Alexandru Boico,MD-3600,47.2179069,27.8013380
17,Strada Alexandru Boico,MD-3600,47.2182849,27.8013647
5,Strada Ion Creangă,MD-3600,47.2183802,27.8007489
8/A,Strada Alexandru Bernardazzi,MD-3600,47.2183610,27.7992151
7,Strada Ion Creangă,MD-3600,47.2190126,27.8005822
9,Strada Ion Creangă,MD-3600,47.2191485,27.8000277
14,Strada Alexandru Bernardazzi,MD-3600,47.2195603,27.7995976
12,Strada Alexandru Bernardazzi,MD-3600,47.2189845,27.7989011
10,Strada Alexandru Bernardazzi,MD-3600,47.2184534,27.7982647
8,Strada Alexandru Bernardazzi,MD-3600,47.2179263,27.7976690
16,Strada Bogdan Petriceicu Hasdeu,MD-3600,47.2175848,27.7983374
10,Strada Bogdan Petriceicu Hasdeu,MD-3600,47.2173083,27.7989291
12,Strada Bogdan Petriceicu Hasdeu,MD-3600,47.2176034,27.7993885
14,Strada Bogdan Petriceicu Hasdeu,MD-3600,47.2177875,27.7989638
18,Strada Alexandru Bernardazzi,MD-3600,47.2179914,27.7985836
66,Strada Romană,MD-3600,47.2114052,27.8003649
14/A,Strada Decebal,MD-3600,47.2107062,27.7996480
66/2,Strada Romană,MD-3600,47.2116477,27.8001835
69,Strada Mihai Eminescu,MD-3600,47.2116630,27.8033511
71,Strada Mihai Eminescu,MD-3600,47.2117980,27.8035796
3,Strada Vasile Lupu,MD-3600,47.2121726,27.8037166
1,Strada Vasile Lupu,MD-3600,47.2117437,27.8046258
27,Strada Națională,MD-3600,47.2110680,27.8043939
28,Strada Mihai Eminescu,MD-3600,47.2113674,27.8037280
26,Strada Mihai Eminescu,MD-3600,47.2107860,27.8032247
24/A,Strada Mihai Eminescu,MD-3600,47.2107135,27.8035140
25,Strada Națională,MD-3600,47.2103536,27.8037918
24,Strada Mihai Eminescu,MD-3600,47.2104681,27.8029060
22,Strada Mihai Eminescu,MD-3600,47.2104049,27.8025415
