House number,Street name,Postal code,Latitude,Longitude
7,Strada Morii,545400,46.2201199,24.7946273
7,Strada Consiliul Europei,545400,46.2209369,24.7987076
10,Strada Nicolae Titulescu,545400,46.2247444,24.7991207
25,Strada Cartier Venchi,545400,46.2452589,24.7556607
10,Strada Școlii,545400,46.2194510,24.7919490
1,Piața Muzeului,545400,46.2192920,24.7932800
1,Strada Cornești,545400,46.2206513,24.7819369
10,Strada Cornești,545400,46.2212325,24.7813232
11,Strada Cornești,545400,46.2209206,24.7812963
12,Strada Cornești,545400,46.2213099,24.7811396
13,Strada Cornești,545400,46.2209909,24.7811106
14,Strada Cornești,545400,46.2213835,24.7809874
15,Strada Cornești,545400,46.2210538,24.7809564
16,Strada Cornești,545400,46.2214393,24.7808694
17,Strada Cornești,545400,46.2211113,24.7808087
18,Strada Cornești,545400,46.2214985,24.7807278
19,Strada Cornești,545400,46.2211782,24.7806598
2,Strada Cornești,545400,46.2209626,24.7820940
20,Strada Cornești,545400,46.2215551,24.7805913
21,Strada Cornești,545400,46.2212349,24.7805155
22,Strada Cornești,545400,46.2216592,24.7803614
23,Strada Cornești,545400,46.2212781,24.7803748
24,Strada Cornești,545400,46.2217003,24.7802792
25,Strada Cornești,545400,46.2213631,24.7802000
27,Strada Cornești,545400,46.2214091,24.7800647
3,Strada Cornești,545400,46.2206971,24.7818381
4,Strada Cornești,545400,46.2209528,24.7819991
5,Strada Cornești,545400,46.2207520,24.7817096
6,Strada Cornești,545400,46.2210945,24.7816200
7,Strada Cornești,545400,46.2207935,24.7816035
8,Strada Cornești,545400,46.2211897,24.7814139
8A,Strada Cornești,545400,46.2211675,24.7814633
9,Strada Cornești,545400,46.2208763,24.7814094
16,Piața Hermann Oberth,545400,46.2180173,24.7948833
10,Strada Viilor,545400,46.2304975,24.8049024
92,Strada Mihai Viteazul,545400,46.2275314,24.8121300
42A,Strada Zaharia Boiu,545400,46.2210475,24.7841368
23,Strada Zaharia Boiu,545400,46.2209956,24.7874634
44,Strada Zaharia Boiu,545400,46.2210160,24.7834448
5,Strada Zaharia Boiu,545400,46.2211367,24.7899492
50,Strada Zaharia Boiu,545400,46.2209510,24.7824041
1,Strada Zaharia Boiu,545400,46.2211905,24.7907458
15,Strada Zaharia Boiu,545400,46.2210383,24.7882037
10,Strada Zaharia Boiu,545400,46.2213166,24.7898184
3,Strada Zaharia Boiu,545400,46.2211589,24.7902315
4,Strada Zaharia Boiu,545400,46.2213501,24.7905795
17,Strada Zaharia Boiu,545400,46.2210272,24.7880448
6,Strada Zaharia Boiu,545400,46.2213279,24.7902978
36,Strada Zaharia Boiu,545400,46.2211199,24.7857354
19,Strada Zaharia Boiu,545400,46.2210104,24.7878356
38,Strada Zaharia Boiu,545400,46.2211033,24.7852553
27,Strada Zaharia Boiu,545400,46.2209715,24.7870470
