House number,Street name,Postal code,Latitude,Longitude
18,Strada Filarmonicii,550165,45.7959704,24.1552942
18,Strada Vasile Aaron,550297,45.7850745,24.1685106
53,Strada Nicolae Bălcescu,550159,45.7929417,24.1491975
2 A,Strada Lucian Blaga,550169,45.7934048,24.1564652
1,Strada Emil Cioran,550025,45.7896794,24.1470733
1,Bulevardul Mihai Viteazul,550350,45.7824876,24.1489637
7,Bulevardul Mihai Viteazul,550350,45.7815612,24.1508621
137A,Strada Ștefan cel Mare,550316,45.7889694,24.1753300
11,Strada Semaforului,550309,45.7845296,24.1713521
1 - 3,Strada Avram Iancu,550183,45.7976796,24.1523379
6,Piața Prahovei,550409,45.7770657,24.1460786
11,Bulevardul Mihai Viteazul,550350,45.7811493,24.1517876
15,Bulevardul Mihai Viteazul,550350,45.7805356,24.1529469
6,Strada Axente Sever,550247,45.7932518,24.1623874
11,Bulevardul Mihai Viteazul,550350,45.7809104,24.1522747
11,Bulevardul Mihai Viteazul,550350,45.7810632,24.1519765
37,Strada Nicolae Bălcescu,550159,45.7935714,24.1499866
P 13 A,Strada Nicolae Iorga,550341,45.7789899,24.1549284
40-42,Strada Nicolae Bălcescu,550159,45.7932542,24.1491057
7,Bulevardul Mihai Viteazul,550350,45.7816944,24.1505855
5,Bulevardul Mihai Viteazul,550350,45.7819338,24.1503330
1-3,Strada Nicolae Bălcescu,550159,45.7956359,24.1511361
39,Calea Dumbrăvii,550324,45.7838567,24.1484683
8,Strada Gheorghe Lazăr,550165,45.7955892,24.1541016
55A,Strada Livezii,550042,45.7895751,24.1166375
55A,Strada Livezii,550042,45.7896574,24.1167609
55A,Strada Livezii,550042,45.7896013,24.1167180
11,Strada Victor Hugo,550278,45.7887738,24.1654427
22,Strada Ocnei,550188,45.8007013,24.1505145
21,Strada Vopsitorilor,550190,45.7996506,24.1471171
12,Strada Cetății,550160,45.7947560,24.1538714
14,Strada Cetății,550160,45.7946949,24.1537545
1,Strada Frigoriferului,550047,45.7972421,24.1234851
10,Piața Unirii,551025,45.7926515,24.1482474
6,Strada Nicolae Bălcescu,550159,45.7953517,24.1504828
15,Bulevardul Victoriei,550024,45.7889989,24.1437265
16,Bulevardul Victoriei,550024,45.7896993,24.1441169
18,Bulevardul Victoriei,550024,45.7895868,24.1439593
19,Bulevardul Victoriei,550024,45.7887996,24.1433728
24,Bulevardul Victoriei,550024,45.7892717,24.1435045
26,Bulevardul Victoriei,550024,45.7891548,24.1433087
28,Bulevardul Victoriei,550024,45.7890245,24.1431181
29,Bulevardul Victoriei,550024,45.7878346,24.1421906
30,Bulevardul Victoriei,550024,45.7888775,24.1429641
32,Bulevardul Victoriei,550024,45.7887763,24.1427848
34,Bulevardul Victoriei,550024,45.7887123,24.1426911
36,Bulevardul Victoriei,550024,45.7885922,24.1424227
36,Strada Andrei Șaguna,550009,45.7932531,24.1451707
9,Strada Andrei Șaguna,550009,45.7925465,24.1459368
38,Bulevardul Victoriei,550024,45.7882575,24.1417064
40,Bulevardul Victoriei,550024,45.7875145,24.1413746
42,Bulevardul Victoriei,550024,45.7865023,24.1401691
44A,Bulevardul Victoriei,550024,45.7858538,24.1398892
44B,Bulevardul Victoriei,550024,45.7857861,24.1395257
2,Strada Samuel Brukenthal,550178,45.7968032,24.1506455
4,Strada Nicolae Bălcescu,550159,45.7955708,24.1506502
2,Strada Nicolae Bălcescu,550159,45.7959422,24.1510148
1,Piața Mare,550163,45.7974832,24.1520763
16,Piața Mare,550163,45.7975328,24.1525346
2,Strada Avram Iancu,550183,45.7976354,24.1525709
2,Piața Mare,550163,45.7972293,24.1519012
4,Piața Mică,550182,45.7971546,24.1513684
5,Piața Mică,550182,45.7970606,24.1507140
12,Bulevardul Corneliu Coposu,550245,45.7967677,24.1603233
14,Bulevardul Corneliu Coposu,550245,45.7967396,24.1607194
16,Bulevardul Corneliu Coposu,550245,45.7969723,24.1607093
20,Bulevardul Corneliu Coposu,550245,45.7970312,24.1611698
41,Strada Mitropoliei,550179,45.7933843,24.1462548
28,Strada Mitropoliei,550179,45.7944779,24.1467986
30,Strada Mitropoliei,550179,45.7941045,24.1463394
11,Piața Mică,550182,45.7976053,24.1511072
4,Strada Școala de Înot,550005,45.7866250,24.1469000
21,Piața Mică,550182,45.7983840,24.1510760
11,Piața Mică,550182,45.7975553,24.1510520
22,Strada Mitropoliei,550179,45.7948782,24.1476365
4 - 5,Piața Mare,550163,45.7965470,24.1506559
2,Strada Mitropoliei,550179,45.7969750,24.1495900
26,Piața Mică,550182,45.7982688,24.1521073
2D,Strada Lungă,550107,45.8007645,24.1433152
67,Strada Lungă,550107,45.8093003,24.1466280
10,Strada Corneliu Coposu,550245,45.7965600,24.1601790
80a,Calea Cisnădiei,550409,45.7752289,24.1480674
2,Emil Cioran,550025,45.7911152,24.1478115
32A,Calea Turnișorului,550136,45.8013491,24.1313034
43,Strada Livezii,550042,45.7910361,24.1174725
21,Strada Nicolae Bălcescu,550159,45.7941828,24.1504002
24,Calea Dumbrăvii,550324,45.7874767,24.1493931
2,Strada Emil Cioran,550025,45.7894603,24.1463548
21,Strada Nouă,550257,45.8009062,24.1522287
49,Calea Gușteriței,550260,45.8060994,24.1725750
101,Strada Viilor,550272,45.8084821,24.1876689
1,Bulevardul Mihai Viteazul,550350,45.7824471,24.1490339
5,Bulevardul Mihai Viteazul,550350,45.7820383,24.1501299
11,Bulevardul Mihai Viteazul,550350,45.7812167,24.1516604
15,Bulevardul Mihai Viteazul,550350,45.7805097,24.1530222
15,Bulevardul Mihai Viteazul,550350,45.7803229,24.1533972
45,Strada Rahovei,550345,45.7766448,24.1567526
10,Strada Semaforului,550309,45.7844321,24.1711719
4,Aleea Biruinței,550350,45.7809398,24.1536672
34D,Strada Mirăslău,550357,45.7838525,24.1541510
33,Strada Mirăslău,550357,45.7834457,24.1541551
70,Strada Mașiniștilor,550242,45.7999568,24.1727949
2,Strada Emil Cioran,550025,45.7911797,24.1477626
1 A,Strada Izvorului,550172,45.7936698,24.1578551
1 A,Strada Izvorului,550172,45.7936876,24.1578994
1 A,Strada Izvorului,550172,45.7936988,24.1579366
2,Strada Doctor Ioan Lupaș,550176,45.7945456,24.1454400
2,Strada Doctor Ioan Lupaș,550176,45.7945799,24.1456537
11,Bulevardul Mihai Viteazul,550350,45.7809772,24.1519708
15,Bulevardul Mihai Viteazul,550350,45.7803936,24.1531564
11B,Bulevardul Mihai Viteazul,550350,45.7812767,24.1526360
31,Bulevardul Mihai Viteazul,550341,45.7780478,24.1579033
3,Bulevardul Mihai Viteazul,550350,45.7829188,24.1500074
7B,Bulevardul Mihai Viteazul,550350,45.7818304,24.1512842
21,Bulevardul Mihai Viteazul,550341,45.7791330,24.1556932
20,Bulevardul Mihai Viteazul,550365,45.7777168,24.1574460
5,Bulevardul Mihai Viteazul,550350,45.7819987,24.1501575
7A,Bulevardul Mihai Viteazul,550350,45.7823128,24.1510964
18,Bulevardul Mihai Viteazul,550365,45.7782014,24.1567285
2,Bulevardul Mihai Viteazul,550365,45.7823447,24.1485079
25,Bulevardul Mihai Viteazul,550341,45.7786651,24.1565729
7,Bulevardul Mihai Viteazul,550350,45.7819950,24.1509033
29,Bulevardul Mihai Viteazul,550341,45.7782536,24.1574795
16,Bulevardul Mihai Viteazul,550365,45.7786541,24.1558219
5A,Bulevardul Mihai Viteazul,550350,45.7825711,24.1503883
23,Bulevardul Mihai Viteazul,550341,45.7789160,24.1561331
12,Bulevardul Mihai Viteazul,550365,45.7797203,24.1535689
27,Bulevardul Mihai Viteazul,550341,45.7784857,24.1570236
