House number,Street name,Postal code,Latitude,Longitude
295,Calea lui Traian,240636,45.1370115,24.3654845
2,Strada Timiș,240630,45.1318034,24.3653664
4,Strada George Coșbuc,240533,45.0962417,24.3651560
11,Strada Matache Temelie,240091,45.0962250,24.3664337
18,Strada Știrbei Vodă,240165,45.1030340,24.3609530
143,Calea lui Traian,240096,45.1064811,24.3631917
25,Strada Carol I,240591,45.1063821,24.3619833
53,Strada Carol I,240591,45.1094119,24.3624132
1,Strada Priba,240278,45.1276252,24.3373564
34,Strada Dealul Malului,240424,45.1246067,24.3544118
37,Strada Dealul Malului,240424,45.1236540,24.3508274
5,Strada Priba,240278,45.1260424,24.3398013
52,Strada Dealul Malului,240424,45.1238320,24.3522714
53,Strada Dealul Malului,240424,45.1246332,24.3484844
7,Strada Priba,240278,45.1269323,24.3381375
8,Strada Priba,240278,45.1270048,24.3378519
23,Ferdinand,240156,45.1076736,24.3774206
99,Strada Ostroveni,240042,45.0813780,24.3695026
10,Strada Rapsodiei,240254,45.1168932,24.3667153
12,Strada Rapsodiei,240254,45.1169846,24.3674688
12,Strada Republicii,240257,45.1185940,24.3685278
14,Strada Rapsodiei,240254,45.1169236,24.3680341
14,Strada Republicii,240257,45.1186054,24.3690430
16,Strada Rapsodiei,240254,45.1168548,24.3685589
16,Strada Republicii,240257,45.1186162,24.3698426
18,Strada Rapsodiei,240254,45.1167541,24.3690503
2,Strada Republicii,240704,45.1188794,24.3639373
20,Strada Rapsodiei,240254,45.1165349,24.3694521
22,Strada Rapsodiei,240254,45.1162895,24.3699984
22,Strada Republicii,240264,45.1186406,24.3710524
24,Strada Rapsodiei,240254,45.1152138,24.3705160
26,Strada Republicii,240264,45.1186151,24.3714757
2A,Strada Republicii,240704,45.1188280,24.3642983
2A,Strada Republicii,240704,45.1188623,24.3641077
2B,Strada Republicii,240704,45.1188058,24.3644362
30,Strada Republicii,240264,45.1186142,24.3719164
4,Strada Rapsodiei,240254,45.1159847,24.3658602
4,Strada Republicii,240704,45.1187759,24.3651414
6,Strada Republicii,240704,45.1187274,24.3659592
8,Strada Rapsodiei,240254,45.1166472,24.3662513
1,Strada Matei Basarab,240616,45.1143405,24.3644919
11,Strada Matei Basarab,240616,45.1140669,24.3675884
12,Strada Matei Basarab,240234,45.1138943,24.3661945
13,Strada Matei Basarab,240616,45.1139968,24.3682042
15,Strada Matei Basarab,240616,45.1138589,24.3691344
16,Strada Matei Basarab,240234,45.1137934,24.3670297
17,Strada Matei Basarab,240616,45.1138029,24.3695191
19,Strada Matei Basarab,240616,45.1137550,24.3699936
2,Strada Matei Basarab,240234,45.1141299,24.3640531
20,Strada Matei Basarab,240234,45.1136680,24.3681986
21,Strada Matei Basarab,240616,45.1137123,24.3704284
23,Strada Matei Basarab,240218,45.1136163,24.3712085
24,Strada Matei Basarab,240614,45.1135519,24.3691341
25,Strada Matei Basarab,240218,45.1134917,24.3720064
26,Strada Matei Basarab,240614,45.1134405,24.3700209
27,Strada Matei Basarab,240218,45.1133729,24.3727910
28,Strada Matei Basarab,240614,45.1133313,24.3706880
29,Strada Matei Basarab,240218,45.1133175,24.3739123
