House number,Street name,Postal code,Latitude,Longitude
19,Эспланадная улица,414000,46.3523481,48.0378209
12 к1,улица Валерии Барсовой,414004,46.3454159,48.0651963
84,улица Лычманова,414000,46.3420603,48.0484357
5,Автозаправочная улица,414032,46.4018010,48.1054940
11А,9-й переулок,414019,46.2681808,47.9671364
2,проспект Бумажников,414042,46.4170815,47.9789312
7,улица 11-й Красной Армии,414041,46.3591220,48.0787027
26,Вокзальная улица,414012,46.3623750,48.0581468
21А,улица Анри Барбюса,414056,46.3622304,48.0489030
51,улица Калинина,414040,46.3572315,48.0508482
26,улица Кирова,414000,46.3475118,48.0368779
10,улица Чернышевского,414000,46.3485416,48.0370514
79,улица Софьи Перовской,414004,46.3466227,48.0701845
36А,улица Адмирала Нахимова,414018,46.3157277,47.9990696
24А,улица Савушкина,414056,46.3689676,48.0484503
24А,улица Савушкина,414056,46.3688955,48.0484373
24А,улица Савушкина,414056,46.3688189,48.0484242
11/3,Волжская улица/Тамбовская,414045,46.3409363,48.0261430
17,улица Анри Барбюса,414056,46.3623332,48.0465266
57 к1,Звёздная улица,414022,46.3392874,48.0722395
6А к3,улица Ботвина,414052,46.3725373,48.0649009
6А к3,улица Ботвина,414052,46.3724568,48.0648717
14,улица Ботвина,414052,46.3676405,48.0629694
51А,улица Савушкина,414040,46.3591767,48.0481849
47,улица Савушкина,414040,46.3604444,48.0480762
47,улица Савушкина,414040,46.3608387,48.0480172
17,улица Анри Барбюса,414056,46.3623653,48.0461723
6 к2,улица Савушкина,414056,46.3761228,48.0495667
8,улица Ботвина,414052,46.3711200,48.0647794
28С,улица Анри Барбюса,414040,46.3616494,48.0486311
1,Вокзальная площадь,414040,46.3597920,48.0540092
8А,улица Ляхова,414040,46.3585380,48.0497998
51,улица Савушкина,414040,46.3581687,48.0483942
30,улица Анри Барбюса,414040,46.3614585,48.0500264
32,улица Анри Барбюса,414040,46.3613633,48.0511961
7,улица Кирова,414000,46.3525651,48.0376154
28,улица Свердлова,414000,46.3525629,48.0383224
26,улица Ботвина,414052,46.3660325,48.0626547
26,улица Ботвина,414052,46.3662102,48.0626306
91,улица Свердлова,414000,46.3486867,48.0522987
46,улица Савушкина,414040,46.3602806,48.0473018
10,улица Ботвина,414052,46.3699759,48.0640849
2Б,улица Сун-Ят-Сена,414052,46.3723532,48.0631902
54 к1,улица Победы,414040,46.3561416,48.0582332
56,Коммунистическая улица,414040,46.3596613,48.0462819
10,улица Ботвина,414052,46.3704680,48.0642621
10,улица Ботвина,414052,46.3706702,48.0644110
49А,улица Ботвина,414052,46.3705920,48.0648664
49А,улица Ботвина,414052,46.3705179,48.0648389
49,улица Ботвина,414052,46.3707026,48.0651222
49,улица Ботвина,414052,46.3707503,48.0650439
14,улица Татищева,414056,46.3732949,48.0521121
6,улица 28-й Армии,414056,46.3732748,48.0532891
14,улица Татищева,414056,46.3731588,48.0515510
6,улица 28-й Армии,414056,46.3732859,48.0530346
8,улица 28-й Армии,414056,46.3732455,48.0538973
8,улица 28-й Армии,414056,46.3732285,48.0537709
16Е,улица Татищева,414056,46.3732822,48.0577818
8А,улица Маркина,414052,46.3732885,48.0678600
12,улица Ботвина,414052,46.3694282,48.0638113
15,улица 11-й Красной Армии,414041,46.3598025,48.0846552
2В,улица Николая Ветошникова,414016,46.3142812,47.9680791
28,улица Анри Барбюса,414040,46.3616084,48.0488629
6,улица Ляхова,414040,46.3592142,48.0497774
92,улица Красная Набережная,414000,46.3482478,48.0545246
12,улица Советской Милиции,414000,46.3535775,48.0370965
12,улица Советской Милиции,414000,46.3535503,48.0374364
6,улица Кирова,414000,46.3530620,48.0372910
3,улица Молодой Гвардии,414000,46.3506204,48.0407749
24А,улица Савушкина,414056,46.3685818,48.0483858
109А,улица Адмирала Нахимова,414051,46.3132821,47.9978216
109А,улица Адмирала Нахимова,414051,46.3131784,47.9977412
10,проезд Воробьёва,414057,46.3307408,48.0479758
7,улица Кирова,414000,46.3525204,48.0380006
7,улица Кирова,414000,46.3525852,48.0380488
4,улица Космонавтов,414057,46.3325185,48.0508125
