House number,Street name,Postal code,Latitude,Longitude
34,Комсомольский проспект,452680,56.0887078,54.2494046
6Б с3,улица Карла Маркса,452686,56.0784133,54.2473542
38,улица Ленина,452683,56.0904273,54.2449120
47,Социалистическая улица,452684,56.0919293,54.2540034
25,Парковая улица,452687,56.0854482,54.2389443
38,улица Ленина,452683,56.0902699,54.2451909
2,Юбилейный проспект,452685,56.0988500,54.2479325
9,Промышленная улица,452680,56.0996972,54.2616163
12,Парковая улица,452687,56.0847175,54.2435095
8А,Промышленная улица,рт,56.0989205,54.2666332
50,Комсомольский проспект,452687,56.0831600,54.2435892
45,Социалистическая улица,452684,56.0911547,54.2563132
35,улица Ленина,452689,56.1006593,54.2260670
30,Комсомольский проспект,452680,56.0896930,54.2510201
1А,Высоковольтная улица,452688,56.1025447,54.2421873
24,Комсомольский проспект,452684,56.0910453,54.2518531
18/1,Парковая улица,452687,56.0866332,54.2380817
34,Комсомольский проспект,452680,56.0888580,54.2495409
41,Комсомольский проспект,452687,56.0770265,54.2355467
25,Парковая улица,452687,56.0853891,54.2392008
2В,переулок Кувыкина,452687,56.0858291,54.2347641
7Б к1,улица Нефтяников,452684,56.0940269,54.2583379
36,Целинный переулок,452681,56.0982158,54.2868346
51Д,Октябрьская улица,452681,56.0954318,54.2746594
8Б,Индустриальная улица,452684,56.0994338,54.2672134
94,Комсомольский проспект,452683,56.0670440,54.2283848
10Б,Берёзовское шоссе,452688,56.1053274,54.2331549
82А,улица Ленина,452688,56.1055773,54.2323572
9В,улица Энергетиков,452688,56.1068886,54.2412506
18Б,Юбилейный проспект,452687,56.0876847,54.2357627
15,Парковая улица,452680,56.0830183,54.2460023
15,Парковая улица,452680,56.0831199,54.2457595
13Б,Комсомольский проспект,452687,56.0801815,54.2384068
8Д/2,Монтажная улица,452697,56.1050419,54.2602714
71 к1,улица Строителей,452688,56.1019784,54.2385641
81,улица Строителей,452688,56.1040752,54.2314534
84А,улица Строителей,452689,56.1056259,54.2279187
15,Парковая улица,452680,56.0832124,54.2454302
41,Комсомольский проспект,452687,56.0771585,54.2356721
8,Юбилейный проспект,452683,56.0945117,54.2433886
29,Дорожная улица,452680,56.0868772,54.2606835
87Б,улица Строителей,452689,56.1043061,54.2257467
19,Комсомольский проспект,452684,56.0907075,54.2499371
8Б,Городская улица,452686,56.0743032,54.2259941
11Б,Индустриальная улица,452680,56.1087617,54.2742856
6А,Берёзовское шоссе,452688,56.1039658,54.2375755
1,Техснабовская улица,452680,56.1011278,54.2483769
9А,улица Декабристов,452687,56.0796333,54.2292159
7,Монтажная улица,452684,56.1057190,54.2598124
18/1,Парковая улица,452680,56.0866535,54.2378796
39Г,Комсомольский проспект,452687,56.0786933,54.2372775
47,Социалистическая улица,452684,56.0918224,54.2542194
19,Парковая улица,452687,56.0840180,54.2423475
11А оф3,Комсомольский проспект,452683,56.0935658,54.2511185
5,Высоковольтная улица,452683,56.1070222,54.2475734
82А,улица Ленина,452688,56.1055756,54.2326622
58,Социалистическая улица,452688,56.0982060,54.2371326
4,Берёзовское шоссе,452688,56.1045441,54.2394487
57,Дорожная улица,452686,56.0781823,54.2516291
15,улица Ленина,452680,56.0876452,54.2486284
17,улица Ленина,452680,56.0877164,54.2461991
6,Промышленная улица,452684,56.0983015,54.2686765
21 А,улица Ленина,452680,56.0928134,54.2355759
1,переулок Кувыкина,452687,56.0852991,54.2365765
31А,Комсомольский проспект,452687,56.0831023,54.2403645
5,переулок Кувыкина,452687,56.0831727,54.2343310
3,переулок Кувыкина,452687,56.0842557,54.2354590
20А,улица Карла Маркса,452687,56.0831067,54.2357199
3А,переулок Кувыкина,452687,56.0835501,54.2361534
20,улица Карла Маркса,452687,56.0825035,54.2351012
18,улица Карла Маркса,452687,56.0823463,54.2369194
1Б,переулок Кувыкина,452687,56.0843450,54.2370201
1А,переулок Кувыкина,452687,56.0846752,54.2373679
52,Комсомольский проспект,452687,56.0812883,54.2416216
50,Комсомольский проспект,452687,56.0826316,54.2430437
12,улица Карла Маркса,452687,56.0802741,54.2418310
29,Комсомольский проспект,452687,56.0829852,54.2417325
4Б,Парковая улица,452680,56.0823153,54.2527755
47,Дорожная улица,452680,56.0839451,54.2574317
23А,Парковая улица,452687,56.0847749,54.2384262
31,Комсомольский проспект,452687,56.0815116,54.2401108
16,улица Карла Маркса,452687,56.0814460,54.2382844
10,улица Карла Маркса,452687,56.0800039,54.2434776
52А,Комсомольский проспект,452687,56.0810107,54.2428529
10А,улица Карла Маркса,452686,56.0798665,54.2447501
50А,Комсомольский проспект,452687,56.0817236,54.2438196
8,улица Карла Маркса,452686,56.0791792,54.2450760
10Г,улица Карла Маркса,452687,56.0796767,54.2436298
8А,улица Карла Маркса,452686,56.0801485,54.2457967
19В,улица Ленина,452683,56.0901941,54.2395513
42,улица Ленина,452683,56.0913394,54.2435481
