House number,Street name,Postal code,Latitude,Longitude
24,бульвар Космонавтов,453260,53.3515187,55.9317482
11,проспект Нефтяников,453264,53.3596411,55.9282679
4,станция Южная,453256,53.3873284,55.8988791
30/5,улица Молодогвардейцев,453256,53.4017677,55.9052620
87,бульвар Салавата Юлаева,453260,53.3422577,55.9608444
67,Первомайская улица,453252,53.3811150,55.9253845
105,Уфимская улица,453251,53.3421469,55.9178252
75,Ленинградская улица,453250,53.3371643,55.9446181
4А,улица Губайдуллина,453251,53.3377713,55.9234821
27,Ленинградская улица,453251,53.3352225,55.9304113
29,Ленинградская улица,453251,53.3352421,55.9316344
63А,улица Островского,453251,53.3394265,55.9313968
61,улица Островского,453251,53.3400461,55.9343351
38А,улица Островского,453266,53.3500145,55.9374870
17А,Октябрьская улица,453264,53.3566140,55.9279260
33,Октябрьская улица,453264,53.3567305,55.9334999
14,улица Ленина,453264,53.3578161,55.9260333
19,Октябрьская улица,453264,53.3573132,55.9280724
14,улица К.Маркса,453264,53.3588496,55.9253376
8,улица Ленина,453264,53.3594609,55.9249396
12,улица К.Маркса,453264,53.3588541,55.9260851
9,улица Ленина,453264,53.3585903,55.9238129
22,улица К.Маркса,453264,53.3590882,55.9218189
29,проспект Нефтяников,453264,53.3571779,55.9331518
3,проспект Нефтяников,453264,53.3606838,55.9259794
6,улица Ленина,453264,53.3599201,55.9244901
4,улица Ленина,453264,53.3605048,55.9244714
17,проспект Нефтяников,453264,53.3583699,55.9281948
9,проспект Нефтяников,453264,53.3595629,55.9275538
10,улица К.Маркса,453264,53.3588757,55.9267951
15,Октябрьская улица,453264,53.3567908,55.9261167
27А,Октябрьская улица,453264,53.3573460,55.9308162
5,проспект Нефтяников,453264,53.3603100,55.9267645
25,Октябрьская улица,453264,53.3566796,55.9308619
19,проспект Нефтяников,453264,53.3584030,55.9291337
3,улица К.Маркса,453264,53.3598675,55.9271324
7,улица К.Маркса,453264,53.3594709,55.9259482
16,улица Ленина,453264,53.3574516,55.9248896
14А,улица Ленина,453264,53.3577033,55.9268681
20,улица К.Маркса,453264,53.3591055,55.9229763
13,Октябрьская улица,453264,53.3567863,55.9253850
21,Октябрьская улица,453264,53.3568332,55.9293015
17,Октябрьская улица,453264,53.3567915,55.9268677
7,улица Ленина,453264,53.3590047,55.9238029
10,улица Ленина,453264,53.3588489,55.9245480
29,Октябрьская улица,453264,53.3568493,55.9317295
12,улица Ленина,453264,53.3581571,55.9248561
10А,улица К.Маркса,453264,53.3591105,55.9273137
15,проспект Нефтяников,453264,53.3589624,55.9290673
9А,улица Ленина,453264,53.3584966,55.9229867
31,Октябрьская улица,453264,53.3568593,55.9324453
23,Октябрьская улица,453264,53.3568311,55.9300355
22А,улица К.Маркса,453264,53.3585696,55.9218279
56,Уфимская улица,453261,53.3584805,55.9207050
27,проспект Нефтяников,453264,53.3577226,55.9321889
4А,улица Ленина,453264,53.3602638,55.9253073
6,улица Дзержинского,453261,53.3622223,55.9215106
18,Первомайская,453261,53.3667345,55.9259119
42,улица Строителей,453252,53.3713808,55.9358058
50,бульвар Салавата Юлаева,453265,53.3410335,55.9556791
11,проспект Нефтяников,453264,53.3595120,55.9283921
12,Южная улица,453256,53.3870830,55.8916559
108,улица Калинина,453265,53.3456053,55.9619503
9Б,улица Бочкарёва,453251,53.3383996,55.9297957
71Б,улица Островского,453251,53.3375875,55.9309143
71А,улица Островского,453251,53.3376100,55.9319683
6А,улица Бочкарёва,453251,53.3364595,55.9252075
30/5,улица Молодогвардейцев,453256,53.4017587,55.9052147
26,улица Молодогвардейцев,453256,53.3967264,55.8967358
60,улица Молодогвардейцев,453256,53.3960818,55.9059471
27А,улица Молодогвардейцев,453256,53.3980120,55.9070540
14,улица Молодогвардейцев,453256,53.3913206,55.9089911
41,проспект Заки Валиди,453265,53.3271456,55.9578839
19,проспект Заки Валиди,453265,53.3281225,55.9554196
3,улица Трубанова,453265,53.3285185,55.9560798
5,улица Трубанова,453265,53.3296522,55.9559516
23,бульвар Матросова,453261,53.3650247,55.9296211
103,Ленинградская улица,453265,53.3390538,55.9610579
28,улица Бекетова,453265,53.3395594,55.9571017
32,улица Бекетова,453265,53.3386795,55.9567220
2/1,улица Ленина,453264,53.3610323,55.9249617
57А,улица Островского,453262,53.3428623,55.9348808
21А,Октябрьская улица,453264,53.3574831,55.9298644
34,улица Бекетова,453265,53.3385391,55.9592478
4,улица Ишмухаметова,453265,53.3307209,55.9537882
83,Ленинградская улица,453265,53.3367715,55.9470310
37,бульвар Салавата Юлаева,453265,53.3428196,55.9400047
2,улица Малыгина,453265,53.3358641,55.9559132
1,улица Малыгина,453265,53.3358819,55.9572498
42,Ленинградская улица,453265,53.3358630,55.9542766
6,улица Ишмухаметова,453265,53.3308686,55.9546456
