House number,Street name,Postal code,Latitude,Longitude
7/1,проспект 50 лет Октября,683024,53.0525636,158.6386955
8,улица Пономарёва,683013,52.9828275,158.6799873
5/1,улица Пономарёва,683013,52.9864449,158.6772486
35/1,Петропавловское шоссе,683015,52.9805657,158.6884319
13,Индустриальная улица,683015,52.9705692,158.6966688
122/2в,Океанская улица,683013,52.9819334,158.6802370
121/1,Океанская улица,683013,52.9818826,158.6803406
121/2а,Океанская улица,683013,52.9819971,158.6800248
74,Ленинградская улица,683003,53.0362707,158.6557073
44/1,Петропавловское шоссе,683015,52.9811721,158.6874181
2/1,улица Пономарёва,683013,52.9842903,158.6789368
26/1,улица Лермонтова,683030,52.9738714,158.6879350
4/1,Пограничная улица,683000,53.0351019,158.6643510
49,Зеркальная улица,683024,53.0494740,158.6476239
8,улица Чубарова,683006,53.0710319,158.6141164
14А,Ленинградская улица,683003,53.0316462,158.6378030
37,улица Тушканова,683031,53.0644301,158.6256376
10,Дальневосточная улица,683002,53.0786597,158.6437753
19,улица Лукашевского,683024,53.0607754,158.6378457
16,проспект 50 лет Октября,683024,53.0563048,158.6360462
16,проспект 50 лет Октября,683024,53.0564871,158.6356299
3/1,улица Топоркова,683031,53.0640831,158.6228341
"ГСК 28, 158",Омская улица,683024,53.0555628,158.6244640
47,проспект Победы,683006,53.0695446,158.5968154
45/3,улица Академика Королёва,683009,53.0569309,158.6506780
3,Высотная улица,683000,53.0285937,158.6778364
10,улица Чкалова,683003,53.0341054,158.6376420
11,улица Чкалова,683003,53.0342234,158.6382012
46,Ленинская улица,683000,53.0175908,158.6487652
35,Советская улица,683000,53.0187387,158.6489148
18,Пограничная улица,683032,53.0329214,158.6677452
74,Ленинградская улица,683003,53.0361503,158.6555657
98,Океанская улица,683013,52.9810110,158.6811170
98,Океанская улица,683013,52.9810790,158.6818897
2/2,Пограничная улица,683032,53.0366838,158.6595951
2А,Сахалинская улица,683030,52.9706626,158.6920280
19,Петропавловское шоссе,683015,52.9767802,158.6920983
78,Ленинградская улица,683003,53.0358736,158.6559365
74В,Ленинградская улица,683003,53.0363780,158.6569694
74,Ленинградская улица,683003,53.0366505,158.6568442
74,Ленинградская улица,683003,53.0367278,158.6566949
74,Ленинградская улица,683003,53.0367487,158.6567357
74,Ленинградская улица,683003,53.0367680,158.6567732
74/3,Ленинградская улица,683003,53.0368557,158.6566846
74/2,Ленинградская улица,683003,53.0369192,158.6568462
74/4,Ленинградская улица,683003,53.0364168,158.6574954
74/4,Ленинградская улица,683003,53.0363647,158.6576183
60,Ленинская улица,683001,53.0208505,158.6471174
1,площадь Ленина,683040,53.0231802,158.6463989
121/2,Океанская улица,683013,52.9805601,158.6804676
7А,улица Войцешека,683031,53.0565300,158.6290364
28,проспект 50 лет Октября,683000,53.0584488,158.6329698
2/1,проспект Рыбаков,683024,53.0548004,158.6391370
16/1,проспект 50 лет Октября,683024,53.0570890,158.6349703
1/1,проспект Победы,683006,53.0688975,158.6156782
2/2,Пограничная улица,683003,53.0367993,158.6588510
67,проспект Победы,683018,53.0720100,158.5866932
27/2,улица Максутова,683032,53.0351915,158.6579790
1/2,улица Топоркова,683031,53.0644811,158.6241560
61,Ленинградская улица,683003,53.0375191,158.6556954
56/1,Вилюйская улица,683003,53.0360225,158.6494028
31,улица Максутова,683003,53.0349864,158.6586835
90,Ленинградская улица,683003,53.0352884,158.6572805
25,Ленинградская улица,683003,53.0329375,158.6436485
34,Ключевская улица,684000,53.0341076,158.6450039
37,Ленинградская улица,683003,53.0345799,158.6493812
45,Ленинградская улица,683003,53.0358071,158.6539924
25,Вилюйская улица,683003,53.0354065,158.6435402
1,площадь Ленина,683040,53.0228608,158.6468092
116,Мишенная улица,683016,53.0458562,158.6189514
106,Мишенная улица,683000,53.0422181,158.6190754
118,Мишенная улица,683016,53.0458595,158.6182983
115А,улица Беринга,683000,53.0423160,158.6207280
12,улица Старицына,683016,53.0454840,158.6229780
104А,улица Беринга,683016,53.0425369,158.6223756
27,улица Пржевальского,683000,53.0430380,158.6194036
113,улица Беринга,683000,53.0426078,158.6205147
116/2,Мишенная улица,683016,53.0457081,158.6202234
116/1,Мишенная улица,683016,53.0458418,158.6196378
117,улица Беринга,683000,53.0431836,158.6204801
27,Фестивальная улица,683905,53.0545779,158.6105970
120,Мишенная улица,683016,53.0457589,158.6176993
9,Владивостокская улица,683017,53.0458357,158.6536776
2/1,Владивостокская улица,683017,53.0436402,158.6605255
10,улица Горького,683024,53.0551848,158.6315201
21,проспект 50 лет Октября,683024,53.0553518,158.6359377
7,проспект 50 лет Октября,683024,53.0527800,158.6396932
7,проспект 50 лет Октября,683024,53.0529945,158.6392894
25А,проспект 50 лет Октября,683024,53.0560784,158.6348562
7/2,проспект 50 лет Октября,683024,53.0520336,158.6388151
11,улица Автомобилистов,683024,53.0534387,158.6305359
2,улица Горького,683024,53.0556173,158.6304715
7,улица Автомобилистов,683024,53.0539899,158.6298728
9,улица Автомобилистов,683024,53.0542585,158.6311414
17,проспект 50 лет Октября,683024,53.0550714,158.6364656
23,проспект 50 лет Октября,683024,53.0555857,158.6356739
7,проспект 50 лет Октября,683024,53.0532057,158.6389061
7/3,проспект 50 лет Октября,683024,53.0516931,158.6384824
31,улица Тушканова,683031,53.0641770,158.6248289
9,улица Тушканова,683031,53.0598136,158.6295912
5,улица Давыдова,683024,53.0572962,158.6252329
9,бульвар Пийпа,683006,53.0666297,158.6075594
7,бульвар Пийпа,683006,53.0672798,158.6065978
1/1,Якорная улица,683006,53.0622642,158.5996636
6,Флотская улица,683006,53.0617247,158.6004859
3,Флотская улица,683006,53.0631283,158.6008090
2,Флотская улица,683006,53.0623991,158.6005856
3,Якорная улица,683006,53.0625433,158.5991614
1,Флотская улица,683006,53.0628067,158.6007346
3/1,Якорная улица,683006,53.0620618,158.5986599
7/1,Якорная улица,683006,53.0623826,158.5980407
11,Якорная улица,683006,53.0623639,158.5963754
4,Флотская улица,683006,53.0620551,158.6005130
5,Якорная улица,683006,53.0626501,158.5985670
7/2,Якорная улица,683006,53.0620532,158.5980523
7,Якорная улица,683006,53.0627185,158.5980485
12,Флотская улица,683006,53.0607706,158.5994879
1/1,Якорная улица,683006,53.0617574,158.5986159
8,Флотская улица,683006,53.0614128,158.5999723
18/1,Пограничная улица,683032,53.0339742,158.6694172
20,Пограничная улица,683032,53.0356229,158.6702623
12,улица Максутова,683003,53.0334661,158.6544321
3А,Космический проезд,683009,53.0556751,158.6626328
10/1,проспект 50 лет Октября,683024,53.0539281,158.6405046
3/1,улица Ларина,683002,53.0722156,158.6477829
8/2,улица Виталия Кручины,683002,53.0686190,158.6479703
45,улица Академика Курчатова,683009,53.0627616,158.6542913
8,улица Виталия Кручины,683002,53.0690326,158.6478714
10,улица Тушканова,683031,53.0626950,158.6286113
10/1,улица Тушканова,683031,53.0630258,158.6300355
10,улица Тушканова,683031,53.0620403,158.6291571
8/1,улица Тушканова,683031,53.0625965,158.6294336
38,Дальняя улица,683020,53.0593412,158.6792682
36,Дальняя улица,683020,53.0586881,158.6800023
4,проспект Победы,683006,53.0701705,158.6114627
10/3,улица Тушканова,683031,53.0622063,158.6306126
8,улица Тушканова,683031,53.0619078,158.6296216
10/2,улица Тушканова,683031,53.0627114,158.6301445
42,Дальняя улица,683020,53.0588228,158.6782883
6 к3,бульвар Рыбацкой Славы,683024,53.0553812,158.6397428
16,Флотская улица,683006,53.0601717,158.5991196
14,Флотская улица,683006,53.0604630,158.5992208
2,проспект Победы,683006,53.0698544,158.6141118
10,Флотская улица,683006,53.0609834,158.6001858
7,Геологическая улица,683016,53.0446951,158.6231809
8,Геологическая улица,683016,53.0449689,158.6234068
11,Геологическая улица,683016,53.0452387,158.6236186
5,Геологическая улица,683016,53.0456336,158.6243151
14,Кроноцкая улица,683017,53.0457026,158.6608965
14,Петропавловское шоссе,683015,52.9750109,158.6930822
11,улица Лукашевского,683024,53.0604172,158.6362512
7/1,проспект 50 лет Октября,683024,53.0524673,158.6391122
24,улица Атласова,683000,53.0373845,158.6720866
13,улица Пономарёва,683013,52.9841637,158.6822179
6,улица Пономарёва,683013,52.9835842,158.6803144
60,Океанская улица,683010,52.9911877,158.6681081
12,Океанская улица,683010,52.9936512,158.6663034
5,улица Капитана Беляева,683010,52.9906154,158.6653660
9,Командорская улица,683004,52.9957810,158.6560935
82,Океанская улица,683013,52.9843312,158.6735104
10,Рябиковская улица,683004,52.9983953,158.6599954
14,Курильская улица,683004,52.9949050,158.6579024
54Б,Океанская улица,683010,52.9933663,158.6667175
7,Командорская улица,683004,52.9961518,158.6561350
9,улица Пономарёва,683013,52.9855947,158.6793621
52,Океанская улица,683010,52.9928768,158.6670572
27,Рябиковская улица,683004,52.9961112,158.6574091
89,Рябиковская улица,683004,52.9891101,158.6601561
12,Командорская улица,683004,52.9957933,158.6556088
22Г,Океанская улица,683010,52.9923707,158.6662445
4,Корякская улица,683004,52.9961907,158.6592735
33,улица Пономарёва,683013,52.9848240,158.6833509
69,Рябиковская улица,683004,52.9892803,158.6612496
29,Рябиковская улица,683004,52.9957229,158.6573604
23,улица Пономарёва,683013,52.9841173,158.6844248
35А,Рябиковская улица,683004,52.9942197,158.6579312
2,улица Капитана Беляева,683010,52.9912900,158.6635772
64А,Океанская улица,683010,52.9922765,158.6657042
44,улица Красная Сопка,683004,52.9989272,158.6606800
81/1,Рябиковская улица,683004,52.9886858,158.6618173
63/1,Океанская улица,683010,52.9887146,158.6712380
31,Рябиковская улица,683004,52.9953493,158.6573553
1А,улица Капитана Беляева,683010,52.9915707,158.6639522
87,Рябиковская улица,683004,52.9901136,158.6597603
83,Океанская улица,683013,52.9841707,158.6778652
7А,улица Пономарёва,683013,52.9852066,158.6790370
81/3,Рябиковская улица,683004,52.9882404,158.6622742
63,Океанская улица,683010,52.9885505,158.6705736
35/1,Пограничная улица,683032,53.0362574,158.6763074
3,улица Капитана Беляева,683010,52.9911115,158.6646909
91,Рябиковская улица,683004,52.9897216,158.6595825
2,улица Пономарёва,683013,52.9843058,158.6783944
3,улица Пономарёва,683013,52.9857494,158.6779911
65,Океанская улица,683010,52.9879978,158.6709406
28,Рябиковская улица,683004,52.9967841,158.6568798
32,Курильская улица,683004,52.9914743,158.6600457
16,улица Капитана Драбкина,683010,52.9894429,158.6681385
35,Пограничная улица,683032,53.0365281,158.6767493
1,Охотская улица,683004,52.9976204,158.6552231
91,Океанская улица,683013,52.9835310,158.6787610
16,Курильская улица,683004,52.9942935,158.6584598
4,улица Капитана Драбкина,683010,52.9919559,158.6648381
5,улица Пономарёва,683013,52.9862203,158.6781296
71/1,Рябиковская улица,683004,52.9907927,158.6598730
62,Океанская улица,683010,52.9907317,158.6683165
11,улица Капитана Драбкина,683010,52.9901517,158.6680415
10,Командорская улица,683004,52.9961631,158.6556362
19,Курильская улица,683004,52.9939584,158.6593805
