House number,Street name,Postal code,Latitude,Longitude
33,Кавказская улица,369000,44.2334803,42.0506416
21,площадь Кирова,369000,44.2268087,42.0554704
13,Пятигорское шоссе,369000,44.2495568,42.0791523
56,проспект Ленина,369000,44.2231916,42.0457487
22,Кавказская улица,369000,44.2328897,42.0478940
35Г,улица Космонавтов,369015,44.1955109,42.0477600
272А,проспект Ленина,369000,44.2007084,42.0385783
66,Пушкинская улица,369000,44.2262909,42.0512618
66,Пушкинская улица,369000,44.2280219,42.0518390
118Г,Шоссейная улица,369012,44.2230331,42.0808719
37,Кавказская улица,369000,44.2331327,42.0520315
"8, строение 13",улица Нахимова,634000,44.2334902,42.0523555
65,улица Лободина,369012,44.2030215,42.0548570
1А,Парковая улица,369012,44.2053127,42.0488654
9,Парковая улица,369012,44.2031321,42.0488342
72,улица Доватора,369012,44.2048252,42.0541056
7,Парковая улица,369012,44.2037706,42.0484303
22,улица Умара Алиева,369000,44.2220569,42.0500619
82,Пушкинская улица,369000,44.2256150,42.0512986
84,Пушкинская улица,369000,44.2252846,42.0512434
84,Пушкинская улица,369000,44.2249675,42.0511903
13,Одесский переулок,369000,44.2189872,42.0485436
15,Одесский переулок,369000,44.2189279,42.0494215
56,Октябрьская улица,369000,44.2404198,42.0600199
88,улица Крупской,369000,44.2395174,42.0601527
10,Октябрьская улица,369000,44.2467578,42.0591639
101,улица Карла Маркса,369000,44.2431620,42.0566093
10,Интернациональная улица,369000,44.2379745,42.0604437
112,улица Карла Маркса,369000,44.2425642,42.0572591
124А,улица Карла Маркса,369000,44.2430356,42.0579283
16,Октябрьская улица,369000,44.2459619,42.0597274
160А,улица Карла Маркса,369000,44.2456065,42.0584262
162А,улица Карла Маркса,369000,44.2465857,42.0584906
160,улица Карла Маркса,369000,44.2463734,42.0577769
162,улица Карла Маркса,369000,44.2468042,42.0578722
164,улица Карла Маркса,369000,44.2471731,42.0579571
168,улица Карла Маркса,369000,44.2479149,42.0582236
17,Октябрьская улица,369000,44.2421145,42.0611293
166,улица Карла Маркса,369000,44.2475268,42.0580196
19,Октябрьская улица,369000,44.2417773,42.0613272
21,Октябрьская улица,369003,44.2413306,42.0615214
23,Октябрьская улица,369003,44.2414815,42.0622615
3,Октябрьская улица,369000,44.2470198,42.0599835
30,Октябрьская улица,369000,44.2452484,42.0598595
32,Октябрьская улица,369000,44.2446247,42.0597530
34,Октябрьская улица,369000,44.2437796,42.0591450
3А,Пятигорское шоссе,369000,44.2472498,42.0608886
3Б,Пятигорское шоссе,369000,44.2471512,42.0619109
3,Пятигорское шоссе,369000,44.2466937,42.0613388
4,Октябрьская улица,369000,44.2475367,42.0586235
40,Октябрьская улица,369000,44.2436338,42.0599937
42,Октябрьская улица,369000,44.2433599,42.0601389
42А,Зелёная улица,369000,44.2403144,42.0581847
44,Зелёная улица,369000,44.2408320,42.0582623
46,Зелёная улица,369000,44.2412423,42.0583851
46,Октябрьская улица,369000,44.2429417,42.0596194
48,Октябрьская улица,369000,44.2420902,42.0594841
5,Октябрьская улица,369000,44.2451060,42.0606973
50,Октябрьская улица,369000,44.2427404,42.0591129
56А,Октябрьская улица,369000,44.2415173,42.0591314
50А,Октябрьская улица,369000,44.2430746,42.0586528
52,Октябрьская улица,369000,44.2419778,42.0603537
52А,Октябрьская улица,369000,44.2417779,42.0594509
56,Октябрьская улица,369000,44.2411032,42.0599177
5А,Октябрьская улица,369000,44.2457301,42.0608261
6,Интернациональная улица,369000,44.2386652,42.0596145
6,Октябрьская улица,369000,44.2473690,42.0589996
7,Октябрьская улица,369000,44.2440778,42.0608071
73,улица Крупской,369000,44.2400655,42.0588433
75,улица Крупской,369000,44.2400044,42.0599525
8,Интернациональная улица,369000,44.2382555,42.0595218
8,Октябрьская улица,369000,44.2470117,42.0589770
86,улица Крупской,369000,44.2395369,42.0593178
9,Интернациональная улица,369000,44.2387234,42.0605897
91А,Партизанская улица,369000,44.2378810,42.0594465
95,Партизанская улица,369000,44.2377347,42.0612844
