House number,Street name,Postal code,Latitude,Longitude
71,проспект Ленина,650066,55.3443219,86.1103038
1,Пионерский бульвар,650066,55.3532611,86.1057998
122,Кузнецкий проспект,650055,55.3343182,86.0630506
5,Ноградская улица,650000,55.3553093,86.0776644
129,Красноармейская улица,650043,55.3478632,86.0863532
39,улица Григорьева,650016,55.3832212,86.0397778
5,Аллейная улица,650033,55.3997236,86.0122272
5,улица Коломейцева,650000,55.3527319,86.0875835
18,улица Терешковой,650023,55.3515878,86.1370889
133,проспект Ленина,650056,55.3472574,86.1578295
19,Весенняя улица,650000,55.3517641,86.0787658
4А,Октябрьский проспект,650066,55.3489367,86.1063627
1А,Ногинская улица,650002,55.3997549,86.1113988
33В,Кузнецкий проспект,650000,55.3617060,86.0766100
22 к8,улица Николая Островского,650000,55.3610350,86.0798263
4А оф411,улица Дзержинского,650000,55.3524889,86.0761687
3А,Притомский проспект,650066,55.3515369,86.1102214
33/1,Кузнецкий проспект,650000,55.3584480,86.0656676
33А,Кузнецкий проспект,650000,55.3576894,86.0667941
89,проспект Шахтёров,6500002,55.4023003,86.1174452
14,Кузнецкий проспект,650991,55.3632359,86.0723246
116А,улица Мичурина,650055,55.3376465,86.0810547
12,улица Свободы,650070,55.3292933,86.1144105
118Б,улица Клары Цеткин,650025,55.3441375,86.0570787
33,Кузнецкий проспект,650000,55.3558688,86.0654954
6,1-я Стахановская улица,650021,55.3643350,86.0394686
3 - 252,Соборная улица,650004,55.3431933,86.0950915
3,Соборная улица,650004,55.3431465,86.0948753
106,Кузнецкий проспект,650025,55.3400032,86.0625710
135/1,проспект Ленина,650056,55.3484749,86.1606232
85 к1,проспект Шахтёров,650002,55.4001274,86.1166153
39,проспект Химиков,650003,55.3439744,86.1810951
2,Молодёжный проспект,650070,55.3286136,86.1242911
34,Октябрьский проспект,650000,55.3503955,86.1333393
90/1,проспект Ленина,650000,55.3453457,86.1277815
28,Ленинградский проспект,650065,55.3532671,86.1706080
18,улица Никитина,650070,55.3319834,86.1160336
13А,улица Свободы,650070,55.3272777,86.1149538
2,улица 9 Января,650036,55.3440074,86.1212808
43,Комсомольский проспект,650003,55.3454051,86.1873175
66Б,проспект Ленина,650066,55.3453581,86.1092916
7,Проходная улица,650070,55.3337614,86.1156797
14,улица Рукавишникова,650025,55.3487951,86.0669457
90В,проспект Ленина,650036,55.3452930,86.1333833
2А,улица Черняховского,650993,55.3500585,86.0724861
1,проспект Ленина,650025,55.3436998,86.0631628
49А,улица Тухачевского,650070,55.3248457,86.1299044
64,Кузнецкий проспект,650025,55.3497172,86.0626090
68,Кузнецкий проспект,650025,55.3486575,86.0624621
13,улица Рукавишникова,650025,55.3488612,86.0659706
5,улица Орджоникидзе,650099,55.3572938,86.0885556
4,Космическая улица,650055,55.3281826,86.0700468
1,улица Сибиряков-Гвардейцев,650055,55.3378800,86.0635151
31,проспект Ленина,650055,55.3439377,86.0742646
62,Советский проспект,650000,55.3543835,86.0899136
6А,улица Агеева,650021,55.3433162,86.0019440
19,улица Володарского,650025,55.3456249,86.0644178
98,Кузнецкий проспект,650025,55.3418589,86.0630978
6,улица Рукавишникова,650025,55.3504236,86.0669314
3,улица Рукавишникова,650025,55.3512642,86.0659098
72,Кузнецкий проспект,650025,55.3473688,86.0625462
70,Кузнецкий проспект,650993,55.3480442,86.0626601
24,Предзаводская улица,650021,55.3423941,86.0021378
52,Кузнецкий проспект,650025,55.3524424,86.0646162
