House number,Street name,Postal code,Latitude,Longitude
25,улица Профсоюзов,628400,61.2672194,73.3968276
22,Саянская улица,628400,61.2814199,73.2729116
6,улица Дзержинского,628400,61.2514609,73.3773586
11/2,улица Лермонтова,628418,61.2654065,73.3859442
12,улица Гагарина,628408,61.2352462,73.3987462
3,улица Энтузиастов,628404,61.2523892,73.3644215
12/1,Аэрофлотская улица,626400,61.2817045,73.3822758
16,улица Профсоюзов,628418,61.2682649,73.3825630
52/1,проспект Ленина,628416,61.2572413,73.3832037
52/1,проспект Ленина,628416,61.2572062,73.3835243
85,улица Республики,628408,61.2469695,73.3818328
14 к3,улица Энергетиков,628400,61.2446509,73.3985234
14,улица Щепеткина,628401,61.2353557,73.4703221
10,Геологическая улица,628402,61.2377030,73.4470085
50,Аэрофлотская улица,628422,61.3393680,73.4079339
36,проспект Ленина,628417,61.2551534,73.3984917
10,Майская улица,628416,61.2499329,73.3896767
71/2,улица Республики,628408,61.2397809,73.3881963
8,улица Мечникова,628414,61.2871328,73.3247407
27,Привокзальная улица,628414,61.2902587,73.3291647
50,Аэрофлотская улица,628422,61.3400116,73.4070689
2/1,Никольская улица,628404,61.2484742,73.3774583
16/2,Привокзальная улица,628414,61.2889744,73.3313374
16/1,Привокзальная улица,628414,61.2882989,73.3306196
1,Нефтеюганское шоссе,628406,61.2780094,73.3645411
5/1,Аэрофлотская улица,628422,61.2828816,73.3751950
30,Югорский тракт,628415,61.2500491,73.3464888
8,Быстринская улица,628406,61.2606243,73.4269656
4/1,Быстринская улица,628406,61.2612388,73.4228798
8,Аэрофлотская улица,628422,61.2796770,73.3786915
26,Геологическая улица,628416,61.2430996,73.4488519
21,улица Восход,628404,61.2532967,73.3640048
17,улица Энтузиастов,628404,61.2535818,73.3633320
3,Университетская улица,628403,61.2454109,73.4075091
66,проспект Ленина,628415,61.2650657,73.3736517
9,Геологическая улица,628402,61.2364161,73.4438279
9,улица Профсоюзов,628415,61.2692478,73.3805394
11,улица Григория Кукуевицкого,628404,61.2583280,73.3723936
1,Нефтеюганское шоссе,628404,61.2777043,73.3655961
7,Набережный проспект,628404,61.2508803,73.3587615
8/3,Пролетарский проспект,628402,61.2447257,73.4421894
8/3,Пролетарский проспект,628402,61.2447554,73.4422082
52,Комсомольский проспект,628405,61.2359490,73.4654045
15,улица Островского,628418,61.2642325,73.4003302
11,улица Энгельса,628408,61.2398120,73.3925312
23,улица Профсоюзов,628400,61.2679236,73.3939315
7,улица Энгельса,628408,61.2406651,73.3941578
18,улица Энгельса,628408,61.2411830,73.3908737
8,улица Флегонта Показаньева,628400,61.2675646,73.3561022
9/1,улица Профсоюзов,628415,61.2704227,73.3799128
45,улица Островского,628400,61.2689137,73.4029292
20/2,Нефтеюганское шоссе,628418,61.2696693,73.4076010
21,улица Игоря Киртбая,628400,61.2702932,73.3537506
19,улица Игоря Киртбая,628400,61.2702910,73.3552210
20,улица Григория Кукуевицкого,628404,61.2516302,73.3695213
17,улица Игоря Киртбая,628400,61.2696656,73.3569283
10,улица Флегонта Показаньева,628400,61.2677629,73.3543535
11,улица Игоря Киртбая,628400,61.2702535,73.3610752
12,улица Флегонта Показаньева,628400,61.2683014,73.3523255
2,улица Флегонта Показаньева,628400,61.2668459,73.3601655
19/2,улица Игоря Киртбая,628415,61.2693626,73.3558265
13,улица Игоря Киртбая,628400,61.2698254,73.3596788
78/1,улица Республики,628400,61.2442619,73.3872737
21,улица Энергетиков,628408,61.2405984,73.3997708
8/1,улица 50 лет ВЛКСМ,628417,61.2545192,73.4013443
1,проспект Ленина,628412,61.2399666,73.4107901
21/3,улица 30 лет Победы,628403,61.2545098,73.4229658
8,Пролетарский проспект,628405,61.2442386,73.4414518
60,улица 30 лет Победы,628406,61.2558221,73.4430770
39,улица 30 лет Победы,628403,61.2562533,73.4385618
4,улица Флегонта Показаньева,628400,61.2676206,73.3588650
6,улица Игоря Киртбая,628400,61.2711837,73.3653177
4,улица Флегонта Показаньева,628400,61.2674387,73.3590061
7,улица Крылова,628414,61.2841220,73.3213421
16/1,Привокзальная улица,628414,61.2885885,73.3305690
22,Привокзальная улица,628414,61.2891907,73.3381277
24,улица Толстого,628414,61.2863742,73.3160996
24,Привокзальная улица,628414,61.2894418,73.3384080
9/1,улица Григория Кукуевицкого,628404,61.2589754,73.3716395
15,Инженерная улица,628401,61.2464840,73.4937021
7,улица Энергостроителей,628422,61.2892351,73.3855983
1,улица Энергетиков,628408,61.2346264,73.4086776
41/1,улица Просвещения,628408,61.2382490,73.3982238
14,улица Гагарина,628408,61.2359249,73.3983236
24,улица Гагарина,628408,61.2360609,73.3968806
7,улица Энгельса,628408,61.2407829,73.3939773
24,улица Гагарина,628408,61.2362998,73.3972793
41,улица Просвещения,628408,61.2380263,73.3975504
76,улица Республики,628412,61.2442357,73.3915138
24,улица Гагарина,628408,61.2364063,73.3961503
60/1,улица 30 лет Победы,628406,61.2551890,73.4437066
50,Аэрофлотская улица,628422,61.3403244,73.4085020
8,проезд Первопроходцев,628405,61.2405091,73.4510274
7,улица Игоря Киртбая,628400,61.2700154,73.3637494
39А,улица Просвещения,628408,61.2375028,73.3949234
12/1,Сосновая улица,628401,61.2405066,73.4923225
23,улица Просвещения,628408,61.2362447,73.4007942
9,улица Энгельса,628408,61.2399615,73.3941036
3,проезд Дружбы,628403,61.2515594,73.4056739
3А,улица 30 лет Победы,628403,61.2508369,73.4047327
2,улица Энергетиков,628405,61.2358603,73.4094313
25А,улица Профсоюзов,628400,61.2675396,73.3944335
16,улица Маяковского,628426,61.2559683,73.4180178
18,улица Маяковского,628426,61.2565718,73.4182723
21,улица Восход,628404,61.2531922,73.3637317
38,Аэрофлотская улица,628422,61.3295774,73.4038128
36,Аэрофлотская улица,628422,61.3295830,73.4046890
35,Аэрофлотская улица,628422,61.3292958,73.4058744
11,Аэрофлотская улица,628422,61.3304975,73.4004379
49,улица Пилотов,628422,61.3321717,73.4031449
15,улица Пилотов,628422,61.3324114,73.4044435
48,Аэрофлотская улица,628422,61.3319341,73.4081266
29А,улица Пилотов,628422,61.3330453,73.4029470
25,Берёзовская улица,628422,61.3322893,73.3972561
27,Берёзовская улица,628422,61.3325491,73.3972180
114,Автодорожная улица,628422,61.3296899,73.3975286
119,Автодорожная улица,628422,61.3309595,73.3974274
115,Автодорожная улица,628422,61.3299431,73.3975220
34А,Берёзовская улица,628422,61.3341135,73.3966554
48,Аэрофлотская улица,628422,61.3316688,73.4081584
116,Автодорожная улица,628422,61.3304536,73.3975191
41/1,Аэрофлотская улица,628422,61.3325613,73.4066057
38,улица Пилотов,628422,61.3326950,73.4012837
24,Берёзовская улица,628422,61.3326964,73.3988449
29/1,улица Пилотов,628422,61.3327504,73.4039198
32,улица Пилотов,628422,61.3326370,73.4022192
31,улица Пилотов,628422,61.3325950,73.4016962
3,Светлый проезд,628415,61.2727912,73.3622770
2,Светлый проезд,628415,61.2726300,73.3620298
1,Светлый проезд,628415,61.2724393,73.3616431
6,Светлый проезд,628415,61.2723606,73.3627202
