House number,Street name,Postal code,Latitude,Longitude
1,улица Воровского,354000,43.5857610,39.7186030
7,Ясногорская улица,354054,43.5679949,39.7624771
6,Дивноморская улица,354054,43.5685072,39.7595724
3/2,Речная улица,354200,43.9043479,39.3352839
24Б,Майкопская улица,354220,44.0082910,39.1848232
5,Водораздельная улица,354002,43.5826430,39.7602800
13,Сибирская улица,354204,43.9858540,39.2276570
13,улица Свободы,354203,44.0014234,39.1929440
7,Сибирская улица,354204,43.9803643,39.2336099
16,Приморская улица,354000,43.5738775,39.7279572
19,улица Кольцова,354204,43.9956922,39.2126996
5,Туристская улица,354205,43.9546730,39.2772588
5,Туристская улица,354205,43.9544322,39.2776250
3,Туристская улица,354205,43.9536833,39.2801164
9,Туристская улица,354205,43.9556650,39.2724413
5,Туристская улица,354205,43.9556065,39.2781059
13/18,улица Свободы,354203,44.0038943,39.1961449
48,улица Победы,354200,43.9100182,39.3315288
183,улица Победы,354200,43.9222959,39.3163563
37,Греческая улица,354203,43.9948897,39.2065578
33,Греческая улица,354203,43.9953065,39.2066331
29/2,Платановая улица,354037,43.5116719,39.8662117
5,Платановая улица,354037,43.5124928,39.8656933
48,улица Победы,354200,43.9096461,39.3312060
9,Навагинская улица,354000,43.5882467,39.7236403
11/10,Парковая улица,354000,43.5859006,39.7214752
13Б,улица Карла Либкнехта,354000,43.5907745,39.7216949
48,улица Победы,354200,43.9101584,39.3314629
32/4,Авиационная улица,354340,43.4316017,39.9351261
17/3,Сибирская улица,354204,43.9883274,39.2260859
9,Туристская улица,354205,43.9552409,39.2726257
14,улица Юных Ленинцев,354000,43.5973849,39.7286746
44/1,улица Конституции СССР,354000,43.5998668,39.7319334
53,улица Горького,354000,43.5901070,39.7263631
6,Привокзальный переулок,354200,43.9156001,39.3221344
27,улица 50 лет СССР,354067,43.5161866,39.8713495
34/2 литБ,улица Орджоникидзе,354000,43.5742798,39.7302130
2А,Морской переулок,354000,43.5760492,39.7254521
3,улица Войкова,354000,43.5806512,39.7220637
9Д,Навагинская улица,354000,43.5881472,39.7239985
23,улица Островского,354000,43.5870267,39.7218476
10Б,Московская улица,354000,43.5928604,39.7261765
19/9,Полтавская улица,354053,43.6342098,39.7003246
5,улица 8 Марта,354340,43.4267860,39.9154215
75,улица Горького,354000,43.5929216,39.7274650
9Д,Навагинская улица,354000,43.5882778,39.7241390
40,Парковая улица,354000,43.5879706,39.7182590
2/5а,Курортный проспект,354002,43.5670898,39.7475689
1/1,улица Бестужева,354340,43.4180364,39.9223549
