House number,Street name,Postal code,Latitude,Longitude
13,улица Академика Киренского,660074,55.9967004,92.7910266
13А,улица Академика Киренского,660074,55.9969834,92.7914384
21,улица Академика Киренского,660074,56.0000463,92.7985212
1/38,Телевизорная улица,660028,56.0229957,92.8008087
1А,2-я Ботаническая улица,660030,56.0407867,92.7471619
35,Львовская улица,660013,55.9986582,93.0164610
8,улица 30 Июля,660021,56.0065901,92.8307693
4,улица 78-й Добровольческой Бригады,660077,56.0394500,92.9184928
2,улица Мирошниченко,660130,56.0275269,92.7560010
2Б,улица Академика Киренского,660074,55.9950056,92.7779841
133,улица Карла Маркса,660049,56.0098562,92.8635127
3В,Комсомольский проспект,660118,56.0606956,92.9298100
28,улица Академика Киренского,660074,55.9962327,92.7948911
"26Б, 26 к1",улица Академика Киренского,660074,55.9945039,92.7975620
26А,улица Академика Киренского,660074,55.9968339,92.7970247
26А,улица Академика Киренского,660074,55.9965418,92.7977180
20,улица Борисова,660074,55.9942450,92.7935823
20Г,улица Борисова,660074,55.9934405,92.7926805
31А,улица Маерчака,660075,56.0226101,92.8332740
5,улица Алексеева,660098,56.0546039,92.9235392
5,улица Алексеева,660098,56.0542670,92.9228847
52,2-я Брянская улица,660048,56.0535109,92.8688280
11,улица Весны,660077,56.0384712,92.9110911
11,улица Диктатуры Пролетариата,660049,56.0093832,92.8587941
46,улица Молокова,660077,56.0414127,92.9039647
94,улица Урицкого,660049,56.0091873,92.8690818
1И,улица Дубровинского,660049,56.0091619,92.8880777
1Г,улица Тотмина,660113,56.0311573,92.7744000
12,улица 40 лет Победы,660119,56.1130995,92.9286188
37,Новосибирская улица,660028,56.0166120,92.8092608
14А,улица Мичурина,660037,56.0052511,92.9674256
25А,Судостроительная улица,660012,55.9819061,92.8272955
54,проспект Мира,660049,56.0125381,92.8775748
131,Свердловская улица,660006,55.9737835,92.7961661
5,улица Весны,660077,56.0390799,92.9056842
5,улица Весны,660077,56.0391071,92.9056356
5,улица Весны,660077,56.0384728,92.9068020
21,улица Академика Павлова,660003,55.9968966,92.9589798
10,Парусная улица,660064,55.9975451,92.9030430
2Д,улица Софьи Ковалевской,660074,56.0017857,92.7978606
2А,Мелькомбинатская улица,660058,55.9958119,92.8078212
3А,улица Академика Киренского,660074,55.9974698,92.7882229
16А,улица Борисова,660074,55.9940093,92.7916653
23 с8,Ястынская улица,660131,56.0699277,92.9564273
3 с5,Дудинская улица,660020,56.0256495,92.8971308
79/2,Свободный проспект,660041,56.0068226,92.7747135
1 с16,улица Кутузова,660050,55.9953111,92.9793934
40,Северо-Енисейская улица,660075,56.0261620,92.8355320
16А,Северное шоссе,660118,56.0796374,92.9276825
19/1,Ботанический бульвар,660030,56.0408648,92.7514172
1 с4,Телевизорная улица,660028,56.0220943,92.7964313
26,улица Весны,660077,56.0390355,92.9168800
16,Северный проезд,660037,56.0185710,92.9643228
2,Транспортный проезд,660027,56.0109008,93.0023469
49 оф5-17,улица Алексеева,660077,56.0478428,92.9075905
32,улица Ладо Кецховели,660001,56.0165136,92.8163112
3 с5,Дудинская улица,660020,56.0258002,92.8970611
2,улица 78-й Добровольческой Бригады,660077,56.0374949,92.9206127
7А,улица Весны,660077,56.0375786,92.9081650
35А/1,улица Ладо Кецховели,660100,56.0105691,92.8134028
35,улица Академика Киренского,660100,56.0091454,92.8007445
1Ж,улица Водопьянова,660125,56.0632971,92.9053642
177,улица Калинина,660061,56.0554129,92.7362096
219,Семафорная улица,660016,55.9850837,92.8823736
70А,Соколовская улица,660132,56.1109848,92.9054260
102А,улица Карла Маркса,660017,56.0108686,92.8605629
24А,улица Гайдашовка,660118,56.0694847,92.9521179
16А,Северное шоссе,660118,56.0797690,92.9277749
115,улица 60 лет Октября,660079,55.9834210,92.9031480
113,улица Ленина,660017,56.0125275,92.8599937
12,улица Мичурина,660037,56.0056929,92.9642396
46,улица Алексеева,660077,56.0454069,92.8994053
104,улица Чернышевского,660043,56.0361495,92.8724984
106,улица Чернышевского,660043,56.0361680,92.8746157
106,улица Чернышевского,660043,56.0362256,92.8745098
43,улица 9 Мая,660118,56.0628559,92.9244147
43,улица 9 Мая,660118,56.0628939,92.9243562
29,улица Перенсона,660049,56.0125393,92.8663802
48,Караульная улица,660043,56.0427634,92.8756406
4,2-я Брянская улица,660048,56.0383040,92.8394940
1А,улица Курчатова,660041,56.0164512,92.7883396
17,улица Копылова,660001,56.0120589,92.8239993
26,Кольцевая улица,660093,55.9905528,92.8926417
169К,улица 60 лет Октября,660122,55.9881621,92.9215395
16,улица Шахтёров,660020,56.0304118,92.8902683
20Ж,2-я Брянская улица,660048,56.0401932,92.8530612
1 ст31,Телевизорная улица,660028,56.0257951,92.7979757
68,улица Молокова,660135,56.0385017,92.8960645
68,улица Молокова,660135,56.0384954,92.8955709
9,Торгашинская улица,660052,55.9713292,92.9315686
12,Фигурная улица,660052,55.9705937,92.9326603
12А,улица Тургенева,660052,55.9716324,92.9268292
2А,улица Тургенева,660052,55.9729577,92.9265609
3,улица Гайдашовка,660131,56.0672875,92.9509392
21,проезд Связистов,660118,56.0700125,92.9529938
29,улица Академика Вавилова,660025,55.9978642,92.9308971
43,улица Калинина,660048,56.0307335,92.8089498
54А,улица Дубровинского,660049,56.0093870,92.8862840
102,улица Карла Маркса,660017,56.0103275,92.8603542
5,улица 78-й Добровольческой Бригады,660077,56.0403202,92.9133524
120,проспект им. газеты Красноярский Рабочий,660000,56.0044245,92.9312385
д. 54а,улица Алексеева,660077,56.0443831,92.8943153
77,улица 9 Мая,660125,56.0508243,92.9035837
10,Капитанская улица,660064,55.9980263,92.8970062
54А,улица Алексеева,660077,56.0441568,92.8946929
19,улица Алексеева,660098,56.0535010,92.9206610
5А,Сибирский переулок,660068,56.0158376,92.9539858
30,проспект Мира,660049,56.0129893,92.8848110
82,Свободный проспект,660041,56.0056707,92.7663677
82 с1,Свободный проспект,660041,56.0041045,92.7655033
26,улица Академика Киренского,660074,55.9957432,92.7974150
5,улица Борисова,660074,55.9951483,92.7962044
5,улица Борисова,660074,55.9957606,92.7955051
5,улица Борисова,660074,55.9955387,92.7961523
95,проспект им. газеты Красноярский Рабочий,660025,56.0020556,92.9324597
"79/10,79 к5",Свободный проспект,660041,56.0038391,92.7700443
2,улица Лиды Прушинской,660075,56.0198760,92.8400370
6,улица Маерчака,660075,56.0187933,92.8386353
133 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9977523,92.9127805
133 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9976978,92.9125637
133 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9976527,92.9123824
133 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9975730,92.9120525
135 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9975356,92.9118933
135 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9974318,92.9114672
135 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9973338,92.9110718
139 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9972905,92.9108904
139 с2,проспект имени Газеты Красноярский Рабочий,660010,55.9971977,92.9105273
